mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,000,000,019,011,007,001,003,004,005,008,006,020,017,022,028,000,035,000,000,032,000,072,063,068
02,077,000,096,072,071,072,000,114,113,000,096,085,098,048,054,056,032,031,050,062,044,061,102,096
03,096,107,118,000,099,086,114,099,099,117,093,081,073,046,040,032,031,035,034,035,048,065,058,081
04,082,075,071,076,081,000,087,097,090,077,000,098,078,074,055,051,031,033,022,035,047,061,083,069
05,075,083,079,075,078,092,075,088,099,084,090,085,079,070,058,038,034,039,039,051,045,048,071,068
06,063,000,106,097,092,092,102,101,000,108,098,086,065,079,051,044,045,032,000,039,044,071,070,089
07,110,086,092,000,000,000,000,000,000,000,000,000,074,055,000,000,026,040,037,044,042,063,072,085
08,000,000,065,064,070,072,075,088,067,095,080,069,074,069,044,035,034,026,045,036,054,050,069,000
09,000,000,000,000,075,000,068,082,071,092,098,094,072,061,050,044,030,042,038,032,055,057,078,083
10,079,080,098,075,078,072,098,082,095,096,096,064,078,064,060,041,033,026,027,026,062,000,077,098
11,095,075,080,073,073,075,083,087,101,103,083,084,088,062,058,033,041,036,035,032,048,060,061,081
12,073,099,095,092,069,090,089,086,096,107,108,095,090,000,048,044,035,040,000,044,048,063,070,082
13,067,000,102,077,083,108,088,000,104,112,106,000,091,065,038,043,040,034,038,042,066,067,079,090
14,098,103,087,084,080,000,000,000,000,000,000,000,000,000,000,000,000,000,000,053,000,072,081,000
15,065,089,091,072,099,098,097,089,089,133,113,093,090,000,053,000,000,000,000,000,000,000,000,000
16,000,000,099,086,085,000,000,102,131,119,000,111,085,072,067,049,044,036,000,058,053,059,075,073
17,098,103,092,084,082,094,100,127,107,000,111,103,087,078,074,049,035,046,045,038,050,066,065,097
18,085,093,086,104,064,000,000,000,089,045,101,000,085,065,057,034,035,036,045,053,065,055,062,104
19,087,098,082,076,000,091,118,090,111,125,105,106,073,075,038,031,029,033,044,043,040,051,051,079
20,078,080,085,069,074,078,084,099,000,000,098,094,075,063,043,033,032,028,025,041,046,043,072,078
21,088,089,071,080,000,000,036,000,000,000,000,000,000,064,000,002,002,004,005,008,005,002,015,004
22,012,002,003,005,010,011,008,004,004,005,007,005,008,003,002,001,001,005,003,002,006,011,012,037
23,056,070,073,072,071,089,090,110,114,100,091,093,080,068,039,059,035,049,000,032,054,060,083,082
24,000,000,071,000,082,091,092,104,106,107,099,081,081,067,053,038,000,037,033,038,051,055,076,072
25,073,086,096,082,087,084,085,108,103,115,101,097,080,063,040,038,043,030,035,041,045,061,071,080
26,081,084,081,085,080,064,106,103,111,102,104,083,084,059,037,037,027,028,031,037,040,049,062,078
27,085,074,085,066,076,072,098,094,086,092,105,104,069,071,063,044,028,039,039,043,061,070,070,070
28,000,071,081,071,075,091,079,074,081,095,094,080,073,046,050,037,027,026,036,042,042,051,064,085
29,067,074,074,076,091,077,096,089,000,120,079,076,066,055,052,043,038,000,020,044,033,057,059,067
30,072,089,000,075,000,081,098,111,098,104,000,077,088,062,045,042,038,047,036,029,022,000,083,080
31,000,073,069,081,070,085,082,075,074,062,052,049,030,010,020,016,009,011,010,008,006,011,031,028
