mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,025,018,030,020,027,011,019,016,014,023,019,022,016,015,019,009,012,007,007,008,011,016,009,014
02,023,015,024,014,018,017,021,022,017,025,012,-1,005,020,007,014,012,007,013,011,012,014,015,019
03,025,022,019,017,019,026,022,010,018,026,026,031,019,013,008,018,011,013,007,009,008,022,016,020
04,024,018,017,023,023,019,029,028,025,025,020,025,026,016,021,012,009,014,017,012,013,011,022,017
05,020,014,014,020,014,031,021,021,025,021,031,025,021,012,020,002,011,010,008,010,016,012,010,012
06,015,021,020,011,024,024,022,011,020,025,029,017,011,016,021,009,006,001,007,007,005,021,021,016
07,019,023,019,018,017,014,019,020,018,018,014,021,017,005,010,007,005,007,007,008,003,018,014,015
08,015,017,012,017,017,017,017,023,019,026,021,014,012,018,010,015,011,011,010,004,004,008,019,016
09,015,013,016,012,020,021,013,019,018,021,025,019,017,016,012,010,003,005,007,005,009,008,012,014
10,016,017,018,014,018,010,011,019,025,018,018,005,011,013,012,007,003,006,006,008,006,015,016,036
11,015,021,020,020,016,016,016,017,024,024,039,019,017,022,011,018,007,008,010,007,008,014,008,015
12,025,028,013,012,013,020,020,000,021,013,023,015,013,024,010,009,008,007,009,004,004,003,012,013
13,009,024,021,024,018,026,020,035,015,017,022,022,017,012,014,005,007,003,010,010,008,014,013,016
14,026,018,019,022,024,017,015,017,020,023,025,023,014,016,009,011,006,003,003,008,007,008,019,018
15,010,016,013,015,016,015,014,020,021,032,018,018,019,018,007,008,010,009,006,006,011,019,013,010
16,015,019,018,014,017,014,022,013,029,025,023,026,017,012,013,013,007,002,006,010,013,014,010,009
17,017,024,021,018,027,014,022,022,021,023,024,027,014,009,023,012,009,007,004,004,004,011,015,015
18,020,017,017,019,013,019,025,019,027,019,012,016,014,018,011,009,008,008,004,002,012,008,006,019
19,018,015,011,011,010,000,025,013,000,026,000,024,008,000,007,000,011,008,012,005,006,008,010,011
20,019,015,016,007,017,022,024,020,026,021,011,014,025,018,017,007,008,007,003,007,006,015,025,024
21,020,025,019,027,027,027,010,022,024,028,017,030,020,072,054,013,015,000,008,000,013,008,018,014
22,028,024,017,013,013,022,012,013,024,020,023,022,021,016,015,009,002,003,006,005,006,012,012,014
23,022,015,020,018,020,030,020,022,020,025,028,027,019,010,016,017,009,006,005,009,015,018,028,023
24,023,030,020,025,021,028,017,020,024,028,029,030,020,014,015,008,012,007,005,009,005,005,016,020
25,021,015,022,016,029,018,018,024,026,023,027,026,010,016,007,006,004,000,009,005,007,005,010,000
26,000,022,021,020,013,015,016,019,019,025,022,020,019,012,015,015,003,003,005,003,009,007,016,017
27,021,016,018,014,014,014,021,018,017,021,020,025,015,019,016,008,005,011,007,000,007,010,010,010
28,013,000,013,014,019,016,000,015,015,022,016,014,013,014,012,007,009,003,005,004,005,011,009,020
29,014,021,015,018,013,009,010,024,015,021,016,017,009,012,010,012,008,005,002,012,003,013,017,017
30,014,020,018,013,011,011,021,022,029,018,015,015,021,012,010,011,008,013,006,006,009,009,015,019
31,024,013,015,020,017,016,016,019,021,018,013,019,018,012,016,007,005,010,006,013,017,020,016,006
