Nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,97,119,154,149,145,195,224,144,92,138,194,195,158,143,129,165,113,112,93,105,105,101,85,133
2,91,132,178,154,118,89,172,127,109,110,276,179,201,179,185,217,182,47,40,21,22,14,13,12
3,26,38,46,26,39,49,43,40,82,60,46,38,41,54,-1,-1,39,54,40,28,39,26,10,24
4,19,35,33,20,37,55,56,29,28,57,61,45,43,91,95,57,34,75,56,60,59,40,38,24
5,29,23,33,24,37,29,60,95,111,103,107,110,151,120,110,78,97,98,72,65,51,53,32,28
6,28,19,30,35,32,36,76,90,113,101,127,133,121,116,134,108,79,79,85,63,59,64,43,24
7,30,25,23,32,30,40,58,77,93,88,102,113,102,110,70,105,79,79,66,61,60,43,30,21
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,115,124,131,115,65,64,88,73,45,72,48,31,17
9,25,21,34,31,22,41,49,79,88,94,115,99,119,104,80,65,59,56,67,-1,-1,55,29,18
10,23,-1,-1,44,-1,51,-1,-1,-1,-1,-1,-1,108,134,112,64,55,58,46,35,23,36,30,18
11,21,33,26,21,20,23,60,87,72,70,102,90,107,85,90,-1,-1,64,61,50,69,63,34,31
12,19,28,46,26,33,42,72,131,122,105,145,173,135,148,120,52,95,96,73,55,61,46,27,33
13,29,29,33,31,31,33,45,76,92,96,106,83,112,105,100,87,86,73,70,63,58,44,51,33
14,23,25,25,20,32,45,45,109,108,133,103,121,128,112,94,100,116,92,88,91,71,46,41,21
15,33,27,28,26,36,42,65,90,90,104,108,109,115,124,144,116,109,98,71,67,52,54,31,31
16,35,28,38,45,44,36,60,76,132,134,148,135,141,146,138,118,92,100,69,78,77,64,45,27
17,26,41,35,43,33,31,58,83,103,130,113,163,144,141,129,102,85,110,86,75,64,53,33,33
18,29,29,30,39,28,42,46,78,107,107,146,138,115,144,134,133,117,110,89,77,78,46,47,24
19,20,34,26,43,70,70,96,147,164,166,195,185,212,217,213,180,154,157,114,128,120,88,56,39
20,48,52,47,80,54,54,90,124,151,180,160,170,178,220,225,175,155,149,109,84,70,81,63,38
21,39,44,62,59,73,59,115,143,158,175,169,195,240,212,241,218,160,168,96,73,55,40,39,42
22,33,40,48,46,42,38,59,59,78,115,125,114,154,161,174,106,99,110,80,72,98,52,29,32
23,32,39,51,44,43,36,56,89,129,143,132,140,162,155,155,103,124,102,110,55,50,23,24,37
24,31,28,44,33,35,33,61,88,92,127,115,103,128,150,153,91,104,81,100,60,65,53,46,40
25,28,41,38,43,30,35,56,83,93,89,111,129,153,161,143,95,91,94,70,54,51,44,35,28
26,17,-1,34,38,22,35,56,68,86,116,103,138,119,107,98,89,71,76,62,54,45,39,38,-1,-1
27,-1,-1,-1,42,22,39,44,89,75,94,85,95,104,146,110,80,77,82,58,53,54,52,23,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,14,10,5,17,11,16,21,22,24,44,51,46,49,36,45,22,26,26,57,34,20,29,26,17
30,11,23,14,23,16,19,18,22,56,51,40,56,52,72,70,47,46,33,28,29,35,26,21,8
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
