feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,35,29,51,61,69,90,134,158,192,208,208,205,218,201,163,161,154,166,153,101,104,95,49,43
02,51,30,32,40,58,102,105,145,173,155,157,187,149,136,151,142,162,171,158,113,85,99,58,70
03,45,30,41,50,73,100,135,178,192,187,192,178,176,190,146,154,153,175,187,151,99,95,65,54
04,46,38,36,58,79,81,170,159,167,182,183,187,203,169,175,184,189,168,167,115,99,93,56,49
05,38,31,35,64,76,109,126,186,187,166,178,-1,192,176,195,161,162,151,168,141,121,105,64,46
06,36,40,37,59,43,104,125,144,179,170,166,169,187,183,159,168,143,162,150,119,107,99,68,41
07,26,32,41,44,75,114,146,181,193,186,166,169,193,189,167,145,167,142,157,140,106,95,63,41
08,35,26,38,54,62,93,132,154,164,162,177,194,191,182,174,162,138,171,131,127,93,93,50,54
09,36,24,31,44,63,100,125,147,157,163,168,181,173,170,156,159,158,146,168,117,115,83,71,42
10,30,42,37,42,53,70,100,138,117,161,120,130,170,156,98,131,133,144,113,143,109,62,50,32
11,33,33,25,52,40,69,98,100,111,119,127,150,141,156,155,120,132,120,133,102,78,69,41,29
12,24,22,33,38,57,94,115,148,192,161,160,165,173,175,166,140,129,165,167,142,103,111,73,40
13,34,29,40,52,79,101,129,162,152,178,177,181,160,169,155,144,157,167,151,133,119,89,65,35
14,33,24,34,39,60,72,138,134,167,139,159,127,172,163,152,124,135,144,153,101,102,67,52,32
15,27,36,34,49,57,103,110,156,185,197,190,175,192,175,174,139,172,148,146,131,124,106,76,43
16,33,34,49,64,62,87,93,177,160,133,151,145,165,166,154,177,189,134,147,108,97,75,58,52
17,33,30,36,50,51,71,102,148,128,134,160,167,165,168,144,150,177,178,157,140,103,77,61,37
18,35,39,34,46,63,81,105,129,126,135,154,162,188,214,155,169,172,153,143,139,115,108,65,56
19,46,27,42,72,67,112,132,168,177,159,161,212,188,160,192,146,170,164,150,109,124,104,67,45
20,28,28,50,47,72,81,86,100,138,140,140,152,148,153,141,140,147,158,136,121,127,114,78,48
21,36,32,42,40,84,122,117,148,177,195,179,181,196,173,165,194,179,163,154,129,115,91,70,42
22,42,29,23,35,43,79,89,113,135,133,132,159,149,135,148,130,143,143,140,99,89,71,46,28
23,22,25,35,38,58,68,92,110,146,137,123,125,135,147,125,101,153,136,129,97,81,85,64,40
24,23,25,24,36,47,74,102,115,128,157,134,142,185,173,167,192,196,208,187,162,128,96,78,67
25,43,36,39,62,71,104,114,151,165,166,207,190,206,161,157,189,183,205,170,160,139,110,86,53
26,46,29,44,60,62,98,102,135,226,274,174,190,218,214,207,191,195,214,181,154,152,125,65,61
27,46,30,44,73,165,193,251,146,159,185,201,187,193,184,190,175,195,216,253,150,16,100,82,52
28,53,38,36,42,68,94,117,115,171,147,169,141,166,163,158,136,146,152,135,132,93,87,47,38
29,37,16,32,42,42,75,98,114,117,118,132,115,139,133,148,154,167,155,159,149,97,93,72,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
