Oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,17,15,12,17,13,13,15,9,9,6,22,8,14,15,17,15,9,19,15,17,28,35,24,25
2,12,15,11,13,17,11,10,9,-1,8,21,9,18,16,15,9,14,11,11,24,22,23,27,13
3,26,17,7,14,14,13,10,12,16,13,13,20,12,13,15,19,10,18,11,24,22,16,22,13
4,21,15,12,12,6,12,8,6,11,13,15,14,15,15,14,12,16,7,27,19,29,40,18,17
5,25,16,12,18,9,20,5,15,9,13,20,15,25,18,16,8,23,22,15,26,24,18,15,19
6,10,20,13,16,18,12,9,13,16,9,21,17,13,10,14,13,22,14,18,27,31,30,28,18
7,17,9,15,10,7,16,7,6,4,5,11,18,12,10,12,16,10,19,15,32,22,19,17,27
8,19,10,13,13,18,14,6,13,15,17,19,25,19,16,17,15,17,11,18,20,21,22,18,21
9,16,12,7,6,14,10,8,11,6,5,9,10,14,14,12,13,10,14,16,25,21,33,12,14
10,11,14,6,11,8,9,7,15,9,11,19,16,19,19,15,14,15,13,9,24,26,32,15,22
11,18,9,11,10,6,6,12,13,10,16,13,16,15,19,18,13,24,15,24,22,24,28,27,18
12,21,13,10,16,11,9,4,10,7,5,15,11,19,11,14,19,14,24,22,25,26,23,25,18
13,24,15,13,15,12,8,11,16,-1,-1,-1,-1,-1,-1,-1,13,17,22,18,22,23,29,26,14
14,21,16,17,8,8,6,10,12,8,12,14,20,29,24,24,-1,-1,-1,-1,-1,-1,19,19,17
15,26,17,9,13,9,12,14,11,10,9,16,24,26,24,25,16,23,15,20,30,35,38,32,27
16,23,24,15,14,7,10,13,4,10,11,8,14,24,16,19,19,24,20,26,30,38,37,22,20
17,18,8,7,12,7,11,1,4,3,18,14,14,10,16,16,12,22,23,24,19,28,31,29,25
18,31,17,4,5,4,15,10,16,18,10,13,20,10,11,20,12,12,10,33,23,30,22,22,25
19,14,11,13,11,7,14,9,9,11,18,8,13,9,11,9,17,13,14,14,19,17,23,12,18
20,23,18,14,8,16,12,7,6,14,10,20,10,16,17,16,14,9,19,14,31,23,16,20,22
21,32,15,10,13,10,16,9,7,12,12,8,13,13,15,14,9,17,11,19,16,24,32,20,24
22,24,24,15,9,12,9,12,19,11,9,16,14,17,15,21,12,25,15,24,29,24,25,26,29
23,19,10,11,11,7,13,12,8,9,17,10,14,7,9,21,20,21,19,22,21,33,32,18,15
24,22,15,7,12,10,11,1,4,14,6,8,14,13,10,12,14,16,22,17,33,23,29,26,36
25,15,8,8,6,6,6,4,-1,13,6,12,12,13,9,4,11,8,11,8,18,14,23,18,27
26,8,5,11,10,5,10,5,4,9,6,7,10,11,8,15,18,8,13,8,14,20,18,19,6
27,16,11,11,15,9,6,9,8,8,9,12,15,15,11,11,5,17,8,15,7,11,19,17,23
28,14,14,20,7,10,4,10,8,10,10,14,10,12,13,6,12,12,8,20,8,12,14,19,20
29,9,17,13,10,6,6,14,5,9,11,9,11,15,7,7,11,10,8,9,18,18,20,24,21
30,14,13,16,8,8,9,3,3,4,6,11,8,11,8,5,6,9,14,12,13,14,16,15,6
31,5,13,11,12,4,-1,1,4,13,7,3,8,17,8,3,6,4,9,16,14,16,15,17,19
