Oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,1,-1,23,74,73,108,87,86,114,91,80,43,35,18,5,4,13,3,4,13,18,9,1,-1,-1
2,-1,-1,11,35,44,48,80,42,64,64,48,35,12,7,7,7,14,2,12,19,13,3,-1,-1,-1
3,-1,-1,5,41,52,69,47,26,48,28,33,21,18,21,3,8,5,3,4,7,17,1,-1,-1,-1
4,-1,1,7,53,25,37,103,19,8,16,11,16,5,5,7,9,2,11,2,6,10,4,-1,-1,-1
5,-1,-1,10,46,26,51,23,7,15,6,26,12,7,34,25,22,4,12,5,3,25,3,-1,-1,-1
6,-1,-1,3,19,21,24,35,35,35,28,14,18,6,3,12,7,9,8,18,23,20,12,18,-1,-1
7,-1,-1,12,59,92,79,48,34,51,64,83,54,36,41,28,22,13,15,25,29,17,18,3,-1,-1
8,-1,-1,17,54,60,50,49,67,26,59,44,32,15,7,5,11,20,8,19,16,41,15,1,-1,-1
9,-1,-1,10,57,79,84,70,77,54,44,40,32,40,42,11,16,19,4,13,12,36,27,16,18
10,12,7,1,64,69,48,51,54,34,34,21,22,34,21,31,7,13,15,6,21,38,11,1,-1,-1
11,-1,-1,7,44,67,54,69,39,54,54,34,39,22,24,21,19,19,17,19,24,38,25,12,-1,-1
12,1,-1,25,59,77,106,71,81,88,39,33,34,30,51,8,10,9,11,16,19,24,17,2,-1,-1
13,32,-1,27,73,68,72,61,65,66,54,36,38,39,27,20,15,23,14,16,19,30,19,2,-1,-1
14,-1,-1,48,74,71,73,61,33,41,29,45,20,31,51,28,17,55,18,18,21,31,24,5,-1,-1
15,-1,-1,22,33,62,71,83,41,40,33,48,71,55,43,17,25,13,12,18,33,30,42,5,1
16,1,1,24,62,68,65,60,41,68,53,78,28,29,38,30,14,23,6,18,15,23,21,10,-1,-1
17,-1,-1,3,51,87,77,119,80,44,56,43,73,47,34,18,15,15,17,25,62,37,22,10,9
18,4,4,43,56,65,84,71,58,45,55,34,30,31,12,13,32,16,37,8,17,21,31,6,-1,-1
19,-1,1,37,111,118,121,70,40,64,67,40,27,28,16,25,25,12,11,12,25,31,29,3,-1,-1
20,-1,-1,68,128,103,104,74,60,68,72,38,22,20,12,36,9,11,18,42,39,37,31,-1,-1,-1
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,32,45,57,100,32,41,4,1
23,-1,2,46,63,66,119,122,129,67,62,26,52,19,15,9,8,7,12,12,18,29,18,7,-1,-1
24,1,-1,4,35,83,154,82,98,52,45,33,51,19,22,21,6,13,14,20,12,21,21,7,-1,-1
25,1,-1,19,43,53,40,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,24,13,20,6,13,11,18,30,30,7,-1,-1
28,-1,1,21,36,79,88,58,39,56,40,27,25,14,15,13,7,48,9,17,22,30,28,4,-1,-1
29,1,-1,25,57,35,52,35,44,56,41,31,30,13,18,49,19,19,28,19,28,33,22,6,-1,-1
30,-1,-1,34,39,74,58,90,52,64,46,39,44,44,25,31,26,12,16,24,52,32,23,10,-1,-1
31,-1,-1,-1,4,24,66,60,51,42,68,58,25,37,26,11,10,10,15,15,16,18,26,21,62
