oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,18,21,12,84,57,96,32,39,26,31,31,22,26,23,23,6,5,8,2,8,6,11,23,14
02,20,25,27,32,28,31,46,29,35,43,26,24,26,35,19,17,9,8,11,8,13,21,14,22
03,24,27,41,42,32,30,36,37,36,44,41,34,28,27,21,10,3,8,4,7,7,15,17,19
04,22,32,28,14,32,41,35,32,25,38,31,27,24,21,18,11,13,11,7,7,10,8,13,15
05,17,25,30,25,32,28,71,189,68,45,55,47,48,32,39,86,47,43,88,101,64,31,21,26
06,23,22,32,41,42,38,31,25,27,30,14,15,23,14,11,11,11,3,9,5,14,8,18,24
07,21,59,47,39,51,28,37,28,24,22,21,17,112,65,24,11,11,8,10,2,14,10,11,16
08,19,25,27,20,26,26,32,27,16,35,24,18,18,5,0,0,0,0,0,0,0,0,0,0
09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,9,8,13,20,12,17,19,27
12,26,33,37,40,43,38,29,31,29,24,22,24,68,35,20,8,8,8,7,11,11,20,28,19
13,16,49,156,106,108,44,51,31,27,27,16,24,21,17,10,15,24,39,8,8,21,21,32,30
14,23,31,41,28,33,32,26,37,33,25,27,25,27,14,19,14,13,10,9,13,9,18,20,20
15,24,35,36,39,32,23,31,27,15,15,12,28,11,10,6,12,8,6,11,13,11,22,18,24
16,32,42,39,54,42,45,45,50,50,35,30,25,17,22,19,19,10,5,16,11,23,13,91,189
17,168,205,84,45,32,38,32,32,30,42,31,25,23,28,25,11,9,10,5,13,25,16,16,33
18,34,48,61,54,52,55,46,48,51,35,27,37,23,44,24,21,12,13,9,10,12,17,24,25
19,50,49,68,62,69,62,56,64,46,45,28,35,31,21,28,13,9,9,10,19,13,27,29,21
20,43,49,57,77,78,69,62,61,46,53,36,35,24,21,18,19,11,6,7,10,10,15,13,28
21,45,34,57,139,75,46,50,38,51,39,31,25,24,14,22,16,8,7,12,17,14,26,22,37
22,39,54,59,52,58,60,49,32,33,37,35,29,41,27,15,11,11,4,10,5,12,21,19,23
23,36,48,61,42,67,68,60,40,44,38,39,7,0,6,16,13,8,4,6,8,17,28,23,49
24,48,60,55,66,75,75,66,48,43,39,40,34,34,26,26,16,13,19,7,14,16,23,28,21
25,45,49,57,66,58,69,49,53,39,53,45,47,29,30,32,18,10,11,7,10,13,15,20,32
26,26,36,41,42,32,31,48,30,29,18,28,25,24,11,12,11,6,6,5,11,11,22,14,23
27,19,33,27,37,30,35,38,32,25,27,16,27,23,21,12,12,9,10,6,11,7,17,17,21
28,28,36,44,39,28,13,23,37,27,24,27,30,25,18,16,15,8,8,9,13,14,14,20,23
29,17,13,26,31,45,43,37,33,39,27,20,32,20,18,14,13,8,6,5,17,19,25,23,26
30,26,46,33,40,36,40,35,36,28,31,33,22,22,30,21,17,24,21,28,17,26,25,29,35
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
