jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,45,41,40,39,30,31,40,36,38,25,30,34,30,17,24,21,22,22,31,24,28,33,29,43,""
02,40,24,34,47,42,42,32,40,40,30,38,29,25,30,24,28,28,30,20,23,25,39,41,37,""
03,35,51,49,68,81,91,117,110,69,42,62,71,70,65,55,53,54,38,44,27,-1,-1,25,51,""
04,38,40,63,56,58,64,52,48,31,28,30,41,20,21,27,22,18,14,22,20,31,31,31,29,""
05,27,26,51,48,39,62,42,36,37,30,30,37,41,35,28,21,11,26,19,25,25,32,37,33,""
06,31,38,46,48,50,41,32,37,31,27,35,36,34,25,25,19,15,12,14,24,20,26,27,0,""
07,-1,28,29,38,35,42,28,33,29,22,30,15,16,28,22,25,17,17,23,27,34,37,28,38,""
08,22,24,34,54,37,35,23,31,30,31,34,26,26,21,23,21,15,23,28,18,27,30,30,27,""
09,25,37,42,49,46,43,36,39,32,18,27,18,25,32,17,19,12,22,23,13,23,26,27,26,""
10,21,29,-1,-1,32,42,39,33,25,35,31,27,21,22,19,19,11,17,19,23,28,29,23,27,""
11,27,38,34,41,40,38,30,26,26,38,26,29,30,19,25,24,17,18,15,15,23,25,38,26,""
12,33,37,30,35,45,46,35,31,29,31,32,29,22,27,20,24,17,12,12,25,24,23,28,26,""
13,30,31,37,49,47,-1,-1,22,41,30,29,38,26,26,16,24,28,15,12,27,34,25,34,30,""
14,25,29,31,39,49,34,34,31,22,34,25,25,34,26,24,20,21,14,16,21,16,25,35,31,""
15,23,32,60,47,54,36,36,20,35,24,26,33,22,33,24,15,18,20,20,18,21,36,26,21,""
16,18,30,52,56,59,47,43,40,3,-1,22,35,18,20,19,24,25,24,16,18,23,31,30,30,""
17,32,48,58,55,52,41,50,29,34,37,29,24,22,24,26,23,17,17,7,23,26,35,28,30,""
18,31,40,55,62,66,43,46,35,29,34,29,30,38,18,22,23,25,15,17,20,28,42,41,32,""
19,25,35,40,57,58,46,37,41,32,34,27,3,-1,13,24,21,19,11,22,31,29,30,36,50,""
20,34,27,39,42,64,57,46,39,30,19,43,37,22,29,23,29,29,17,19,28,35,33,40,36,""
21,34,35,42,50,48,33,44,39,30,35,27,39,29,37,14,16,26,9,27,18,39,33,27,32,""
22,33,37,53,50,46,50,40,28,34,32,31,34,26,26,2,-1,9,20,21,30,31,31,34,31,""
23,34,36,36,40,47,46,35,49,31,31,33,30,38,26,21,22,14,21,16,18,23,31,43,32,""
24,40,30,45,52,37,44,37,42,27,27,30,42,25,36,15,21,20,18,24,15,37,33,34,41,""
25,28,33,29,42,46,34,45,35,28,33,34,33,28,29,19,20,20,4,-1,6,16,14,13,22,""
26,9,27,26,20,17,22,15,14,18,19,19,20,23,17,15,8,11,12,17,10,17,15,28,27,""
27,24,23,29,26,23,26,19,23,20,15,23,26,20,22,11,6,12,8,8,13,17,22,22,13,""
28,16,26,18,21,27,25,18,15,17,29,18,12,18,13,6,-1,2,11,19,13,9,-1,7,29,""
29,12,23,37,28,32,29,17,26,19,20,28,17,13,18,17,18,17,14,14,11,22,20,14,23,""
30,25,22,22,28,34,18,29,19,13,13,16,21,11,15,11,13,3,16,10,9,20,18,35,32,""
31,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,""
