dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,8,1,6,5,8,4,25,19,9,1,18,23,20,11,19,3,14,11,8,12,11,11,10,3
02,9,7,20,0,2,2,9,2,3,8,1,15,0,2,1,13,10,23,6,11,7,6,9,5
03,9,3,2,7,3,12,24,9,3,20,9,17,11,5,0,1,12,10,9,13,13,31,14,14
04,20,11,20,5,3,7,6,5,7,4,7,27,10,6,9,8,12,16,3,26,20,12,13,8
05,1,2,1,18,4,5,17,12,8,15,8,10,15,8,7,10,18,21,22,18,15,4,22,5
06,6,9,1,0,1,10,23,15,14,30,18,16,16,17,15,11,14,19,24,18,40,22,3,18
07,68,12,0,2,4,15,19,22,65,43,48,31,20,20,22,50,25,36,24,55,35,28,24,9
08,0,7,8,6,4,1,24,5,17,16,17,20,18,15,2,5,8,17,4,5,24,26,14,7
09,3,13,1,4,7,9,35,18,13,19,26,26,45,4,12,6,16,9,10,2,22,39,24,16
10,11,46,14,14,13,18,29,17,5,26,25,2,24,3,16,29,19,6,20,29,28,26,23,21
11,7,18,8,21,11,5,29,20,14,15,9,12,3,14,16,14,31,9,11,14,7,16,24,9
12,6,2,4,6,12,21,35,13,5,11,13,28,14,15,6,5,21,41,32,34,19,18,13,12
13,14,1,20,2,7,19,27,15,21,17,32,45,52,56,166,260,200,242,362,440,470,450,632,743
14,714,549,589,556,483,535,492,527,442,477,642,710,661,430,97,90,54,49,34,41,194,557,623,449
15,298,676,747,654,631,485,372,360,210,270,172,50,34,77,61,87,193,547,583,562,553,366,364,164
16,167,167,180,79,153,218,547,670,798,720,682,550,372,328,385,479,715,785,833,773,764,750,704,676
17,613,599,561,675,687,699,623,423,758,481,602,592,227,285,326,615,591,641,794,811,810,792,783,680
18,730,438,198,187,126,127,71,71,96,325,718,597,688,572,388,546,671,754,810,736,757,762,716,773
19,784,791,789,785,777,729,728,725,722,654,518,648,633,686,742,621,687,684,714,706,697,774,544,544
20,549,592,527,685,552,563,608,655,508,536,721,772,257,6,24,14,5,19,10,16,12,19,9,2
21,11,11,20,1,7,0,11,11,14,11,25,13,28,23,4,17,10,19,39,30,9,10,10,20
22,5,7,10,0,0,5,16,4,5,6,12,1,29,12,3,1,7,10,0,7,7,6,17,4
23,11,6,1,2,13,1,16,8,7,1,4,8,5,6,4,15,6,17,8,9,4,6,2,15
24,0,1,5,2,1,3,7,20,6,11,21,7,7,18,12,14,28,25,8,6,12,10,7,13
25,1,14,2,0,1,1,3,1,7,4,9,23,7,8,2,19,12,10,8,1,1,20,19,7
26,3,0,0,2,3,1,10,10,11,19,24,12,8,38,9,0,13,27,28,37,12,3,13,20
27,11,3,8,1,3,7,7,10,10,12,4,12,11,18,7,35,46,49,27,11,13,10,12,22
28,16,1,1,1,2,0,8,23,15,50,31,3,28,16,19,18,14,34,18,8,15,4,13,6
29,13,13,1,2,0,2,14,25,13,16,24,23,30,13,21,5,15,26,12,11,8,4,5,14
30,6,9,1,1,2,13,13,17,8,8,17,26,24,17,6,20,27,13,5,5,26,11,5,5
31,0,0,4,1,3,8,16,10,10,16,9,16,8,10,19,8,6,36,2,11,13,2,10,1
[E]fdf{lh,'yl{zfIg,dl{`jhkel'o{
