dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,78,66,83,101,108,126,154,183,206,216,195,234,189,185,212,214,211,192,182,185,121,132,79,65
02,68,75,81,109,113,136,147,182,207,213,239,215,209,184,175,198,243,202,190,175,154,141,104,77
03,74,89,75,96,91,100,137,185,191,211,228,235,230,186,163,207,162,182,224,163,158,133,101,78
04,57,67,69,84,99,138,176,190,196,213,220,251,230,202,186,196,219,204,191,152,161,120,94,92
05,75,67,76,106,110,130,149,197,218,239,226,254,230,226,211,237,191,215,182,158,133,120,97,82
06,65,77,86,78,114,134,168,196,223,216,239,220,212,198,224,187,180,190,186,148,152,129,97,77
07,67,66,77,83,99,118,159,162,204,216,222,222,224,205,238,221,202,212,190,176,162,124,90,89
08,66,65,88,89,87,126,159,181,196,205,224,242,239,221,233,215,228,215,213,183,145,124,97,83
09,59,68,80,118,124,147,160,215,222,237,246,242,230,223,223,256,243,216,213,159,128,120,79,69
10,67,63,91,117,134,128,175,219,255,278,260,255,239,239,237,227,213,229,191,190,157,135,114,72
11,72,73,115,171,156,181,214,238,262,263,289,295,281,258,236,235,223,224,214,177,155,116,100,58
12,63,108,160,208,202,196,268,278,326,313,350,368,337,282,223,273,237,240,166,158,122,98,97,62
13,81,123,174,239,230,237,281,280,287,277,310,330,289,277,250,258,205,248,214,167,126,98,89,79
14,81,141,209,195,234,247,266,287,309,304,316,288,254,252,262,248,249,255,225,186,164,135,103,70
15,53,72,96,119,122,118,154,185,185,215,235,259,222,251,261,258,241,260,217,152,96,96,92,55
16,45,53,64,99,97,106,159,159,180,205,210,234,237,212,245,255,261,240,199,187,162,136,92,71
17,41,71,64,88,94,117,146,172,146,184,194,228,232,218,227,239,228,207,205,185,136,158,95,84
18,66,64,65,75,103,119,144,170,187,171,206,213,213,217,253,235,241,245,191,198,152,131,90,61
19,56,64,75,90,107,126,156,178,188,180,206,250,240,238,246,228,246,237,213,190,161,137,94,81
20,61,61,70,83,98,124,127,169,170,180,194,213,234,239,247,245,258,216,206,191,162,133,96,71
21,76,61,76,80,93,122,136,187,208,201,215,191,227,241,242,272,247,226,200,203,178,161,124,131
22,107,91,91,120,116,141,145,157,190,230,236,260,267,240,225,284,249,251,224,197,188,149,115,70
23,59,69,76,73,94,122,138,186,193,210,227,271,269,253,261,231,246,255,234,214,184,143,123,78
24,75,73,83,76,104,121,157,186,216,222,240,258,257,236,234,228,248,240,231,213,154,132,92,78
25,69,77,64,61,106,137,153,154,189,221,229,221,239,258,247,265,248,256,209,177,163,131,119,64
26,71,39,60,71,105,104,133,141,161,170,192,250,267,242,270,234,249,233,231,203,170,135,90,69
27,51,52,67,64,96,131,152,139,151,186,181,211,203,170,187,183,184,172,176,159,129,109,83,61
28,46,64,53,64,79,100,129,155,176,190,190,197,187,222,211,230,234,220,204,180,118,30,87,56
29,60,45,62,83,76,102,137,142,163,173,219,221,222,189,205,216,211,204,134,116,151,104,89,74
30,58,71,63,70,77,108,130,154,176,169,183,180,206,209,206,169,185,202,202,189,165,134,102,79
31,71,52,60,67,69,106,111,139,177,192,196,238,204,191,185,224,238,240,195,202,167,128,100,-1,-1
