dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,12,21,35,26,39,32,33,25,23,27,28,49,12,10,7,6,5,8,9,20,12,26,23,32
02,38,51,52,55,43,41,44,31,40,37,24,17,9,11,56,8,3,4,6,12,24,37,28,22
03,23,32,29,63,55,38,46,20,27,12,16,46,18,10,16,7,7,9,14,17,28,15,34,34
04,37,60,27,32,25,33,80,20,32,24,48,10,8,6,12,7,7,19,8,9,19,21,26,26
05,17,33,24,34,42,45,40,23,45,23,12,13,3,19,18,8,2,9,9,8,30,27,23,25
06,17,37,54,27,29,32,36,22,45,14,13,17,4,10,13,9,14,4,11,21,20,23,17,34
07,49,34,38,30,42,26,41,34,34,18,21,15,33,3,9,8,6,1,13,16,15,45,24,36
08,20,30,32,28,22,27,45,44,39,30,21,19,13,66,10,15,41,3,7,17,27,55,42,49
09,48,32,30,36,39,51,36,52,26,19,43,11,18,21,13,5,6,5,5,19,45,55,42,36
10,48,30,29,25,37,45,38,50,86,40,28,15,6,9,2,5,8,5,6,32,36,44,45,75
11,31,27,38,28,63,45,53,51,32,18,16,10,5,19,9,10,6,7,9,25,52,70,106,70
12,47,18,46,62,54,68,67,98,64,32,23,7,22,6,14,7,6,7,14,51,76,128,174,245
13,139,148,116,56,76,79,83,73,56,20,15,13,10,28,11,5,13,3,49,97,186,204,424,460
14,255,109,85,65,118,82,87,59,50,25,15,13,11,8,9,11,6,3,13,20,23,46,103,105
15,55,39,39,38,59,50,46,27,85,237,13,28,17,11,9,8,4,11,5,14,22,33,22,24
16,25,29,23,27,21,37,49,30,24,31,20,28,18,7,12,12,9,8,8,16,6,24,24,32
17,17,22,40,42,35,25,23,20,36,42,14,11,6,26,7,14,6,20,16,11,15,24,18,17
18,14,30,47,39,50,37,30,40,41,63,26,14,5,17,12,8,9,0,9,11,15,16,25,17
19,30,29,49,19,45,23,15,70,32,27,10,28,12,16,51,5,8,9,6,8,22,19,10,25
20,30,17,38,37,35,27,25,20,20,30,25,14,35,10,7,15,21,7,7,19,21,13,13,23
21,28,26,30,44,26,18,16,22,35,30,27,22,33,10,12,13,7,6,8,19,8,20,23,19
22,43,39,39,31,24,41,34,26,18,30,23,22,7,8,31,11,10,5,7,9,15,11,18,17
23,13,17,29,37,26,30,22,30,25,9,26,12,17,5,7,8,9,10,6,15,7,17,12,30
24,16,52,45,24,45,23,51,29,25,17,16,11,5,17,10,11,10,2,4,5,9,19,17,13
25,20,33,56,33,42,26,50,55,23,18,23,9,9,25,13,6,5,10,10,9,8,12,18,30
26,22,32,33,53,65,45,62,39,42,33,34,32,9,11,11,8,14,7,10,11,16,20,20,17
27,19,24,29,45,50,31,37,36,62,31,29,40,9,7,7,7,9,9,7,9,4,8,15,15
28,15,27,26,25,25,13,20,31,34,24,24,18,13,4,10,9,2,3,5,11,8,18,12,21
29,22,25,28,22,24,30,33,30,34,-1,-1,-1,8,10,8,3,3,16,11,14,21,18,12,26
30,54,28,31,38,53,28,33,45,36,47,21,10,9,9,6,4,18,1,5,7,11,10,16,16
31,29,14,31,50,28,20,28,18,20,19,19,6,11,8,6,9,6,6,6,16,14,-1,-1,-1,-1
