may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,42,50,48,47,64,48,40,39,32,44,34,37,42,30,25,24,14,21,12,8,19,14,32,46,""
02,59,52,44,47,29,27,46,57,56,41,48,55,-1,41,25,23,12,9,12,8,7,14,22,33,""
03,39,46,67,42,39,47,43,45,45,42,37,26,36,36,24,23,14,10,8,10,9,20,24,31,""
04,41,46,42,60,56,50,44,49,49,47,36,27,43,37,22,11,9,9,11,12,18,14,26,36,""
05,30,57,38,49,50,64,65,83,65,65,55,46,55,38,26,22,13,8,12,9,14,21,23,31,""
06,40,50,64,80,77,94,99,83,65,77,76,78,51,44,29,31,12,25,13,9,22,19,34,35,""
07,44,53,49,65,69,72,60,79,69,68,47,49,49,48,42,-1,15,9,-1,7,17,17,31,48,""
08,42,54,42,54,69,62,56,64,57,60,54,-1,38,30,27,15,16,20,11,16,20,24,26,34,""
09,40,54,64,66,62,63,62,69,50,47,50,36,42,40,33,23,20,15,12,17,19,28,25,38,""
10,44,55,56,45,41,58,48,56,49,42,29,-1,-1,41,36,21,21,14,12,11,17,25,25,44,""
11,50,68,45,64,62,68,73,54,64,54,49,46,46,40,29,27,13,18,15,15,14,26,32,33,""
12,54,61,54,47,53,55,55,65,67,59,45,44,56,44,25,15,23,17,9,14,19,26,30,37,""
13,40,48,67,56,58,58,65,55,55,50,40,49,52,44,33,25,16,17,14,18,13,28,40,38,""
14,54,60,52,61,52,50,46,69,67,53,47,50,49,34,31,21,16,10,15,-1,-1,18,26,43,""
15,47,39,49,49,55,58,49,64,54,39,49,31,42,33,33,-1,-1,-1,20,16,22,23,24,37,""
16,52,56,54,56,53,64,43,46,45,53,42,38,41,41,25,24,16,16,4,-1,19,20,32,45,""
17,45,55,40,51,42,43,31,62,75,45,48,56,47,30,31,19,20,19,14,18,16,23,34,47,""
18,46,41,52,60,58,60,45,54,35,-1,31,27,33,40,33,21,22,-1,13,18,18,18,34,29,""
19,36,44,52,39,47,50,58,64,43,35,34,26,33,34,-1,-1,21,14,13,16,16,25,30,36,""
20,42,59,43,45,47,51,55,45,41,45,31,29,30,32,27,27,32,10,17,13,21,17,33,36,""
21,47,57,48,49,55,43,59,76,63,54,29,46,39,36,37,27,25,15,12,15,22,22,25,33,""
22,55,39,42,54,46,43,66,49,48,44,25,36,40,43,29,31,25,22,14,-1,16,28,27,42,""
23,53,41,36,54,61,43,48,39,67,37,41,40,38,44,33,36,27,21,20,18,27,24,39,45,""
24,45,50,36,33,47,53,-1,69,49,48,40,28,45,35,35,32,22,17,8,16,25,32,29,33,""
25,34,42,48,46,37,46,53,51,-1,36,28,22,36,27,37,25,27,-1,14,22,21,24,40,40,""
26,43,45,37,46,39,54,45,52,32,39,-1,-1,29,27,25,21,22,24,23,19,20,19,32,27,""
27,44,45,44,48,42,51,53,60,42,39,34,32,33,35,44,28,-1,-1,24,15,17,23,30,48,""
28,56,54,31,48,45,38,41,58,67,30,30,28,38,42,27,24,27,22,13,17,23,29,33,37,""
29,34,49,44,57,51,59,52,59,59,36,31,25,39,37,35,30,29,17,11,18,19,23,41,36,""
30,39,44,53,48,48,60,39,49,44,53,38,39,53,45,50,39,34,20,20,29,21,23,37,39,""
31,47,49,39,48,49,58,-1,67,52,48,36,28,36,37,30,24,22,22,14,16,19,27,32,39,""
