may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,1,5,9,7,8,5,6,99,52,15,19,26,34,41,9,30,27,37,35,19,37,15,12,11,""
02,5,4,2,8,14,13,11,20,21,19,23,29,32,37,36,50,48,37,44,42,39,34,12,11,""
03,5,9,7,1,8,10,10,17,30,20,22,33,29,43,42,49,59,36,50,24,16,18,14,7,""
04,6,2,4,9,4,3,8,18,16,11,15,37,32,57,49,49,49,57,54,38,36,22,13,10,""
05,6,1,7,3,2,4,3,13,14,14,11,36,69,58,69,62,82,62,74,56,37,19,14,9,""
06,4,3,1,3,9,10,4,17,14,17,34,69,47,62,53,90,101,87,67,44,25,11,4,7,""
07,3,1,2,4,9,9,16,17,14,21,23,2,33,59,61,78,75,53,42,30,33,15,14,9,""
08,4,3,4,6,8,7,12,23,13,19,23,18,36,25,28,41,50,46,59,31,31,19,22,4,""
09,4,7,6,3,2,5,12,15,28,15,19,24,33,32,38,44,47,41,37,28,28,5,8,4,""
10,3,2,2,3,3,4,14,17,22,23,15,36,35,38,41,29,41,49,34,24,26,13,11,9,""
11,4,2,8,1,9,7,11,10,22,25,22,28,27,31,45,31,51,65,50,25,28,19,12,6,""
12,2,3,6,4,5,6,4,7,12,11,11,28,29,26,51,51,45,43,54,46,36,26,23,9,""
13,0,2,5,3,7,7,15,16,21,19,28,35,24,34,39,66,42,54,48,44,25,21,17,10,""
14,3,3,4,9,5,5,10,15,15,18,23,21,22,27,47,48,54,59,43,54,52,31,17,9,""
15,7,6,3,8,9,7,24,19,21,16,19,26,25,23,29,64,53,71,46,43,55,22,20,5,""
16,4,3,5,4,11,8,22,22,20,25,18,23,31,44,51,53,64,66,46,47,38,33,27,11,""
17,7,10,4,6,7,8,13,15,17,24,29,22,28,36,54,53,48,58,35,48,41,28,24,9,""
18,3,4,3,7,4,12,9,12,14,18,11,29,40,44,48,52,53,50,48,43,39,29,16,7,""
19,2,3,5,7,8,8,37,14,14,17,20,19,33,26,35,24,50,57,57,49,19,11,6,8,""
20,5,3,6,11,10,4,15,17,17,21,22,35,38,32,56,32,98,62,51,29,33,24,22,15,""
21,11,5,14,18,6,16,16,16,15,22,31,21,30,26,36,52,52,69,27,32,43,34,10,7,""
22,4,5,11,10,7,9,20,19,29,16,29,23,21,39,48,44,58,51,27,45,27,19,3,10,""
23,4,5,7,9,11,4,14,24,17,25,21,25,30,30,29,52,61,49,35,49,26,23,14,7,""
24,5,5,7,15,7,8,14,19,25,14,15,23,21,29,34,59,65,51,61,47,44,28,16,5,""
25,2,3,2,4,8,9,14,21,23,13,17,20,32,51,32,50,32,52,52,44,34,28,7,5,""
26,4,2,1,5,3,10,14,11,16,19,23,15,41,27,46,47,52,45,32,32,27,20,19,1,""
27,5,3,1,7,2,8,10,17,17,19,22,25,24,17,30,48,61,51,27,35,30,17,11,5,""
28,2,1,2,4,5,3,10,18,18,12,19,16,20,33,36,45,52,53,35,39,31,25,20,9,""
29,7,2,5,5,8,14,18,26,17,30,27,31,38,46,49,62,59,61,44,44,51,30,18,11,""
30,5,6,1,7,8,11,14,12,20,20,28,34,32,46,48,54,55,66,47,48,54,27,15,7,""
31,6,5,6,8,8,14,12,13,27,21,18,24,17,34,36,64,88,64,90,54,34,29,12,-1,""
[E]{hzjynI}le,"z'gl}"
