Jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
1,42,31,41,21,48,53,70,82,48,49,39,24,24,24,17,13,15,14,7,15,15,35,17,31,""
2,34,37,28,48,63,63,63,64,40,24,21,29,11,25,16,12,16,5,10,4,8,13,16,18,""
3,31,33,41,26,52,59,57,70,62,51,48,21,30,12,14,20,18,15,8,15,10,9,9,22,""
4,14,32,25,33,43,39,53,38,59,36,26,19,14,20,20,16,14,5,6,9,17,23,34,35,""
5,34,35,48,49,65,75,111,106,95,86,40,48,26,26,22,23,12,7,9,18,21,20,16,21,""
6,28,22,38,54,71,98,95,89,78,64,45,43,36,48,29,24,14,9,10,12,10,15,28,30,""
7,31,36,41,55,55,71,138,127,119,126,72,61,59,50,41,38,20,24,17,18,16,28,30,46,""
8,52,39,58,65,82,103,116,115,98,79,70,59,57,45,46,33,21,13,15,18,16,24,18,30,""
9,47,44,65,75,79,115,137,118,106,90,65,43,36,43,41,29,14,13,7,12,18,21,30,52,""
10,54,45,70,57,71,91,123,143,101,102,100,56,43,44,35,26,17,19,9,17,25,39,31,24,""
11,41,64,70,95,82,116,134,134,103,102,64,54,39,45,40,44,20,13,12,-1,-1,23,34,49,""
12,50,59,68,105,93,102,145,128,105,78,66,52,31,33,36,27,24,15,20,9,13,19,26,30,""
13,48,46,54,83,100,120,137,107,90,65,58,35,46,40,39,35,22,17,15,17,15,20,23,37,""
14,46,48,59,89,83,111,102,121,81,62,52,27,23,30,29,27,15,12,8,16,14,16,33,50,""
15,48,62,71,75,93,111,132,118,116,86,60,36,42,47,28,27,15,15,12,14,15,26,36,35,""
16,36,42,55,86,85,114,134,98,58,54,57,46,32,28,30,32,17,10,16,19,20,18,34,41,""
17,30,53,63,69,74,104,85,113,77,54,41,31,43,48,29,29,23,21,12,18,19,22,25,30,""
18,61,42,48,44,62,89,104,84,53,47,37,28,25,34,40,30,20,20,12,12,21,26,29,43,""
19,47,47,59,58,67,74,75,86,75,78,50,37,25,38,33,14,23,33,-1,-1,-1,26,29,43,""
20,45,36,47,66,51,70,86,61,48,37,39,46,41,36,-1,26,20,14,23,30,25,22,51,52,""
21,43,53,61,84,85,90,91,84,71,54,74,37,33,31,40,31,24,14,16,21,5,30,31,39,""
22,38,39,49,64,69,74,81,85,70,67,52,33,40,31,27,18,30,15,17,23,15,27,34,60,""
23,48,49,64,65,88,96,96,98,77,85,53,40,28,29,27,21,21,15,15,18,18,23,40,57,""
24,47,53,66,67,82,110,83,96,76,54,39,44,31,27,51,45,32,20,17,17,27,28,49,46,""
25,47,65,57,59,63,105,84,76,62,42,36,33,30,26,34,21,19,12,16,14,15,28,31,45,""
26,43,50,60,68,89,69,67,69,55,31,33,25,33,27,34,16,13,17,7,14,18,22,32,46,""
27,52,46,46,68,75,75,70,73,62,47,47,28,29,23,14,18,22,20,12,17,19,21,21,52,""
28,57,47,62,73,63,66,83,74,58,45,34,34,36,26,32,21,15,18,18,20,15,29,36,59,""
29,63,43,50,71,72,68,56,61,65,47,36,37,32,24,20,28,18,10,17,9,10,14,31,42,""
30,47,44,54,60,65,62,64,69,43,39,37,26,32,25,21,17,15,13,13,6,16,29,29,39,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
