jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,74,54,43,67,56,58,52,64,57,42,27,42,31,40,25,17,34,29,33,27,44,30,55,65
02,37,49,46,59,58,62,71,67,57,30,33,32,59,37,52,27,30,49,41,53,57,47,59,51
03,38,56,71,69,98,120,135,99,59,60,82,122,124,116,94,114,108,91,106,75,96,76,77,53
04,36,50,62,69,48,73,93,101,86,74,47,44,38,37,26,16,25,32,46,30,34,40,39,32
05,32,29,35,46,54,41,55,80,89,61,53,46,28,35,39,19,41,38,33,25,42,49,53,42
06,29,38,42,54,63,55,54,58,56,44,38,49,26,23,21,19,30,29,42,30,41,38,47,30
07,51,35,43,51,65,62,58,59,45,41,48,46,50,31,27,12,21,25,27,36,23,31,37,25
08,35,19,43,20,47,54,74,56,73,61,31,43,29,22,33,17,18,14,25,30,31,32,47,54
09,29,45,36,41,61,62,67,47,53,27,32,18,29,34,17,17,16,20,37,23,23,21,24,29
10,28,33,47,43,44,49,44,40,20,1,1,26,19,4,5,2,4,13,18,13,14,31,30,23
11,30,41,40,29,41,50,61,54,40,37,29,36,30,28,22,16,12,13,12,20,13,29,30,53
12,28,49,55,54,45,46,59,53,38,39,37,46,32,28,25,29,20,24,18,21,24,30,25,24
13,30,30,44,46,42,38,48,49,50,36,18,49,39,23,20,6,17,21,23,22,19,33,22,37
14,37,42,40,47,23,17,48,48,40,43,28,42,32,32,31,15,17,19,13,10,21,19,15,28
15,28,15,15,59,62,73,66,65,56,34,36,39,28,34,35,15,26,27,15,25,30,23,25,34
16,37,21,42,57,54,51,33,28,20,14,30,55,29,29,23,18,28,21,13,22,12,23,33,35
17,37,25,34,43,49,33,47,48,49,32,41,49,27,22,16,15,6,12,19,25,20,31,29,39
18,32,37,43,41,65,51,57,46,38,36,29,27,17,14,35,32,27,15,16,19,14,27,22,37
19,27,41,29,25,36,47,55,29,31,19,40,27,33,39,27,29,24,28,11,26,20,25,35,16
20,38,33,38,28,45,44,52,38,37,34,23,23,32,20,15,9,24,8,7,25,17,20,24,24
21,31,28,26,21,36,42,45,48,22,32,23,25,24,22,22,11,18,17,20,15,17,24,21,24
22,40,36,27,38,44,50,41,29,46,26,18,14,18,26,17,13,27,15,10,20,23,24,30,25
23,33,29,34,40,33,37,39,34,33,31,22,24,19,12,29,3,10,14,19,23,20,34,25,20
24,28,33,44,28,41,34,37,25,34,26,22,10,20,17,8,15,14,23,20,29,16,20,25,22
25,31,31,25,42,37,30,33,26,28,28,24,18,20,17,17,17,9,15,24,11,10,19,34,28
26,30,32,36,30,42,46,42,36,42,22,17,22,19,15,14,19,12,11,11,20,21,20,26,28
27,50,32,37,43,35,34,51,33,34,19,26,29,23,20,22,13,10,16,10,26,17,15,27,32
28,27,39,53,43,38,52,39,36,26,34,34,24,33,25,16,11,7,5,14,24,22,20,22,33
29,20,41,48,44,36,31,43,46,35,22,12,36,20,28,9,10,17,8,7,6,11,12,12,12
30,7,6,37,27,45,32,40,38,36,20,14,18,19,16,11,8,14,12,15,16,21,12,15,29
31,21,40,30,38,30,20,42,31,26,24,11,21,22,23,13,13,10,8,8,13,20,25,42,37
