dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,108,72,91,75,66,125,140,161,50,49,57,56,50,54,50,66,72,47,56,41,57,41,26,24,""
02,35,41,32,54,54,43,56,51,66,67,64,77,68,65,74,73,60,69,72,73,51,41,38,29,""
03,39,32,28,34,47,58,54,72,69,72,94,67,84,75,68,75,129,153,172,165,133,121,103,113,""
04,89,98,113,116,153,179,220,245,245,248,275,277,276,230,241,221,207,210,227,174,182,122,117,102,""
05,104,121,131,132,166,206,242,271,308,305,276,295,260,229,255,252,255,233,184,169,147,116,104,103,""
06,101,117,128,138,180,190,225,266,273,273,285,318,262,230,227,271,255,243,188,177,143,136,109,85,""
07,100,116,104,116,141,151,160,179,209,212,229,219,259,185,259,219,218,196,175,152,127,148,147,102,""
08,103,108,138,113,136,158,177,198,253,282,268,282,274,220,219,202,195,189,166,154,123,112,106,92,""
09,108,116,124,142,164,187,215,235,244,245,246,236,271,254,230,211,204,211,187,158,129,108,106,93,""
10,126,145,170,134,170,172,184,208,199,239,229,264,-1,97,225,162,165,215,215,180,142,83,92,109,""
11,135,173,166,204,200,178,174,215,235,282,253,298,327,268,242,234,228,213,190,153,132,95,97,115,""
12,153,199,189,186,179,174,204,202,253,305,297,314,350,301,215,227,201,210,176,145,111,90,84,110,""
13,191,274,246,260,244,242,199,205,312,398,360,384,313,345,276,207,191,177,148,114,125,85,77,105,""
14,189,247,273,288,286,258,248,259,356,374,369,354,259,208,228,266,197,216,171,161,127,109,81,89,""
15,121,133,169,163,201,190,195,215,239,266,237,259,225,245,218,184,169,176,171,133,124,83,94,72,""
16,94,104,122,123,157,164,210,213,248,239,252,247,248,212,188,207,197,166,174,164,117,103,110,104,""
17,107,105,107,113,131,147,153,203,226,234,203,39,51,52,51,51,33,32,83,173,160,110,98,103,""
18,96,89,99,105,121,55,42,31,49,46,38,40,53,53,55,64,80,76,60,42,40,34,24,29,""
19,27,21,25,29,40,36,47,50,55,57,55,59,48,66,61,91,274,219,241,204,170,155,125,118,""
20,107,102,116,127,137,180,171,224,218,230,248,253,80,268,255,271,256,275,219,209,165,143,125,89,""
21,145,124,129,134,146,187,200,238,278,265,258,254,269,259,211,229,225,6,240,203,171,132,113,100,""
22,105,101,112,144,137,141,207,233,245,254,251,242,240,266,259,256,256,225,197,200,162,145,147,177,""
23,165,135,125,147,160,204,250,254,252,252,274,282,297,257,249,247,236,275,236,211,158,149,123,108,""
24,91,105,97,101,113,157,182,186,209,225,225,221,265,231,213,255,268,210,242,200,142,111,95,82,""
25,71,152,107,109,123,158,198,185,191,192,211,236,237,193,268,222,221,209,197,160,137,106,113,92,""
26,78,70,107,93,139,138,171,192,194,210,211,248,209,215,38,209,198,214,193,145,128,94,80,83,""
27,78,79,86,119,129,147,151,187,212,213,214,277,263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,85,114,143,162,191,232,249,245,250,266,240,261,261,234,233,215,234,205,152,131,103,72,""
29,57,93,81,74,139,160,186,197,206,219,227,203,189,47,58,112,226,230,222,179,125,103,76,75,""
30,81,71,96,101,127,158,81,31,35,40,41,46,40,59,97,95,52,45,43,34,31,17,18,11,""
31,22,18,16,18,25,43,35,36,43,39,44,47,49,68,60,61,58,51,59,39,34,30,28,-1,""
