oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,011,016,017,021,010,017,017,025,027,022,026,018,012,008,007,013,005,008,004,008,015,009,019,014
02,022,009,014,017,018,020,033,017,019,022,010,010,020,010,011,010,005,005,012,010,014,018,017,013
03,008,007,009,020,013,015,008,017,028,022,016,017,013,017,017,009,004,015,010,013,009,005,010,011
04,007,007,005,006,003,005,007,012,020,026,015,010,005,009,014,015,014,013,016,016,011,013,010,005
05,004,005,006,007,008,007,007,005,013,007,004,003,013,012,010,003,007,004,008,008,008,007,006,002
06,000,003,006,007,004,006,010,001,000,000,006,046,025,017,020,023,019,004,000,001,004,021,019,039
07,037,032,029,033,025,032,029,025,031,018,032,018,028,020,020,011,024,027,021,025,033,034,037,034
08,029,030,027,040,038,034,033,008,016,019,003,000,000,014,024,023,015,017,024,033,032,045,047,035
09,023,033,030,030,029,031,038,035,035,034,037,025,041,016,013,012,010,012,019,012,012,026,029,029
10,022,018,017,020,030,022,019,031,036,035,048,041,036,031,026,020,028,018,026,022,025,030,045,042
11,037,049,047,031,051,049,036,036,025,033,027,021,015,022,021,016,015,020,023,027,036,032,036,035
12,021,038,020,024,032,023,038,037,028,026,017,014,020,016,015,021,020,023,028,018,024,021,023,020
13,025,024,020,028,034,038,026,039,027,017,027,025,019,022,017,024,026,026,023,027,034,030,032,043
14,029,043,032,043,022,038,040,025,053,040,034,041,028,033,029,025,021,020,021,034,024,047,041,041
15,039,037,045,038,037,034,029,031,028,038,040,031,035,023,029,042,043,027,023,023,030,039,051,038
16,032,046,039,045,046,056,037,043,044,037,040,031,035,022,039,036,022,023,014,013,033,025,030,028
17,034,028,042,039,022,052,049,044,043,052,040,027,031,034,025,025,024,019,030,024,026,027,036,029
18,038,046,032,034,031,046,027,017,012,022,019,014,008,017,024,022,016,037,033,025,021,025,039,041
19,033,030,023,026,025,027,028,030,015,024,003,001,000,000,000,000,000,000,001,022,018,021,019,027
20,025,036,023,031,037,048,049,034,050,018,017,033,028,016,013,022,033,023,024,030,028,026,031,020
21,041,037,051,043,058,045,023,034,022,016,001,006,000,005,000,000,000,000,001,000,000,000,000,000
22,000,000,001,000,001,000,000,000,001,001,001,001,000,001,007,020,022,017,018,017,011,017,022,024
23,039,025,020,019,032,020,036,022,025,032,045,033,022,029,018,012,018,024,020,019,026,027,038,024
24,041,032,026,019,035,031,033,043,038,037,025,025,025,037,019,022,017,023,031,022,021,034,033,042
25,030,026,022,043,043,040,027,026,021,011,016,024,037,039,040,058,038,045,055,051,051,048,064,050
26,068,073,052,057,058,048,036,047,042,034,039,040,033,032,029,021,022,031,034,031,038,040,042,043
27,043,039,036,037,043,056,039,035,020,027,024,024,023,018,024,019,019,016,013,021,027,027,034,019
28,026,019,021,025,023,019,022,014,016,025,016,022,020,018,008,018,014,018,015,025,022,015,031,018
29,019,013,020,019,025,024,013,013,013,023,027,028,019,029,027,016,014,016,027,019,020,019,023,025
30,024,024,028,030,021,024,027,024,021,019,012,003,004,000,000,001,000,001,001,004,002,002,002,013
31,020,029,026,029,033,021,026,016,030,025,019,019,022,012,017,016,011,018,018,014,017,015,022,017
