oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,011,007,013,010,011,022,014,021,013,016,022,011,012,009,016,014,011,012,011,016,015,018,007,015
02,012,007,009,016,020,011,014,023,015,018,018,014,009,014,015,017,013,020,010,013,021,010,015,008
03,008,013,014,013,021,017,021,017,016,014,015,009,006,009,008,010,008,009,016,016,014,005,023,015
04,031,013,006,016,013,023,018,022,019,016,014,012,011,008,012,024,010,014,008,014,014,012,014,020
05,011,011,015,012,013,018,025,020,025,019,016,018,012,014,014,016,013,014,017,010,015,020,015,019
06,020,013,014,012,009,027,019,005,000,000,001,014,011,015,009,013,010,024,017,019,012,017,018,024
07,019,015,018,020,010,013,013,017,017,018,015,018,009,013,009,006,008,014,014,008,021,023,017,009
08,010,016,020,015,008,018,014,018,016,014,011,011,012,008,014,012,017,010,008,014,011,013,008,017
09,017,017,018,016,012,020,025,012,012,008,017,012,014,008,016,008,011,010,008,010,014,026,006,013
10,008,012,006,012,010,009,013,010,010,022,016,015,015,019,014,014,013,010,012,013,017,015,013,017
11,011,008,008,011,023,022,018,013,012,016,013,013,018,012,012,010,019,012,012,019,008,014,021,014
12,018,019,019,011,013,022,023,019,017,018,014,010,010,012,010,010,010,007,013,013,013,017,012,017
13,020,021,017,015,019,028,020,018,019,012,015,012,011,012,011,010,017,014,006,011,017,011,013,023
14,012,024,016,012,015,017,015,021,016,017,012,010,009,010,008,018,008,006,012,014,018,015,012,016
15,010,016,012,019,015,016,011,021,015,017,016,017,017,013,010,015,009,011,014,008,027,011,014,017
16,019,022,026,022,009,025,015,021,019,014,007,011,016,016,014,019,014,014,009,017,023,016,012,022
17,015,020,009,017,012,019,011,020,013,019,009,009,019,010,017,006,011,012,012,014,016,011,012,021
18,013,019,022,026,017,016,022,020,018,013,016,010,018,011,016,016,014,020,021,016,019,028,021,013
19,027,020,029,030,017,029,031,026,016,022,019,014,012,015,013,018,014,016,011,020,026,015,023,018
20,020,020,015,023,020,027,025,022,021,022,014,014,021,018,014,013,018,020,021,022,021,028,025,021
21,017,021,013,033,023,033,022,023,025,019,020,018,023,014,016,014,007,012,013,018,020,019,015,017
22,024,014,024,021,016,019,026,025,030,008,016,023,014,019,012,006,018,015,013,015,019,026,015,016
23,019,014,023,021,017,025,020,019,019,016,030,012,008,017,009,016,010,014,014,010,017,024,014,025
24,000,018,018,026,025,016,019,025,018,022,025,017,009,020,017,016,014,020,017,019,013,025,014,023
25,014,011,015,014,015,022,017,016,017,019,018,010,021,015,013,017,016,016,014,016,011,013,018,015
26,014,020,012,012,021,022,016,016,011,017,021,017,025,012,016,006,013,017,012,021,019,018,014,021
27,014,018,014,012,020,014,017,017,013,015,011,021,012,014,022,010,009,008,013,014,012,016,017,022
28,017,014,012,009,018,021,017,017,019,011,016,021,009,016,013,012,008,013,016,014,016,014,017,017
29,007,009,023,020,020,016,028,021,011,014,015,020,014,017,014,010,015,007,014,016,018,018,020,023
30,016,016,013,014,020,014,024,020,021,017,016,012,018,015,015,017,017,014,008,020,014,018,014,016
31,018,020,019,017,019,017,015,017,015,019,019,018,011,009,012,011,016,011,025,018,015,021,016,015
