jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9,19,37,nan,nan,39,48,63,51,61,63,53,65,28
02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9,19,31,37,51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
04,67,48,nan,nan,nan,nan,nan,nan,nan,10,9,15,34,42,nan,48,52,81,81,104,93,122,114,87
05,26,32,34,23,18,16,nan,11,14,5,13,12,30,34,38,53,69,72,76,84,90,97,70,44
06,42,43,40,20,26,16,13,nan,9,10,7,19,30,33,39,27,50,45,59,62,59,64,47,30
07,40,38,41,24,nan,nan,nan,10,nan,8,13,8,23,16,25,42,36,61,61,57,57,56,55,48
08,42,24,23,17,20,10,9,nan,nan,nan,23,12,24,39,nan,26,39,57,69,50,50,63,42,35
09,37,23,17,20,13,14,8,5,16,11,12,21,30,42,35,26,49,36,58,62,66,57,60,46
10,32,33,22,14,21,9,10,5,nan,nan,9,15,10,18,25,35,48,61,56,52,57,67,52,46
11,22,20,25,nan,nan,nan,nan,nan,nan,5,10,27,33,21,36,28,38,45,55,51,51,34,43,nan,nan
12,38,42,nan,25,16,18,10,10,5,11,8,21,33,32,31,32,41,58,52,59,59,60,45,46
13,43,40,31,26,29,13,5,14,5,7,10,21,33,32,37,36,43,53,51,59,58,56,39,36
14,nan,nan,12,nan,nan,nan,nan,9,10,7,11,13,26,39,29,44,41,35,42,72,66,45,28,42
15,26,nan,nan,nan,nan,nan,nan,nan,8,5,5,24,24,27,31,32,43,58,47,58,65,47,44,41
16,47,44,39,27,19,12,9,8,14,12,12,18,23,35,41,30,37,46,69,59,50,49,33,30
17,47,34,37,24,nan,12,6,13,14,9,10,16,21,30,37,44,45,52,62,56,57,49,45,36
18,nan,35,nan,nan,nan,nan,nan,nan,6,13,17,14,31,39,47,39,43,47,50,53,60,44,44,42
19,33,42,nan,nan,nan,nan,nan,nan,nan,9,16,21,31,31,33,44,47,51,56,53,67,53,50,37
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,6,10,13,16,29,37,34,42,56,61,73,45,61,39,nan,nan
21,nan,nan,nan,nan,nan,nan,nan,nan,6,11,9,8,34,36,37,34,28,41,48,58,58,62,33,24
22,26,20,nan,nan,nan,nan,nan,nan,4,8,5,14,37,31,50,42,56,59,50,58,15,53,58,nan,nan
23,49,42,25,21,16,11,9,5,8,6,10,12,31,36,40,47,46,51,56,45,52,42,48,37
24,31,19,10,17,20,18,9,6,3,6,4,11,28,42,36,40,50,59,50,48,35,47,39,25
25,27,32,17,12,nan,nan,nan,nan,3,nan,nan,9,11,15,19,37,24,50,43,41,31,32,33,38
26,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,8,16,25,19,15,25,38,44,59,48,61,39,21,nan,nan
27,18,18,nan,nan,nan,nan,nan,nan,nan,nan,12,21,26,49,38,37,15,35,38,44,53,49,24,32
28,15,nan,nan,nan,nan,nan,nan,nan,2,4,3,15,29,46,47,33,48,49,43,55,28,37,22,25
29,12,36,28,10,nan,nan,nan,nan,nan,13,8,18,28,31,45,47,45,45,40,53,41,34,35,32
30,33,22,22,18,23,11,10,10,1,8,10,19,33,35,39,36,47,41,68,38,46,42,40,nan,nan
31,24,15,12,24,nan,nan,nan,nan,nan,2,10,6,14,17,20,43,30,30,42,42,49,39,23,14
