may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,36,29,34,21,34,41,35,39,41,35,62,28,29,27,25,11,19,48,19,46,29,23,27,26,""
02,24,22,41,26,38,63,43,37,53,84,36,32,31,40,79,75,71,80,81,34,35,67,1,46,""
03,25,9,22,64,2,22,27,22,79,30,51,24,17,75,28,22,30,13,12,26,32,20,31,29,""
04,20,20,31,31,42,-1,46,46,57,34,30,41,21,22,12,21,27,9,19,14,28,35,24,33,""
05,25,22,24,36,35,45,47,59,46,47,46,34,27,29,22,26,22,18,21,24,21,19,38,25,""
06,30,26,30,38,39,51,45,57,39,60,37,31,11,8,18,16,21,16,23,17,24,29,20,33,""
07,25,33,34,35,44,54,53,40,47,37,45,36,27,16,20,7,1,8,9,18,16,21,8,14,""
08,28,38,38,58,38,45,42,59,46,48,48,26,30,28,5,7,3,13,13,22,25,33,31,4,""
09,9,30,32,40,25,43,51,37,49,32,27,21,21,4,0,0,1,2,1,2,2,4,13,16,""
10,39,31,32,30,37,44,32,37,49,8,0,14,4,3,3,1,6,3,8,14,21,20,36,24,""
11,30,27,31,46,35,48,48,48,41,38,42,43,31,7,4,3,8,2,3,8,32,23,23,37,""
12,39,32,47,42,47,31,43,25,67,47,42,27,32,30,11,3,5,4,13,17,23,36,37,44,""
13,45,30,31,46,42,28,30,49,27,20,25,4,15,20,21,8,11,11,16,9,19,13,16,21,""
14,15,-1,-1,-1,-1,-1,32,26,31,37,17,20,20,16,17,15,25,13,14,14,8,17,20,28,""
15,18,24,20,21,23,24,34,36,33,41,36,36,28,24,27,23,14,8,33,21,31,41,43,67,""
16,75,79,63,31,38,37,32,36,39,37,28,16,24,22,20,20,20,14,18,16,33,41,51,51,""
17,55,38,38,29,24,35,31,60,21,26,19,22,25,23,24,23,14,18,18,23,19,54,63,78,""
18,80,44,36,28,26,24,27,28,35,30,28,24,26,17,16,16,21,13,18,16,29,22,24,17,""
19,27,26,25,22,25,28,23,26,39,41,36,26,17,24,18,20,28,19,7,14,27,83,28,31,""
20,27,21,23,34,30,23,34,33,27,22,33,23,21,25,21,86,10,11,14,15,31,13,19,17,""
21,20,26,19,28,32,32,15,32,26,32,26,16,21,24,17,21,17,11,15,24,24,24,18,20,""
22,25,28,12,22,23,16,20,47,41,26,34,20,21,27,18,16,14,14,11,14,20,16,18,23,""
23,21,17,13,26,25,23,15,13,27,23,24,28,21,19,22,23,27,17,21,19,14,22,15,18,""
24,7,21,14,15,15,13,14,11,22,28,21,20,17,14,11,14,21,17,8,7,17,15,21,10,""
25,23,19,19,26,16,29,43,36,69,60,35,63,26,20,24,18,28,19,10,20,37,32,32,47,""
26,58,54,39,25,37,29,34,29,38,37,37,23,17,32,39,21,19,8,18,17,28,16,15,14,""
27,19,20,26,25,23,28,25,19,17,16,26,21,29,18,21,23,22,17,17,8,23,13,19,9,""
28,18,19,22,18,13,20,19,5,1,0,9,23,17,15,22,12,24,16,14,14,17,21,16,23,""
29,19,15,20,18,16,21,27,16,28,19,17,19,14,15,18,25,15,7,10,17,20,21,17,19,""
30,15,24,27,23,10,27,30,20,33,24,41,18,20,15,23,20,12,15,11,19,18,25,27,28,""
31,22,22,19,21,35,32,26,34,32,40,17,23,17,18,17,26,-1,-1,-1,-1,-1,-1,-1,-1,""
