Nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,220,232,260,344,355,324,341,320,315,299,231,247,181,170,163,146,172,161,187,188,181,107,217,256
2,262,304,361,391,363,350,351,316,342,305,272,271,229,191,174,137,154,127,148,195,157,218,268,255
3,288,277,173,276,200,187,295,316,301,262,221,236,190,181,178,136,158,153,179,201,229,237,274,273
4,324,306,365,351,395,352,310,231,240,251,256,220,172,191,197,193,180,199,211,232,258,239,268,325
5,334,356,379,389,351,349,377,347,313,313,255,244,229,174,193,171,157,159,174,197,208,228,255,286
6,328,364,397,355,352,356,395,366,375,313,267,236,239,208,159,174,163,161,178,171,227,219,233,259
7,280,281,297,376,370,357,377,296,269,291,268,211,179,169,150,137,162,160,189,197,205,211,250,266
8,316,368,358,354,403,369,363,352,296,295,229,228,201,183,171,145,180,196,172,197,246,169,267,273
9,177,169,290,296,344,322,359,314,295,290,260,260,226,185,194,197,202,168,196,239,253,232,304,359
10,353,353,383,379,378,356,337,352,275,289,241,249,200,168,176,182,171,165,221,249,257,231,276,327
11,346,372,363,372,364,385,365,352,308,276,273,230,174,188,183,156,183,191,198,244,266,237,318,325
12,347,414,416,381,392,361,352,365,194,271,237,230,191,182,147,171,173,151,168,236,235,233,250,259
13,254,291,291,291,323,365,372,304,325,286,244,236,205,210,157,128,124,129,190,211,104,239,264,254
14,232,304,341,314,311,241,234,225,235,186,169,149,136,141,141,150,150,151,144,199,221,86,221,248
15,309,307,304,306,284,242,264,246,192,168,166,155,143,127,123,100,72,154,170,165,220,207,232,260
16,286,236,185,288,349,271,268,230,253,210,141,147,151,140,130,116,142,105,163,179,202,242,231,158
17,209,284,294,282,199,225,150,188,213,184,194,151,134,141,133,148,162,155,179,160,180,220,199,274
18,307,290,314,280,206,199,224,275,189,198,189,175,141,120,114,139,135,125,88,161,210,246,198,255
19,292,295,296,266,234,226,254,234,215,154,184,148,160,152,111,111,127,132,125,179,204,234,206,198
20,258,283,362,347,277,252,251,288,163,163,169,157,169,144,126,108,131,151,161,124,105,180,222,294
21,296,210,226,208,260,234,139,195,154,212,182,166,163,108,96,124,98,89,148,135,199,195,174,227
22,309,298,288,151,302,260,243,159,140,168,180,164,180,172,156,106,150,145,182,211,212,258,284,285
23,368,363,424,410,402,347,309,281,210,257,225,201,188,158,169,158,156,165,190,196,223,259,283,312
24,327,340,378,367,360,355,370,321,271,228,193,157,111,90,104,87,107,140,163,76,125,212,232,278
25,301,367,355,342,385,354,370,279,229,241,250,193,168,147,245,134,124,175,173,205,207,159,159,308
26,293,316,301,433,404,391,321,295,243,222,210,209,183,167,190,179,158,178,179,151,145,206,209,215
27,244,241,288,247,234,206,180,186,171,149,161,121,81,131,139,139,115,123,164,206,223,252,273,332
28,326,354,353,344,310,265,289,257,188,232,172,124,128,65,62,48,80,79,111,130,150,138,134,106
29,118,119,118,79,63,51,5,3,1,3,-1,6,18,32,43,73,92,103,102,90,86,103,76,90
30,152,114,93,179,215,226,162,88,73,62,43,22,11,12,21,60,59,44,94,81,73,73,87,149
31,154,147,171,218,205,176,133,139,154,146,134,107,95,94,79,75,85,59,95,113,142,143,168,179
