Jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,11,6,5,3,9,5,11,4,1,2,5,5,9,11,16,8,11,9,11,17,8,10,7,6
2,7,6,-1,-1,-1,12,6,-1,4,1,9,7,7,9,9,7,12,10,2,15,12,24,7,9
3,6,3,1,4,2,6,4,2,-1,6,2,7,13,13,13,6,8,6,6,5,16,16,8,13
4,7,3,4,7,6,1,8,4,9,4,4,5,12,9,14,7,10,13,4,10,16,11,9,8
5,8,8,5,-1,-1,-1,-1,-1,3,6,8,9,8,17,11,7,8,6,9,13,14,11,8,11
6,8,7,4,6,2,3,2,5,6,3,2,8,7,11,14,16,13,17,12,10,20,14,13,5
7,9,-1,-1,-1,3,2,4,5,3,8,4,5,8,15,17,6,11,7,12,16,16,12,11,4
8,4,3,4,4,-1,3,3,7,-1,-1,5,7,13,16,14,8,11,15,8,18,11,12,8,8
9,3,3,3,5,4,3,8,-1,4,1,4,6,18,7,13,10,13,6,12,13,17,14,16,8
10,5,-1,-1,-1,-1,-1,1,6,3,7,5,5,11,7,10,10,4,15,18,13,8,13,15,7
11,6,6,2,6,6,6,3,5,-1,5,4,6,10,18,8,9,5,7,8,8,10,9,9,8
12,5,2,3,1,1,2,3,4,2,4,2,4,8,19,9,9,5,5,10,14,7,12,8,8
13,2,1,6,4,-1,-1,-1,-1,-1,1,6,5,12,11,12,18,7,11,6,16,15,14,15,6
14,9,4,4,1,4,4,1,-1,4,2,4,5,5,10,9,9,5,10,8,10,11,17,12,12
15,6,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,10,10,11,6,7,10,8,13,15,5,11
16,7,-1,-1,-1,-1,-1,6,-1,-1,5,4,7,10,17,12,5,8,7,14,6,8,8,14,7
17,3,5,-1,11,-1,-1,-1,-1,5,4,2,4,11,16,8,11,15,7,10,9,12,7,3,5
18,5,-1,6,2,4,5,5,3,2,3,8,5,11,-1,12,10,9,9,15,7,18,16,11,7
19,-1,-1,4,-1,-1,-1,2,4,2,4,8,8,12,15,19,11,6,8,4,6,4,6,5,4
20,6,4,-1,-1,-1,-1,-1,-1,-1,3,5,4,6,13,21,11,9,5,10,13,7,11,5,4
21,10,6,-1,-1,5,-1,3,5,4,7,9,8,6,16,21,13,7,9,13,9,13,14,13,6
22,4,2,6,5,-1,-1,-1,4,4,1,4,5,6,19,11,14,5,6,12,11,16,10,4,4
23,3,6,2,2,-1,8,2,5,7,4,5,-1,-1,-1,-1,17,8,10,14,11,12,10,13,1
24,6,5,2,1,4,-1,-1,1,5,2,5,9,17,15,24,17,14,16,13,10,22,7,9,12
25,3,6,6,1,3,-1,-1,-1,5,8,6,10,15,21,19,10,17,10,11,15,16,25,8,7
26,7,8,5,-1,-1,-1,-1,-1,2,4,4,5,14,24,23,19,17,18,19,11,15,13,11,5
27,6,2,5,-1,-1,-1,6,-1,4,7,2,4,15,22,31,29,13,20,18,14,6,16,16,5
28,8,7,1,3,-1,-1,-1,6,3,5,9,9,14,18,19,25,17,21,19,21,21,6,2,8
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,25,25,14,17,15,15,14,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,2,2,5,1,2,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
