Aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,9,7,7,7,12,9,6,-1,-1,-1,3,9,23,29,44,60,44,65,35,38,38,19,24,17
2,15,11,7,6,5,3,4,3,7,5,5,11,19,35,36,38,50,39,37,35,35,25,21,16
3,15,7,2,6,9,7,8,5,2,1,3,6,13,28,44,41,40,31,29,35,23,31,21,15
4,13,9,5,6,7,11,14,10,5,9,6,7,23,21,28,28,30,27,30,34,34,14,22,14
5,13,17,11,9,17,15,6,6,11,5,3,13,22,32,41,31,33,30,37,27,19,21,24,19
6,10,12,4,10,12,5,7,6,4,6,5,16,20,24,24,46,38,36,45,30,26,38,21,15
7,12,-1,3,-1,-1,-1,6,4,3,5,3,8,9,19,51,30,36,31,25,23,25,31,27,20
8,16,10,7,8,11,6,5,6,3,6,6,3,9,28,39,37,30,35,24,23,26,31,26,12
9,25,8,10,9,15,11,8,8,9,6,9,7,12,21,22,36,26,13,41,35,34,25,32,22
10,14,12,6,4,-1,-1,7,5,2,7,10,5,15,21,25,23,29,38,28,25,31,17,16,13
11,17,13,7,8,8,12,11,7,9,9,7,7,16,23,33,17,24,23,25,21,15,23,23,25
12,14,10,6,7,18,11,9,4,7,3,5,4,23,19,32,33,33,21,46,38,36,30,24,27
13,20,10,14,14,10,11,8,7,5,8,8,16,19,25,30,41,36,43,42,38,33,37,41,29
14,18,14,10,12,10,13,7,8,1,3,6,11,21,23,30,27,41,29,41,34,37,31,27,14
15,18,8,4,5,14,4,12,12,5,2,5,11,16,19,24,24,30,33,34,36,37,27,31,8
16,12,6,6,6,14,11,10,6,7,5,3,8,9,17,20,31,21,45,28,31,17,24,23,20
17,13,14,10,6,6,10,7,5,7,8,2,11,18,17,25,29,21,30,23,30,26,17,16,13
18,7,7,8,10,11,9,4,7,2,6,6,12,16,18,29,22,27,17,27,20,22,16,15,21
19,7,4,11,6,13,11,6,5,3,5,4,11,14,16,27,25,20,22,26,15,19,27,13,18
20,9,9,4,7,8,5,8,8,6,4,5,9,10,22,23,24,18,21,16,24,32,21,10,20
21,2,9,11,2,5,8,11,7,1,2,8,9,14,17,19,26,19,28,16,17,19,21,19,14
22,14,6,5,-1,7,6,5,8,5,4,6,11,16,25,18,22,23,17,24,20,20,19,15,15
23,8,6,5,3,-1,8,2,8,8,-1,1,4,8,12,11,7,13,16,11,16,17,16,14,11
24,5,6,7,6,6,7,8,8,43,7,6,13,21,15,23,17,29,19,20,16,16,23,14,9
25,7,10,2,2,9,5,7,5,11,8,3,9,11,12,12,19,18,18,17,16,13,14,12,11
26,16,8,4,4,10,9,8,6,2,6,4,12,11,15,17,18,19,16,18,14,17,15,17,6
27,7,11,4,10,6,5,6,8,4,5,2,4,9,18,14,17,23,22,11,17,14,14,8,10
28,9,5,7,9,8,-1,6,9,7,5,2,9,15,17,16,21,17,14,12,19,9,16,17,13
29,8,7,6,9,9,6,7,6,6,7,1,3,11,12,19,15,17,17,17,26,13,16,11,9
30,16,11,8,7,4,3,3,2,3,1,4,6,7,16,15,15,18,10,10,19,13,17,9,14
31,9,12,11,14,18,8,-1,6,5,7,1,7,10,15,21,12,6,9,14,16,13,17,12,12
