feb, 00h, 01h, 02h, 03h, 04h, 05h, 06h, 07h, 08h, 09h, 10h, 11h, 12h, 13h, 14h, 15h, 16h, 17h, 18h, 19h, 20h, 21h, 22h, 23h
 01,5,7,23,8,16,12,32,43,28,19,17,23,6,4,6,7,2,1,4,6,6,8,15,4
 02,2,10,12,14,29,14,16,30,17,8,9,8,12,25,11,6,4,10,3,3,6,7,6,3
 03,6,4,22,8,33,15,17,22,19,28,12,13,7,7,2,2,3,2,1,2,8,3,6,6
 04,2,6,14,13,13,18,11,20,11,22,22,26,12,5,7,5,7,5,4,5,6,5,3,3
 05,4,9,5,5,15,12,16,15,7,15,7,14,8,4,5,4,4,13,8,3,2,2,4,2
 06,6,4,8,5,17,9,18,17,30,18,10,7,19,5,6,6,3,4,4,4,8,5,11,2
 07,3,8,4,nan,nan,21,49,21,15,11,5,6,5,7,7,3,1,6,11,5,9,8,12,2
 08,2,4,9,9,15,20,25,25,21,16,6,13,4,4,2,7,2,3,7,2,5,6,4,4
 09,1,3,2,8,13,32,21,7,14,13,10,5,9,8,4,5,4,7,7,9,9,7,6,5
 10,10,17,5,6,23,10,26,15,15,18,8,6,7,8,4,5,4,3,5,5,8,7,9,2
 11,3,6,8,19,19,11,27,24,18,9,8,8,12,3,3,2,2,3,9,7,11,14,8,4
 12,5,6,10,21,28,20,26,30,38,97,43,17,10,20,9,9,4,3,3,8,8,12,10,6
 13,5,13,7,8,27,22,12,21,47,20,15,29,16,10,6,23,4,6,4,7,9,9,8,5
 14,5,15,6,13,16,19,17,18,6,9,12,15,16,8,3,3,3,2,5,5,23,14,6,3
 15,11,5,7,12,42,15,20,14,15,16,22,18,8,3,23,3,9,3,5,7,8,11,11,3
 16,2,14,8,15,23,25,23,14,26,17,25,15,23,5,4,2,2,7,8,6,9,8,13,4
 17,10,4,9,11,13,16,23,30,25,11,10,15,10,6,11,8,14,4,6,9,9,8,14,3
 18,2,10,15,8,20,18,24,42,34,16,21,22,8,6,6,9,5,6,5,8,9,8,12,6
 19,4,14,10,13,16,18,14,34,38,16,23,26,13,12,10,9,3,2,5,6,9,13,21,4
 20,3,6,7,8,16,17,33,20,59,42,21,15,13,13,12,9,8,14,5,9,10,10,9,3
 21,4,18,5,11,19,16,17,34,13,18,11,10,11,11,7,5,4,5,6,5,9,9,8,4
 22,2,4,9,14,16,20,35,11,21,14,14,7,18,8,3,10,2,8,4,4,8,6,6,2
 23,5,4,1,13,22,15,20,14,20,12,10,9,6,5,1,2,10,6,4,4,12,13,12,2
 24,9,15,8,12,42,19,24,20,18,21,29,17,14,5,6,1,3,9,2,1,7,6,3,2
 25,8,3,4,3,8,4,11,10,20,23,11,20,10,7,5,4,10,1,nan,nan,nan,nan,nan,4
 26,1,3,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18,6,5,4,5,4,6,8,11,6
 27,10,6,12,12,25,20,15,19,20,17,27,16,14,11,8,4,6,3,3,6,7,11,12,5
 28,3,8,13,27,17,26,28,10,29,10,10,6,7,8,8,1,6,4,3,6,10,8,12,3
 29,5,5,18,6,12,16,12,19,7,18,22,21,10,3,7,4,4,10,4,6,6,8,10,6
 30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
