jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,25,16,19,33,30,58,72,49,38,19,26,48,41,48,57,62,34,24,28,7,10,15,20,31
02,16,28,22,36,38,42,44,49,40,21,18,16,11,19,18,63,4,2,9,12,8,11,15,22
03,19,16,31,25,42,44,69,56,53,31,19,15,19,27,19,21,21,10,14,12,9,12,12,14
04,29,18,27,40,47,47,98,77,27,33,9,21,35,34,41,23,16,17,15,20,19,30,29,27
05,31,40,30,43,56,70,83,91,55,16,11,20,24,27,44,23,24,14,32,13,48,29,21,27
06,36,24,63,41,63,105,151,116,56,47,48,38,50,53,63,29,35,13,21,32,20,32,40,25
07,21,26,31,58,61,67,111,95,80,61,31,23,55,51,49,34,39,14,14,17,18,18,24,31
08,23,26,21,45,66,85,92,100,76,35,36,27,72,45,40,58,29,30,21,27,26,27,32,25
09,21,32,52,49,53,94,128,83,32,22,22,17,42,19,26,22,23,9,20,6,12,13,26,31
10,27,26,29,57,65,89,121,53,42,21,26,24,37,32,26,18,9,5,15,13,13,18,15,17
11,20,25,26,47,43,87,95,96,40,22,14,26,31,17,21,13,10,10,12,11,12,14,15,14
12,15,20,31,35,56,70,73,39,32,18,19,24,42,32,30,20,22,9,13,12,14,23,28,20
13,28,30,47,76,64,103,124,72,69,61,37,44,58,34,33,27,25,18,14,23,29,28,19,22
14,17,28,40,49,56,80,127,70,48,33,12,23,38,35,31,36,27,22,22,9,17,38,40,41
15,38,34,53,72,64,97,124,93,58,44,27,21,34,28,23,20,36,26,23,11,18,18,35,29
16,22,32,27,49,49,83,91,72,37,16,28,17,26,18,29,28,15,16,11,10,15,20,28,36
17,37,35,56,75,79,102,99,57,72,31,18,31,27,27,25,36,10,9,10,14,9,24,33,28
18,29,34,22,49,46,62,51,56,37,17,9,23,20,46,17,12,5,11,8,3,18,11,14,9
19,10,15,15,24,24,74,50,48,33,19,9,22,21,19,23,15,12,9,5,6,12,9,7,17
20,21,45,42,52,82,69,104,42,15,12,37,8,23,26,9,12,7,15,18,29,12,39,36,26
21,25,31,40,26,52,71,72,57,47,42,18,30,11,23,41,28,16,15,14,6,12,8,14,17
22,13,20,24,26,36,64,70,56,31,15,24,15,7,13,6,15,11,11,7,25,17,8,13,20
23,13,21,34,33,45,62,46,14,19,9,14,11,8,16,17,7,20,4,7,5,15,17,28,27
24,35,18,23,42,43,65,86,47,16,33,14,12,11,14,9,8,6,4,2,1,9,8,36,32
25,24,3,12,20,23,32,34,38,25,18,3,7,9,12,19,49,8,10,6,4,5,9,7,-1
26,32,16,24,24,45,49,14,39,4,13,5,1,4,6,17,11,6,6,3,5,8,13,19,17
27,7,16,20,22,24,32,40,2,0,9,14,2,7,7,12,8,11,8,4,10,0,0,1,0
28,0,0,0,0,0,4,31,23,24,13,7,8,9,13,9,8,4,6,1,0,2,1,1,1
29,1,0,1,1,1,1,2,1,0,3,0,2,0,0,0,1,9,7,7,8,13,14,13,17
30,15,5,24,27,25,29,45,51,29,16,7,9,15,12,13,12,10,5,4,4,8,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
