aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,059,050,064
04,066,070,068,079,077,071,078,084,067,066,069,065,058,063,076,061,038,049,045,035,049,056,055,098
05,123,142,100,092,197,308,070,068,000,046,000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,052,057,060,087,078,114,052
09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,090,111,045,059,050,081,082,105,101
10,115,101,075,096,128,104,084,090,131,096,049,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,009,086
11,083,090,100,111,127,221,154,149,107,081,080,122,094,093,095,067,066,063,054,051,090,098,103,098
12,101,099,104,115,116,109,097,100,147,112,080,080,067,083,098,062,062,043,050,048,065,073,073,097
13,110,123,146,141,162,172,163,162,133,124,093,107,088,075,117,077,046,039,045,042,058,058,070,074
14,111,096,112,112,125,157,120,110,096,125,100,090,082,085,070,059,048,041,044,036,041,091,068,087
15,087,094,095,090,109,095,101,087,084,108,090,044,053,053,074,078,071,053,049,048,046,073,073,080
16,070,079,087,071,101,115,123,088,061,053,048,051,053,042,065,032,030,052,064,084,062,076,068,089
17,095,071,035,089,036,069,039,035,068,073,084,035,000,000,036,079,064,032,034,063,070,050,078,092
18,094,090,090,103,115,098,105,111,098,108,091,076,079,091,091,081,093,059,059,066,072,068,070,092
19,131,129,132,136,107,107,093,102,089,096,100,074,116,177,174,143,108,073,085,063,058,080,090,094
20,114,119,127,117,113,127,089,079,084,073,062,069,051,069,073,072,072,073,047,067,055,076,079,080
21,087,076,080,078,090,066,072,078,075,072,063,062,083,078,076,068,067,063,051,053,067,069,055,073
22,088,071,081,090,097,089,078,076,072,070,064,064,056,068,090,073,063,064,066,038,059,070,070,065
23,087,096,087,080,098,087,082,053,046,058,043,047,051,063,059,073,060,046,034,041,045,067,064,065
24,062,086,104,095,085,077,078,059,040,055,054,058,053,056,056,045,045,044,030,035,034,058,058,085
25,081,091,070,071,093,080,052,090,060,057,038,041,037,044,042,047,036,030,053,044,047,045,051,055
26,066,060,055,061,063,070,068,051,041,052,050,047,065,061,060,053,039,037,036,042,043,059,049,039
27,053,056,050,048,051,048,063,070,053,065,052,043,050,043,048,063,030,045,041,033,048,062,063,054
28,059,059,054,058,068,073,063,049,058,058,055,055,049,049,052,056,033,026,049,046,051,047,063,059
29,057,068,053,063,071,065,067,051,143,065,058,057,053,059,057,052,049,039,019,034,056,048,062,049
30,058,051,071,048,063,064,071,065,070,063,061,047,059,067,068,074,049,033,040,039,044,057,053,037
31,047,060,056,073,061,064,059,074,064,058,057,061,061,078,068,066,053,037,042,046,058,010,-1,-1,-1
