Feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,5,5,4,-1,-1,-1,-1,1,2,-1,1,5,4,10,16,9,6,15,9,14,19,8,13,13
2,2,-1,-1,8,-1,-1,-1,1,1,3,3,2,7,12,16,13,13,21,15,18,20,11,13,5
3,14,6,-1,6,3,3,-1,-1,3,2,4,5,-1,-1,9,13,12,17,21,27,17,16,11,22
4,22,5,8,6,-1,-1,-1,-1,-1,-1,-1,3,12,21,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,18,9,6,2,5,1,4,1,-1,3,-1,5,9,11,5,11,16,18,20,23,26,22,15,19
6,6,6,3,-1,8,1,-1,2,-1,-1,2,5,8,10,7,12,13,24,6,14,19,15,16,11
7,7,6,8,-1,-1,-1,-1,-1,-1,-1,-1,10,8,11,16,20,18,17,21,27,25,16,13,8
8,25,5,5,12,4,4,3,2,3,1,3,4,12,12,19,6,15,15,19,27,18,18,21,9
9,14,10,7,11,2,4,3,5,-1,-1,1,4,18,5,13,8,11,14,16,19,21,27,22,18
10,18,10,12,10,9,5,3,3,4,2,2,3,6,13,8,15,11,12,21,20,17,11,12,13
11,9,8,14,11,13,6,2,5,6,5,4,5,5,11,14,11,8,7,12,14,15,21,13,18
12,8,7,5,3,6,2,5,1,-1,-1,-1,2,7,14,14,13,25,17,16,21,22,22,15,11
13,14,7,5,6,2,2,1,1,-1,-1,1,3,6,12,8,8,15,18,35,25,20,21,12,10
14,13,9,7,7,2,-1,4,3,5,-1,4,7,10,12,14,7,13,18,24,17,22,21,17,9
15,10,10,7,4,9,4,4,2,3,3,5,4,6,12,15,13,15,14,18,22,18,17,12,11
16,15,15,10,10,7,5,3,3,2,5,3,3,20,16,8,6,15,17,18,15,11,18,14,17
17,13,11,12,6,2,-1,2,3,2,5,1,2,10,17,19,14,11,12,15,25,20,22,18,17
18,13,20,7,12,9,4,4,4,1,4,2,2,6,7,12,13,9,16,23,26,22,21,24,12
19,10,11,11,8,6,3,5,5,3,2,1,5,4,16,15,11,10,13,23,18,22,19,16,16
20,4,8,-1,-1,-1,-1,-1,-1,-1,1,-1,3,7,5,8,11,14,17,20,15,17,22,18,16
21,4,2,-1,3,2,-1,-1,1,1,4,2,3,4,16,8,6,7,12,14,11,9,14,12,1
22,11,7,2,5,5,-1,-1,5,4,5,2,11,11,23,18,9,12,10,13,9,7,12,15,10
23,11,8,9,-1,-1,-1,-1,-1,-1,-1,6,6,15,7,16,12,17,19,12,17,17,24,19,11
24,4,14,8,10,8,4,4,3,4,2,2,8,13,20,12,13,12,20,14,9,28,21,9,12
25,11,8,7,4,-1,-1,-1,2,3,2,3,4,11,10,17,18,12,21,15,16,23,14,10,17
26,11,10,9,1,2,1,7,3,-1,-1,1,4,11,9,11,16,15,9,17,17,10,16,15,19
27,2,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,7,10,8,15,8,17,7,13,19,7,5,6
28,9,6,5,5,3,5,3,3,3,-1,2,4,6,14,10,10,12,13,11,8,16,18,17,8
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
