oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,29,31,27,26,34,15,12,17,10,6,10,-1,-1,-1,-1,28,41,50,47,37,54,56,44,37
02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
07,24,23,32,23,27,16,-1,-1,-1,-1,-1,13,-1,-1,-1,39,37,50,49,45,50,42,31,-1,-1
08,-1,13,14,24,21,-1,-1,-1,12,10,13,15,-1,-1,31,15,21,35,36,38,35,31,33,21
09,-1,12,19,15,23,19,18,15,10,5,-1,12,18,32,17,17,23,38,38,44,49,43,32,-1,-1
10,38,24,23,13,20,19,-1,-1,-1,-1,-1,-1,15,-1,-1,21,32,27,34,32,43,38,30,32
11,-1,-1,21,-1,-1,-1,11,18,-1,5,15,-1,-1,21,-1,20,45,48,34,44,33,44,33,25
12,27,25,19,19,12,10,12,15,12,8,10,9,16,25,19,24,26,51,34,26,37,41,32,33
13,-1,8,13,13,9,-1,-1,-1,-1,-1,7,8,-1,25,19,29,23,46,31,37,34,29,32,19
14,-1,12,15,-1,7,-1,-1,-1,-1,-1,-1,7,-1,20,22,16,31,46,42,45,36,31,25,19
15,-1,-1,11,-1,-1,-1,19,15,13,6,12,8,-1,-1,-1,14,33,46,40,38,34,36,18,-1,-1
16,22,13,9,-1,8,11,11,10,8,5,11,12,15,21,29,-1,29,45,39,37,37,30,32,31
17,28,23,14,16,18,10,16,13,5,-1,-1,-1,-1,-1,-1,27,35,43,37,41,42,30,18,27
18,25,10,20,16,13,13,11,11,11,6,-1,-1,-1,-1,19,15,28,43,30,41,34,29,21,27
19,15,-1,-1,8,9,17,20,12,6,7,12,12,9,20,18,21,37,56,47,33,38,27,37,30
20,-1,8,8,13,19,13,17,8,6,8,7,-1,-1,-1,-1,24,25,35,42,43,53,32,25,15
21,30,-1,15,-1,15,13,13,6,6,7,7,12,-1,20,18,24,22,47,41,49,50,46,17,26
22,-1,12,19,18,14,13,13,7,13,9,4,5,13,27,20,27,34,49,40,32,35,27,30,-1,-1
23,-1,-1,-1,15,18,13,-1,14,10,-1,-1,-1,-1,-1,-1,20,29,46,42,38,43,20,37,25
24,21,25,24,14,26,16,12,16,15,12,8,-1,-1,-1,-1,12,40,35,60,35,30,20,22,18
25,19,12,19,12,15,8,-1,7,10,6,-1,-1,-1,-1,-1,19,38,34,22,42,48,30,34,34
26,28,13,11,19,11,16,13,15,11,5,9,-1,-1,-1,-1,-1,17,43,32,39,37,43,28,26
27,28,15,-1,11,8,10,9,11,8,8,13,12,-1,-1,-1,17,32,44,37,30,42,33,39,32
28,47,24,22,32,34,22,20,14,13,14,14,21,22,27,38,39,48,47,65,62,63,53,26,52
29,-1,-1,15,16,16,17,16,19,13,14,14,22,23,40,23,38,55,70,61,46,51,39,-1,40
30,35,16,18,27,30,24,21,22,10,9,-1,-1,28,44,24,41,43,62,79,63,48,55,47,48
31,29,22,12,14,-1,-1,16,-1,9,-1,21,22,22,46,31,31,45,65,66,51,55,47,53,38
