may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,19,26,22,23,31,28,29,34,34,38,34,20,19,25,19,17,15,11,7,6,9,7,11,13
02,12,27,17,23,24,29,38,43,39,39,32,35,23,27,15,19,12,6,3,6,6,10,14,13
03,11,20,24,29,36,45,40,53,49,48,47,32,36,29,29,27,11,10,6,9,13,15,14,15
04,23,22,23,36,53,56,54,65,61,41,42,23,39,25,20,15,17,7,9,5,4,4,8,14
05,7,14,18,21,30,33,52,44,34,46,35,28,27,17,24,21,17,8,7,7,5,14,11,11
06,20,15,21,24,39,44,47,54,55,46,43,26,26,24,20,14,14,12,9,6,7,5,12,19
07,16,22,21,22,21,40,44,50,59,44,34,46,29,29,15,20,10,8,5,9,6,12,8,17
08,25,17,23,35,36,49,54,60,60,44,46,40,26,29,18,22,19,15,21,31,16,15,17,20
09,11,17,24,18,39,36,36,56,49,54,50,32,32,24,20,21,11,12,8,5,10,11,6,13
10,18,17,23,22,28,52,27,59,56,54,39,34,24,22,25,28,13,9,9,8,8,5,11,16
11,19,22,22,29,34,40,44,43,32,24,38,34,22,20,41,23,17,9,11,7,10,5,13,17
12,14,7,24,23,28,31,41,35,43,30,37,26,35,25,15,27,13,7,10,5,1,6,8,10
13,7,14,17,16,31,25,41,35,32,28,30,33,25,26,28,24,14,15,5,11,12,8,15,20
14,24,21,23,31,33,29,35,33,31,38,15,23,23,25,17,11,13,7,7,7,8,10,13,21
15,26,25,27,35,29,35,34,38,36,25,27,21,23,25,18,16,16,9,8,5,4,11,14,14
16,18,24,17,21,16,37,37,36,40,34,27,25,20,21,19,21,35,14,5,5,4,10,17,13
17,30,28,27,20,25,39,34,37,32,38,30,17,48,11,16,15,12,5,14,5,7,8,14,19
18,16,19,29,28,23,31,28,35,32,34,25,17,16,16,27,20,16,12,11,8,8,5,16,15
19,18,18,25,32,24,23,34,33,34,32,32,24,20,23,21,30,16,16,15,6,8,11,11,16
20,14,19,19,30,33,21,30,25,32,37,18,14,15,8,13,13,15,7,4,2,2,11,13,20
21,25,24,18,17,21,22,20,23,32,33,18,22,16,25,21,12,13,27,11,4,8,4,17,21
22,12,30,21,14,31,29,19,20,28,21,24,22,19,11,20,17,16,22,8,3,7,12,14,15
23,19,14,19,21,21,22,30,28,31,28,28,19,22,9,15,10,7,5,3,8,6,12,12,19
24,10,25,22,19,17,28,32,23,26,24,25,17,13,13,17,8,10,10,7,10,8,11,13,12
25,14,15,20,21,26,19,21,13,10,9,10,13,10,23,24,12,55,15,6,7,5,9,12,10
26,23,20,19,18,21,30,24,28,20,15,16,17,13,17,19,9,8,3,5,4,4,2,9,21
27,12,16,20,13,20,23,18,20,24,19,22,10,12,13,12,12,19,13,9,8,9,10,8,21
28,11,23,16,17,24,24,16,27,32,32,23,20,19,19,11,19,13,10,8,11,8,13,12,11
29,17,24,19,13,21,23,21,34,24,26,25,8,11,11,7,38,53,33,8,6,3,8,7,7
30,3,7,6,8,9,8,9,13,14,11,8,11,14,15,9,9,5,9,1,3,4,8,10,2
31,4,11,10,8,10,12,11,19,22,14,8,5,8,9,13,18,15,11,7,2,3,14,11,12
