Dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,32,30,45,53,57,73,71,64,73,81,119,105,103,94,67,79,94,67,71,51,46,36,27,26
2,20,17,34,52,70,60,68,72,67,96,95,91,129,84,91,68,62,57,63,47,31,16,34,24
3,23,33,131,64,58,85,82,67,87,112,121,117,118,99,103,106,104,75,67,46,43,45,31,31
4,34,33,50,50,67,80,79,86,88,105,115,92,112,88,99,95,82,67,66,62,56,35,32,22
5,23,28,46,77,70,82,65,94,85,79,100,112,115,101,102,103,110,109,88,64,43,34,35,38
6,53,43,62,61,79,95,101,95,114,119,150,134,145,142,127,113,92,103,89,70,48,57,41,31
7,33,32,50,96,126,116,114,95,124,157,157,161,143,142,125,113,111,111,78,104,52,55,39,34
8,38,36,74,84,99,120,111,117,114,122,145,194,172,140,133,132,113,106,87,75,63,62,56,45
9,39,51,80,114,110,134,134,120,123,143,183,175,183,179,159,165,132,115,115,86,65,59,47,44
10,-1,57,84,98,124,157,130,116,114,149,160,174,190,174,183,125,131,133,90,94,59,80,48,33
11,35,67,109,138,169,170,153,128,125,112,133,179,224,212,194,167,134,116,99,67,68,65,40,46
12,35,73,104,176,219,240,218,155,135,148,178,225,266,278,269,208,134,97,78,45,72,59,29,33
13,32,97,176,256,316,344,291,213,147,161,184,281,395,382,338,244,203,111,86,80,77,72,48,39
14,50,144,254,314,371,385,366,269,143,193,190,311,348,344,342,232,159,117,98,82,70,56,49,39
15,24,85,116,164,152,172,175,121,125,141,155,168,201,175,158,152,105,125,91,66,72,58,36,29
16,31,51,69,83,110,123,118,105,92,149,146,154,136,153,142,128,119,108,107,71,59,42,40,26
17,22,24,39,74,85,115,90,111,124,129,153,168,137,131,148,147,136,97,79,70,50,53,36,41
18,39,34,35,49,51,64,76,91,136,116,120,112,107,135,122,147,95,97,100,79,61,44,41,211
19,35,34,129,84,80,59,77,85,100,135,135,131,153,140,117,129,150,102,102,75,54,48,34,37
20,30,33,38,49,67,75,81,80,109,125,132,123,117,129,117,113,136,114,97,79,54,58,31,25
21,37,21,44,48,56,80,82,96,110,127,154,141,111,139,139,120,122,121,81,100,52,45,27,23
22,27,41,35,48,71,70,65,67,118,140,144,126,123,139,150,113,121,124,123,142,136,111,87,328
23,166,51,45,61,73,76,70,84,83,101,93,106,120,125,121,119,122,107,89,59,64,38,22,21
24,29,39,46,32,48,71,82,83,84,133,98,114,119,101,138,146,127,94,98,89,52,51,31,20
25,32,30,60,65,66,70,52,78,88,89,120,133,103,136,128,134,100,78,68,53,33,33,23,18
26,19,18,24,36,37,48,44,61,71,89,103,90,78,83,98,90,78,75,70,47,55,36,28,20
27,17,16,30,33,44,71,60,68,89,77,93,107,103,105,84,87,82,84,50,69,47,31,26,20
28,18,35,29,46,55,63,75,77,95,109,125,111,117,92,117,83,111,90,97,49,54,40,29,14
29,29,24,42,51,65,67,86,93,85,104,112,117,102,114,122,116,122,122,91,85,67,50,33,30
30,25,25,46,43,54,74,72,77,93,118,115,149,121,125,117,113,121,119,87,95,65,53,30,34
31,18,19,30,47,65,71,66,88,93,120,112,114,106,101,128,109,98,84,72,63,52,51,21,21
