nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,66,76,106,127,135,126,100,108,121,109,123,88,101,76,57,42,56,22,29,23,22,24,36,63,""
02,77,67,72,93,108,103,86,80,94,103,100,129,92,67,32,67,58,49,50,53,76,78,33,56,""
03,80,79,115,124,129,124,131,117,138,134,73,44,43,60,82,64,42,42,33,65,54,71,54,80,""
04,86,107,138,137,154,147,137,114,113,87,155,132,105,96,94,70,33,29,48,37,51,64,66,70,""
05,109,98,93,113,134,113,99,81,117,126,88,97,111,108,-1,-1,53,41,47,30,52,60,48,77,""
06,95,102,110,124,124,121,97,117,111,132,118,99,86,84,87,77,59,48,33,49,80,127,19,66,""
07,90,101,93,105,123,115,95,112,150,91,123,129,101,95,92,58,48,44,40,47,55,29,47,58,""
08,93,122,128,127,138,94,97,108,140,106,106,121,100,99,90,84,54,27,37,56,55,58,86,79,""
09,83,97,94,115,132,110,92,97,146,88,99,105,83,19,84,72,48,49,47,47,39,52,57,47,""
10,54,89,115,160,147,126,125,108,135,33,74,86,100,58,34,45,47,37,28,38,37,39,41,55,""
11,69,74,91,112,101,89,95,91,115,73,40,98,71,71,62,64,47,54,46,53,63,37,51,59,""
12,40,89,104,127,116,112,86,91,91,106,95,62,39,48,25,34,38,30,25,35,31,43,60,11,""
13,31,108,104,110,122,97,110,77,116,108,107,117,104,76,69,58,56,-1,28,45,41,41,31,52,""
14,52,70,92,108,110,96,97,98,85,92,73,105,41,50,36,46,38,31,33,36,40,41,41,67,""
15,90,73,97,126,90,97,86,84,94,88,79,50,45,51,84,55,50,40,28,21,32,36,51,45,""
16,63,59,76,91,93,79,82,77,81,76,77,82,64,38,81,61,52,23,37,58,48,69,51,76,""
17,92,100,112,133,137,135,117,106,128,98,95,94,66,76,33,34,24,30,18,25,26,27,48,57,""
18,74,59,73,92,105,112,92,92,96,39,65,74,29,22,13,50,25,25,32,33,28,40,42,44,""
19,63,75,72,93,119,90,87,81,73,74,87,84,81,71,57,33,13,19,23,39,17,42,34,49,""
20,55,57,67,91,91,94,102,71,101,67,71,67,83,58,46,45,34,37,21,35,31,31,33,51,""
21,58,48,76,71,60,75,65,59,54,62,63,65,68,53,47,50,31,33,23,17,13,19,30,46,""
22,64,89,74,97,102,91,100,101,83,84,76,77,27,41,26,44,8,12,19,22,26,33,39,58,""
23,52,60,67,81,91,81,68,35,70,60,75,27,31,63,55,49,32,31,27,23,33,30,19,45,""
24,52,67,60,86,98,112,81,64,62,84,38,60,43,62,58,45,25,38,27,40,29,26,18,35,""
25,48,63,79,112,113,135,99,112,90,99,76,28,20,76,19,56,44,36,38,37,30,23,22,61,""
26,89,94,103,142,152,122,95,102,96,113,41,82,57,50,34,49,17,35,22,27,24,12,18,13,""
27,48,83,113,113,122,107,99,122,120,69,25,53,26,48,57,47,13,22,16,43,37,39,39,37,""
28,92,93,111,124,123,141,103,112,110,125,137,118,97,80,39,31,42,28,26,29,49,39,9,46,""
29,57,54,63,78,92,87,108,78,106,122,83,63,87,78,38,51,32,34,37,8,13,59,48,59,""
30,63,101,105,129,124,119,119,83,79,72,59,82,67,24,32,63,48,34,47,36,25,46,21,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]hgmpI}lel`z`fg'o0'jf',"b"
