Aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,2,1,4,83,108,172,110,98,-1,-1,-1,40,24,36,23,29,13,14,38,48,61,47,10,-1,-1
2,-1,-1,114,188,147,99,160,149,46,73,36,35,68,32,35,85,35,19,40,66,70,96,16,-1,-1
3,-1,-1,186,203,138,152,104,99,98,90,95,-1,-1,-1,-1,-1,32,19,40,66,70,96,16,-1,-1
4,-1,-1,174,207,162,191,107,207,173,136,96,-1,-1,-1,-1,55,21,45,66,79,70,151,11,-1,-1
5,-1,-1,188,314,-1,289,-1,-1,114,156,122,105,96,-1,-1,82,63,48,79,71,97,158,20,-1,-1
6,-1,-1,182,240,196,179,221,151,182,161,174,124,115,71,65,59,59,60,55,70,99,121,20,-1,-1
7,10,54,343,372,320,-1,-1,-1,230,204,152,86,145,66,102,63,65,62,50,118,110,124,24,10
8,24,3,47,152,303,195,183,163,118,163,-1,-1,-1,-1,99,60,-1,-1,-1,-1,134,142,36,-1,-1
9,-1,-1,283,283,-1,394,251,-1,-1,-1,-1,-1,37,-1,-1,-1,-1,70,64,77,73,134,23,-1,-1
10,-1,-1,212,271,292,260,200,188,95,111,110,64,86,64,44,44,48,75,50,60,51,74,21,-1,-1
11,-1,-1,215,180,218,185,100,79,-1,-1,-1,-1,-1,37,27,16,-1,76,57,64,98,95,18,-1,-1
12,-1,-1,129,82,53,61,95,55,-1,-1,-1,-1,-1,46,55,35,34,65,80,65,62,79,13,-1,-1
13,-1,-1,175,140,128,77,73,70,63,85,80,70,58,78,58,47,55,31,46,40,38,37,15,-1,-1
14,-1,-1,126,125,97,104,90,75,89,45,55,54,40,32,24,20,22,44,57,55,97,80,16,-1,-1
15,-1,-1,24,48,129,93,80,86,58,67,53,32,25,37,39,20,26,34,35,47,43,57,12,-1,-1
16,-1,-1,72,97,86,80,95,56,59,56,63,55,43,38,28,21,21,42,22,38,39,32,16,-1,-1
17,-1,-1,93,129,97,69,89,50,28,32,28,48,38,29,28,19,18,22,38,40,31,52,11,-1,-1
18,-1,-1,97,104,85,50,75,56,42,40,38,43,24,18,19,19,21,18,21,23,24,43,16,-1,-1
19,-1,-1,85,96,83,85,108,67,-1,-1,-1,42,32,-1,-1,-1,-1,-1,-1,26,36,47,12,-1,-1
20,-1,-1,106,104,79,55,78,60,57,43,47,54,33,26,22,23,9,22,19,23,35,32,7,-1,-1
21,-1,-1,109,108,106,102,86,79,58,58,43,29,38,43,32,21,19,36,44,35,63,64,10,-1,-1
22,-1,-1,7,51,102,114,68,56,34,43,41,30,52,32,35,26,34,26,33,50,46,51,9,-1,-1
23,-1,-1,80,106,101,65,60,59,79,47,18,55,48,34,25,27,13,24,22,31,37,50,11,-1,-1
24,-1,-1,67,79,93,92,68,38,33,42,40,41,27,28,23,24,16,39,30,42,41,48,8,-1,-1
25,-1,-1,120,94,80,84,53,54,57,48,37,41,33,24,18,13,12,-1,-1,-1,-1,-1,-1,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,34,33,46,53,16,-1,-1
27,-1,-1,71,70,87,72,52,45,53,41,43,33,22,12,19,14,17,17,16,35,43,68,14,-1,-1
28,-1,-1,66,79,52,67,51,47,49,56,43,58,45,39,27,28,28,22,28,44,69,53,16,-1,-1
29,-1,-1,9,57,92,114,91,69,57,60,59,51,44,43,26,35,27,33,32,40,34,59,12,-1,-1
30,-1,-1,70,76,83,61,52,58,37,43,27,37,16,30,26,31,22,23,32,30,30,48,10,-1,-1
31,-1,-1,62,90,83,55,68,73,49,48,46,48,27,34,31,25,33,35,35,49,49,56,7,-1,-1
