Aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,118,169,157,179,169,163,145,-1,152,135,117,93,95,-1,-1,-1,51,68,51,30,27,57,70,137
2,101,140,154,155,167,154,194,-1,-1,-1,154,132,87,83,60,58,70,-1,-1,-1,-1,-1,44,109
3,119,155,147,150,-1,156,110,141,144,-1,149,137,91,108,67,72,59,46,28,43,21,39,59,97
4,128,151,137,133,148,143,96,112,109,127,-1,-1,-1,110,-1,58,70,52,38,32,25,-1,95,114
5,101,141,174,166,164,150,115,144,150,-1,-1,121,-1,-1,-1,63,61,47,42,41,19,47,77,64
6,123,116,139,136,156,160,69,130,130,144,97,94,61,78,80,60,-1,-1,-1,-1,-1,29,79,111
7,95,100,148,167,190,147,149,153,-1,-1,-1,105,78,95,99,83,93,-1,-1,-1,32,134,133,185
8,192,171,174,183,133,170,133,127,-1,-1,-1,-1,100,94,79,66,55,57,41,64,26,53,67,70
9,107,164,159,167,180,172,118,-1,-1,-1,-1,-1,122,97,-1,74,52,44,53,37,30,52,76,78
10,105,127,127,159,151,166,124,122,148,151,154,95,98,92,77,67,60,38,45,25,8,53,55,113
11,105,151,179,147,192,149,155,124,162,176,163,-1,-1,126,118,106,92,72,88,163,142,149,182,178
12,249,234,272,286,321,306,282,285,289,275,302,226,270,443,160,122,209,75,82,72,57,99,82,127
13,178,181,191,217,248,240,213,143,157,158,169,115,140,129,105,81,89,64,55,46,55,80,84,73
14,115,154,154,170,167,141,116,108,147,-1,-1,-1,64,61,91,74,74,60,58,19,12,50,83,69
15,67,88,114,158,172,123,98,120,131,127,136,88,48,65,88,78,54,53,58,38,20,54,61,88
16,70,111,142,135,149,149,139,140,144,144,122,-1,-1,-1,-1,78,38,29,36,46,27,101,69,73
17,91,117,119,120,167,168,97,119,120,-1,108,85,91,90,86,72,45,45,42,13,19,52,89,77
18,82,113,133,144,160,148,112,63,92,93,75,73,67,76,55,62,60,37,50,29,19,42,68,95
19,72,97,111,116,135,132,47,111,-1,-1,88,85,72,-1,-1,65,51,33,38,33,15,56,77,79
20,64,88,113,142,137,121,121,125,177,118,112,83,70,80,62,51,52,44,42,36,44,67,80,77
21,84,91,111,120,121,120,34,98,143,167,97,86,74,93,74,75,62,43,40,68,15,28,84,66
22,101,94,142,149,125,147,68,123,131,104,80,67,83,70,80,69,60,39,36,21,19,43,66,84
23,93,80,91,124,152,109,137,113,124,-1,101,103,75,84,75,56,50,41,32,14,27,48,78,66
24,94,121,106,132,150,154,80,128,116,116,76,81,74,64,67,71,48,35,28,10,30,57,70,72
25,91,118,116,126,168,122,187,120,106,135,-1,110,81,99,83,55,-1,-1,-1,-1,-1,50,65,149
26,100,77,105,155,134,93,58,129,150,142,152,126,79,88,75,83,70,42,31,25,21,36,66,75
27,81,74,111,103,104,104,75,90,108,115,97,148,80,70,63,59,40,36,38,28,17,32,66,66
28,59,79,105,94,112,105,101,83,47,114,128,71,74,62,61,57,40,48,30,26,22,61,64,92
29,90,109,134,133,149,153,91,143,145,122,95,87,77,75,69,83,60,46,52,22,10,51,80,68
30,94,81,97,123,156,139,89,80,121,113,93,102,91,91,90,69,73,43,30,35,18,51,60,71
31,84,92,127,138,142,133,89,124,141,134,141,95,65,66,83,70,59,42,26,19,17,58,67,86
