Aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,10,5,9,2,2,1,7,3,4,5,5,8,5,19,21,16,24,18,9,6,18,13,12,12
2,12,9,4,3,6,3,3,8,7,4,-1,6,10,20,29,18,21,16,5,10,10,19,16,10
3,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,8,10,18,17,31,26,17,20,16,23,19,17,20
4,16,7,5,6,4,6,8,3,2,5,4,15,11,17,20,12,17,14,8,14,21,20,13,8
5,10,9,9,1,7,5,4,4,10,6,2,6,8,13,21,26,23,12,16,26,17,16,21,15
6,10,9,3,3,10,4,3,5,4,1,3,10,10,8,14,13,22,14,14,17,10,19,23,13
7,11,15,6,3,10,8,-1,-1,8,1,1,2,12,17,15,20,10,11,8,8,22,11,12,16
8,4,8,5,8,5,7,-1,5,4,-1,2,4,10,8,9,12,23,16,13,20,22,22,15,7
9,7,5,6,5,4,-1,-1,1,4,2,8,12,9,14,11,13,7,5,18,8,17,12,19,9
10,9,8,6,4,5,8,5,4,5,-1,2,1,9,15,9,8,11,13,10,15,13,18,19,11
11,11,8,7,6,3,4,2,6,3,3,6,4,8,7,16,14,11,11,11,16,18,18,14,15
12,19,16,14,10,9,2,2,2,2,3,1,9,11,10,16,18,16,18,26,29,44,46,40,14
13,16,13,8,2,4,1,3,3,3,4,6,10,10,13,14,17,16,25,17,25,26,19,28,17
14,7,2,4,7,3,2,7,5,4,3,7,4,7,3,8,7,17,14,11,16,17,20,17,14
15,6,4,2,2,1,1,6,5,5,7,12,6,-1,6,13,12,6,8,12,13,20,11,11,6
16,1,9,4,4,1,5,4,4,3,3,2,1,9,11,12,10,7,7,9,8,16,9,15,7
17,13,11,5,5,4,5,1,4,2,3,4,3,7,7,7,9,9,8,7,13,7,10,11,12
18,6,7,9,5,5,2,5,4,4,-1,3,9,11,11,7,12,10,8,10,8,14,8,12,8
19,9,5,3,-1,2,1,-1,-1,4,4,6,3,6,5,6,8,13,3,15,12,11,10,6,15
20,10,17,5,8,5,4,1,9,3,6,6,7,8,11,12,5,7,1,3,11,21,12,9,11
21,12,7,7,5,5,6,-1,8,2,1,10,9,10,12,8,7,10,5,15,11,5,13,12,10
22,14,3,5,5,2,12,4,6,4,4,3,11,6,11,7,8,4,12,10,5,14,16,7,12
23,12,9,5,9,4,5,5,4,2,1,8,8,7,10,12,7,9,10,6,9,8,9,10,10
24,10,8,8,6,7,3,4,4,6,3,8,6,5,5,8,8,10,6,12,19,10,14,7,10
25,7,7,4,5,10,-1,-1,6,-1,-1,-1,4,11,12,11,6,8,6,9,5,8,21,13,10
26,11,7,5,6,9,1,11,4,3,5,3,3,12,15,11,8,7,10,14,12,15,3,8,13
27,9,7,4,11,2,2,1,-1,3,9,6,6,6,5,14,10,11,11,11,7,8,15,13,17
28,7,9,2,1,4,2,4,2,6,2,7,11,13,12,10,12,7,8,3,8,13,18,15,11
29,12,11,11,6,4,2,6,10,10,5,8,5,8,10,15,11,9,4,6,12,12,15,14,10
30,11,7,4,-1,2,1,3,1,2,6,7,7,9,5,8,5,5,5,5,8,18,15,10,13
31,8,12,2,3,4,8,5,3,6,4,7,5,8,-1,7,5,5,2,6,5,9,2,8,5
