Jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,70,7,6,4,4,6,12,6,15,9,14,15,16,24,17,21,20,19,17,9,10,6,7,11
2,18,21,17,10,19,20,14,17,21,24,24,23,25,27,31,36,30,33,28,22,13,15,17,13
3,12,22,19,15,15,19,20,16,19,21,25,22,25,10,24,37,40,52,65,65,58,42,32,19
4,14,22,14,33,38,32,36,49,34,48,28,20,13,18,17,27,19,11,15,19,20,14,5,5
5,7,12,11,10,12,14,20,14,18,15,19,14,23,20,23,18,24,24,14,15,17,6,9,8
6,4,7,11,16,14,14,14,17,22,20,22,10,16,13,13,24,17,22,14,18,4,6,5,5
7,8,11,9,15,15,7,26,19,11,21,16,11,15,17,14,17,26,11,12,17,11,6,1,4
8,7,15,11,9,9,8,13,17,21,22,13,15,14,20,16,22,18,11,20,9,7,6,3,4
9,2,12,2,5,10,9,12,12,14,15,24,15,16,17,24,24,14,17,15,8,15,10,5,19
10,10,17,6,8,13,18,18,21,24,17,25,15,15,19,22,22,25,14,24,13,12,10,11,10
11,7,18,10,14,17,11,17,24,19,22,15,21,21,25,18,22,25,24,13,13,17,13,9,8
12,15,11,5,7,15,11,16,23,30,15,29,21,16,34,29,24,22,23,12,19,7,8,8,8
13,4,9,12,8,8,8,12,19,19,26,18,17,12,18,20,23,22,16,9,16,14,11,15,9
14,6,17,7,4,7,10,11,24,23,17,14,14,15,15,24,16,21,17,18,16,18,13,6,6
15,5,13,8,15,17,9,21,13,22,34,22,20,23,22,19,28,17,16,19,15,11,7,11,2
16,7,15,10,9,9,8,17,11,29,14,28,10,18,26,23,14,21,11,23,10,11,13,14,15
17,7,19,7,8,12,16,18,20,17,20,15,17,14,15,23,22,21,19,16,16,9,8,9,8
18,7,16,9,13,8,12,12,30,21,18,14,13,19,20,25,22,16,14,12,15,14,15,16,6
19,14,17,17,11,10,7,15,12,26,18,18,16,17,16,20,25,19,13,16,13,9,2,6,16
20,3,14,6,9,17,13,12,16,16,19,13,7,17,17,12,14,12,14,13,15,13,11,10,10
21,7,8,3,4,8,9,18,19,18,21,23,12,13,23,15,18,22,24,13,22,13,9,7,9
22,9,7,8,9,12,17,14,21,16,25,14,13,13,27,20,23,27,19,28,11,14,10,4,6
23,8,14,14,13,22,14,17,17,21,21,16,14,16,19,16,23,14,15,16,12,13,11,8,12
24,11,13,9,11,9,6,15,16,24,22,12,22,20,23,17,24,23,17,10,5,8,7,9,8
25,4,18,8,9,11,13,11,20,22,21,28,17,17,25,18,25,16,19,12,15,5,7,5,7
26,6,13,15,9,13,19,10,11,18,17,11,12,14,17,20,23,18,13,18,11,5,6,5,8
27,1,17,10,11,10,11,13,12,18,13,10,21,13,25,19,27,20,13,12,18,5,7,10,9
28,8,19,10,13,19,24,19,22,28,34,40,15,21,22,18,21,24,22,11,20,9,8,7,4
29,8,19,11,13,14,14,18,18,15,20,16,18,19,18,28,15,21,8,10,11,13,8,5,1
30,2,14,8,16,10,15,18,17,18,24,19,13,20,15,26,17,18,15,9,17,17,11,4,9
31,-1,16,20,10,7,15,25,25,30,13,21,22,13,23,23,15,17,14,11,-1,-1,-1,-1,-1,-1
