oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,36,33,37,35,47,57,38,33,43,46,49,51,43,45,26,22,11,18,20,27,28,32,38,21,""
02,24,30,29,40,38,34,50,59,42,41,39,31,31,17,16,10,10,11,18,14,24,25,22,25,""
03,43,39,54,45,48,55,70,58,34,34,26,11,37,22,20,21,18,12,16,13,20,18,32,37,""
04,26,28,36,47,46,40,44,51,55,66,53,50,39,32,28,12,6,10,6,16,13,13,25,34,""
05,36,26,8,17,19,56,61,52,49,47,52,46,44,16,-1,-1,-1,5,10,23,18,13,16,14,""
06,13,152,146,121,55,41,59,33,27,35,35,26,30,35,33,15,19,57,35,50,29,34,43,50,""
07,30,38,49,45,42,60,52,46,45,46,44,47,37,29,17,23,11,19,19,32,31,30,33,52,""
08,42,47,30,63,47,52,43,34,48,44,37,36,29,28,28,18,21,19,20,89,28,33,37,33,""
09,35,34,36,51,52,52,34,41,33,50,38,33,30,37,25,21,37,40,25,15,50,30,44,31,""
10,36,31,57,42,54,61,46,49,47,40,50,42,22,50,34,26,34,67,66,70,36,42,42,40,""
11,32,34,39,57,65,54,47,44,48,36,42,62,30,29,25,20,32,41,51,60,39,27,38,38,""
12,45,40,39,57,46,48,52,42,39,43,52,46,34,39,45,29,23,96,23,45,33,35,40,39,""
13,34,28,41,42,60,54,41,44,35,55,51,41,21,32,18,16,33,28,22,32,28,32,42,45,""
14,39,40,56,50,61,47,35,53,48,51,53,30,37,50,30,21,23,32,29,17,28,33,47,41,""
15,29,37,45,64,66,49,68,67,49,55,45,28,70,43,29,22,22,107,29,103,30,50,56,46,""
16,26,47,52,51,59,58,59,66,50,59,55,55,52,33,35,37,32,59,26,39,38,40,37,44,""
17,50,45,56,62,72,45,53,46,54,47,80,38,41,36,28,26,39,97,49,120,31,37,53,29,""
18,43,37,56,47,57,62,59,50,46,55,40,46,32,28,37,21,22,48,35,159,68,29,30,38,""
19,29,64,49,69,67,58,68,39,64,48,59,45,38,29,40,28,21,23,39,104,36,33,43,46,""
20,46,50,55,67,68,55,68,55,52,50,55,47,44,43,28,33,20,42,36,81,36,42,33,34,""
21,35,56,63,58,52,67,81,62,55,57,39,40,25,24,18,28,18,38,35,68,25,27,28,42,""
22,45,42,45,70,48,48,63,55,48,46,53,59,32,27,43,16,27,31,27,62,39,34,45,33,""
23,30,43,51,53,53,55,70,61,62,54,37,48,170,23,22,8,16,7,18,27,33,28,26,30,""
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
25,30,22,33,40,43,40,41,51,27,47,31,23,31,21,28,16,16,25,18,18,28,27,23,37,""
26,25,26,33,42,49,31,41,52,33,31,51,23,20,21,16,14,17,14,12,24,22,35,28,33,""
27,26,31,40,40,31,39,49,21,44,23,24,21,22,16,20,16,13,9,16,20,33,32,24,18,""
28,22,28,44,31,29,34,28,38,23,24,28,21,11,8,14,15,12,11,13,23,23,27,23,26,""
29,41,47,58,56,58,54,34,40,41,34,22,27,32,17,17,26,12,15,25,25,24,35,15,25,""
30,17,13,24,19,16,30,19,14,27,23,11,15,17,14,6,5,7,21,16,31,27,53,51,46,""
31,51,40,42,53,44,45,44,33,32,22,30,41,18,30,24,22,14,40,22,35,50,31,49,36,""
