oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,094,087,092,082,081,120,116,106,110,087,107,082,092,096,080,095,073,078,073,059,066,093,063,080
02,079,073,090,100,095,131,116,102,112,103,103,099,093,076,087,079,070,080,079,079,070,075,086,101
03,095,062,084,076,092,103,104,096,104,101,101,102,094,093,091,058,077,076,062,065,060,094,073,097
04,086,080,094,089,097,116,103,086,084,102,091,068,076,074,075,083,080,051,064,064,060,057,076,085
05,089,087,089,108,091,096,080,089,089,100,077,082,080,070,066,087,052,058,059,056,067,082,079,075
06,105,088,083,082,094,098,100,094,095,087,083,122,119,093,087,067,059,072,054,080,069,073,068,088
07,092,090,076,068,077,089,091,067,069,070,063,088,051,059,098,063,081,063,093,058,066,069,079,099
08,095,081,090,072,076,088,093,065,079,055,072,089,092,087,084,086,078,071,077,071,074,096,086,092
09,097,097,093,108,106,121,102,106,102,108,089,082,070,084,070,077,074,075,079,057,087,078,080,079
10,079,084,088,097,103,097,083,083,083,100,081,071,077,077,082,061,047,065,057,067,067,088,060,071
11,076,081,084,081,081,088,078,075,072,080,082,091,061,073,085,073,064,066,065,048,063,066,065,070
12,072,078,071,079,070,078,066,091,096,075,076,082,080,093,077,073,056,053,053,043,072,075,076,087
13,090,070,075,076,076,094,086,073,100,084,079,068,069,077,075,063,055,071,056,060,066,071,084,085
14,057,075,057,059,068,073,072,067,080,075,071,071,063,075,065,080,050,065,070,060,080,079,103,065
15,091,075,077,078,099,100,084,090,078,089,080,088,068,067,055,074,056,061,062,047,071,072,080,092
16,088,074,071,101,103,117,105,124,103,100,094,092,089,071,089,081,078,071,068,072,084,071,089,103
17,075,056,073,074,080,074,074,085,080,090,091,094,078,068,075,066,064,064,064,059,070,083,103,070
18,085,099,104,099,093,109,109,094,105,094,114,094,086,085,077,072,062,061,054,057,083,085,091,075
19,108,092,098,094,083,104,118,093,091,088,085,089,081,078,067,077,064,069,080,068,080,079,085,083
20,081,086,094,085,090,117,098,096,097,079,095,093,073,067,077,072,086,070,073,072,078,104,107,111
21,103,105,105,085,128,130,114,095,088,081,088,100,098,078,071,058,060,069,063,083,065,083,090,081
22,076,077,077,098,085,079,078,081,103,092,093,078,086,072,065,075,045,044,067,069,068,065,091,090
23,086,074,088,077,103,110,100,092,082,087,077,089,077,059,062,068,049,071,062,059,065,065,088,072
24,113,094,106,106,107,112,097,115,103,108,085,085,088,072,072,082,063,050,063,072,078,080,072,089
25,086,086,103,084,107,080,090,100,089,103,088,078,086,092,072,058,068,060,064,068,061,081,065,087
26,086,068,071,104,082,090,094,092,076,093,081,076,067,066,070,052,065,066,058,061,065,054,083,073
27,080,081,069,084,088,106,095,085,089,098,090,078,079,061,070,069,058,051,066,050,070,086,076,077
28,073,085,075,089,081,079,088,078,067,074,074,082,069,065,055,068,063,062,065,074,056,071,074,080
29,085,087,081,069,093,075,085,093,078,086,087,075,065,069,069,064,070,065,065,073,091,079,079,077
30,088,091,077,077,067,081,081,073,076,075,080,072,081,077,074,061,072,052,063,074,068,080,078,077
31,077,091,066,085,078,082,087,088,096,083,085,072,081,070,066,061,042,073,057,070,069,086,057,-1,-1
