Jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,3,10,19,31,11,17,9,20,14,10,21,15,17,-1,-1,-1,21,-1,2,4,2,1,-1,-1,-1
2,3,3,10,27,15,11,19,16,13,8,8,8,4,3,4,-1,1,1,2,2,2,2,-1,1
3,4,4,16,8,9,34,8,9,18,8,15,8,5,9,5,1,3,4,5,2,1,2,-1,-1,-1
4,1,3,11,13,17,10,10,6,15,9,10,5,6,3,2,2,4,-1,-1,2,5,1,-1,-1,-1
5,2,2,29,14,14,16,30,55,21,10,17,12,11,-1,-1,-1,8,-1,-1,-1,-1,1,-1,2
6,12,8,6,19,37,-1,-1,-1,-1,-1,-1,-1,-1,8,5,6,3,4,1,2,10,4,-1,-1,-1
7,3,14,19,18,10,12,18,11,7,9,10,5,6,9,6,-1,-1,7,2,4,3,5,-1,4
8,4,5,23,43,16,42,23,12,6,13,5,5,3,8,5,-1,-1,-1,-1,-1,-1,2,-1,-1,-1
9,4,6,24,9,14,28,11,41,21,5,7,6,4,8,6,20,-1,15,43,3,2,2,-1,-1,-1
10,5,11,15,28,23,23,24,21,7,7,-1,-1,28,19,3,4,3,4,1,3,3,-1,-1,-1,-1
11,3,9,20,25,24,10,18,17,13,7,8,10,6,14,9,2,10,3,1,2,3,2,-1,-1,-1
12,9,19,9,12,8,15,10,16,22,29,7,4,5,6,6,1,2,1,1,4,2,2,-1,-1,-1
13,2,3,1,10,16,-1,-1,-1,-1,11,12,5,5,10,4,2,1,1,9,1,1,1,-1,-1,-1
14,1,1,7,12,30,4,6,17,6,6,3,9,3,2,13,2,-1,-1,1,2,1,6,-1,4
15,-1,1,8,13,37,11,17,18,7,5,2,3,4,5,1,1,-1,-1,-1,2,11,4,1,-1,-1
16,-1,3,5,15,22,5,18,32,9,3,10,6,13,14,6,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,6,7,6,13,11,11,15,18,-1,-1,-1,5,8,1,2,3,-1,2,-1,9,4,1,-1,-1,-1
18,-1,4,18,30,9,15,21,7,3,6,18,4,1,2,3,2,1,1,3,1,-1,-1,8,-1,-1
19,-1,18,11,-1,-1,24,27,34,-1,-1,-1,-1,-1,-1,-1,1,10,1,1,45,3,3,-1,-1,-1
20,1,4,3,11,14,9,5,-1,-1,-1,-1,-1,-1,21,1,12,-1,-1,-1,1,4,2,-1,-1,-1
21,-1,7,18,10,21,23,28,-1,42,51,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,3,6,11,5,9,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,-1,3,30,26,16,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,-1,-1,1,1,5,3,-1,4
24,1,4,19,17,6,8,12,3,7,8,14,33,52,15,4,1,-1,-1,-1,1,3,8,-1,-1,-1
25,-1,-1,11,8,11,5,9,7,10,18,9,6,3,3,6,3,-1,-1,1,2,3,7,-1,-1,-1
26,-1,5,11,25,15,5,4,-1,-1,-1,-1,-1,-1,2,3,1,2,8,1,4,3,5,-1,-1,-1
27,2,3,3,26,19,23,12,24,12,11,8,12,4,2,4,3,-1,20,1,12,3,2,-1,-1,-1
28,1,5,12,13,13,10,7,10,15,4,14,11,8,8,7,1,-1,-1,-1,4,21,6,-1,-1,-1
29,5,7,24,12,13,13,6,5,4,5,9,8,8,4,3,2,2,3,11,8,5,3,-1,-1,-1
30,-1,4,18,14,25,21,12,10,8,16,7,6,4,12,2,6,-1,5,12,4,5,15,5,-1,-1
31,-1,12,16,23,24,9,9,9,12,10,6,3,22,5,3,7,3,-1,-1,3,3,7,1,-1,-1
