apr, 00h, 01h, 02h, 03h, 04h, 05h, 06h, 07h, 08h, 09h, 10h, 11h, 12h, 13h, 14h, 15h, 16h, 17h, 18h, 19h, 20h, 21h, 22h, 23h
 01,2,5,4,14,18,14,12,20,24,30,13,19,25,9,15,4,4,3,6,5,6,3,2,2
 02,7,3,10,35,13,12,22,28,nan,22,12,23,19,6,4,4,4,9,1,4,6,11,nan,3
 03,4,6,20,11,10,18,18,13,20,21,16,52,11,9,8,6,1,4,10,2,3,3,1,1
 04,2,2,5,25,41,21,21,18,37,22,16,19,14,15,7,8,10,16,7,5,7,5,7,5
 05,2,11,13,25,12,51,14,10,13,6,18,22,12,8,4,6,3,3,3,5,7,3,1,5
 06,3,1,17,17,19,14,23,15,19,22,15,10,7,7,14,6,2,2,3,3,3,25,1,1
 07,12,3,15,16,14,22,22,26,16,34,14,8,5,7,7,6,5,15,2,22,12,8,1,12
 08,2,9,8,31,22,25,24,27,12,19,51,25,24,15,7,10,2,8,2,4,8,6,3,3
 09,4,12,6,37,14,21,33,13,53,34,35,18,18,13,28,7,2,4,5,6,4,3,4,1
 10,2,2,11,32,18,17,19,11,nan,15,18,21,6,5,14,3,5,16,10,3,7,6,1,1
 11,1,4,6,31,47,27,18,13,16,20,12,13,11,4,6,8,7,8,8,5,7,13,1,1
 12,2,3,10,20,22,25,35,22,12,13,18,10,6,7,6,2,4,9,4,7,2,5,2,1
 13,3,2,7,13,18,11,25,22,12,24,12,13,14,4,7,4,8,8,21,10,4,2,2,2
 14,1,2,7,26,16,17,57,23,9,31,27,33,13,11,6,13,10,3,5,3,13,21,1,1
 15,5,2,15,33,26,38,42,35,18,19,34,31,24,19,10,8,4,4,5,5,21,9,22,nan,nan
 16,3,2,7,33,12,28,17,38,57,43,30,15,23,32,8,5,8,9,10,11,4,3,1,2
 17,1,1,13,23,15,17,32,7,14,9,15,15,19,8,5,4,3,3,5,5,15,9,3,2
 18,6,7,11,50,30,54,40,32,30,24,32,15,10,15,20,5,9,7,4,19,9,18,6,2
 19,3,2,21,18,22,33,20,26,22,22,20,37,22,13,13,3,5,9,7,3,6,3,2,3
 20,3,13,15,16,33,17,13,16,38,29,27,28,31,15,14,4,3,3,7,21,14,3,2,9
 21,6,9,36,49,42,60,33,44,41,26,29,20,14,19,6,7,4,11,12,28,22,43,1,1
 22,7,6,31,110 ,70,90,60,75,89,61,34,33,29,19,7,13,12,10,22,5,15,7,1,1
 23,7,8,16,50,35,32,55,67,49,43,48,31,30,18,11,14,11,8,6,4,9,4,3,4
 24,12,4,11,28,31,41,29,67,57,60,18,48,41,19,10,6,5,6,15,5,6,5,5,5
 25,5,6,10,23,18,27,43,29,35,55,33,20,23,15,15,24,3,4,5,5,13,8,1,1
 26,8,4,15,38,36,29,15,26,40,23,16,29,15,7,6,5,3,5,2,6,6,10,2,1
 27,1,7,25,41,44,44,32,23,48,nan,27,nan,64,nan,13,7,10,3,12,3,11,13,3,1
 28,11,9,17,26,21,21,16,40,20,15,14,15,20,20,10,6,9,9,5,5,8,2,2,2
 29,2,6,15,40,24,41,60,53,54,46,53,39,23,19,19,10,11,5,9,6,5,2,11,3
 30,4,15,14,44,28,46,57,61,34,89,45,46,42,31,22,14,4,9,4,4,5,14,1,1
 31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
