Jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
0,37,37,51,49,51,48,49,13,0,2,30,35,39,48,66,51,36,38,21,30,38,41,35,33
1,54,61,53,55,63,70,41,60,57,43,31,49,37,49,62,52,38,39,25,34,31,58,37,38
2,54,38,57,74,70,57,58,71,75,63,45,52,36,31,17,16,26,14,7,4,20,27,33,23
3,31,38,35,35,28,45,48,23,13,43,40,36,32,36,11,15,8,11,19,12,18,19,38,24
4,45,32,31,33,43,38,30,36,46,62,50,36,37,13,26,18,18,23,17,6,14,28,26,32
5,35,31,33,39,46,50,19,43,51,44,51,25,12,15,8,7,1,0,1,1,1,1,1,0
6,1,0,1,3,1,0,49,18,54,42,18,11,16,6,7,7,7,9,13,5,12,27,31,47
7,36,51,51,51,44,41,52,54,35,30,26,20,10,10,22,31,17,15,15,8,15,21,33,31
8,40,41,51,55,65,53,58,58,57,40,49,31,37,40,38,37,25,22,18,27,33,24,27,26
9,30,31,41,35,47,35,53,47,46,40,30,31,34,30,29,38,34,20,24,16,35,27,28,41
10,33,35,37,39,40,36,51,54,44,43,39,39,32,34,36,36,27,35,23,23,36,32,42,39
11,36,44,40,32,33,35,45,59,56,42,43,33,28,36,31,36,35,29,23,25,22,42,34,35
12,34,39,33,52,42,37,46,53,58,42,36,32,30,40,36,29,36,22,35,13,21,31,31,39
13,38,26,44,35,36,44,33,19,35,43,35,26,15,17,13,12,33,19,10,7,29,35,38,37
14,51,42,38,32,40,41,53,44,42,32,31,27,42,34,36,23,24,20,21,36,23,29,38,43
15,45,38,46,46,42,44,58,55,46,34,45,26,29,16,9,11,7,7,24,25,41,34,52,33
16,44,52,68,47,45,43,46,54,57,46,37,35,33,29,12,20,21,19,23,32,44,43,42,51
17,37,52,40,44,41,43,45,42,45,45,29,17,22,14,15,12,11,11,19,17,25,52,35,48
18,48,43,52,38,49,43,40,60,53,25,25,8,16,4,4,2,0,1,5,1,1,3,11,6
19,5,13,17,14,22,16,19,18,17,18,4,1,2,0,1,0,3,3,0,3,5,8,8,18
20,20,25,21,16,22,21,17,22,12,3,11,19,22,4,4,15,8,11,4,3,9,16,20,24
21,18,29,19,22,20,26,13,10,18,50,48,40,16,6,18,18,21,20,24,18,31,40,45,43
22,59,62,51,56,59,60,61,67,35,20,44,47,42,18,17,10,23,16,44,36,32,47,61,78
23,71,78,45,63,64,60,56,65,67,53,50,47,50,41,39,34,32,29,32,37,31,49,60,75
24,58,75,64,66,61,54,48,62,76,59,54,36,36,35,38,44,50,34,29,38,39,38,71,86
25,86,74,76,84,74,60,76,63,73,62,55,46,31,13,19,11,19,25,40,31,50,85,100,94
26,102,71,97,70,87,71,78,67,78,69,41,27,17,12,18,9,12,16,26,26,44,39,54,58
27,106,102,115,104,81,87,85,102,86,48,21,25,14,12,12,8,15,25,28,21,29,50,74,74
28,99,108,75,70,79,58,57,58,58,48,45,26,26,14,14,11,17,11,18,34,48,37,58,59
29,107,90,108,108,97,86,78,75,53,45,30,20,15,9,13,1,14,5,13,7,28,26,55,59
30,60,63,71,73,76,54,66,69,63,57,46,49,44,48,42,44,38,36,46,42,39,44,51,-1,-1
