may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,17,15,16,11,12,10,14,6,3,4,9,14,11,12,-1,-1,-1,-1,16,21,14,23,21,17
02,22,12,14,11,12,10,11,10,4,6,11,-1,-1,14,-1,-1,-1,17,17,20,28,24,26,24
03,23,12,15,17,12,14,7,2,3,1,4,3,3,8,21,-1,-1,-1,25,23,30,30,23,28
04,22,22,18,6,18,10,10,8,11,4,4,8,5,13,9,19,16,19,27,25,25,35,29,22
05,31,29,30,18,-1,-1,-1,4,-1,8,3,12,6,17,11,-1,16,18,27,18,35,30,35,32
06,24,10,14,8,13,4,8,6,2,4,6,-1,-1,-1,-1,21,16,12,24,18,29,25,27,22
07,25,19,14,12,12,21,19,8,6,8,7,9,8,11,17,-1,-1,18,23,31,25,30,22,23
08,22,19,12,13,11,10,16,-1,-1,-1,-1,6,12,10,10,13,21,18,21,22,33,35,31,18
09,19,12,12,12,10,10,12,2,-1,-1,2,9,6,4,11,10,-1,18,15,16,24,27,22,19
10,20,21,14,9,12,18,7,4,10,4,3,7,6,13,16,12,-1,11,19,23,18,25,27,22
11,-1,14,13,8,8,11,14,-1,-1,3,7,9,14,19,10,12,14,18,20,26,25,29,30,24
12,26,21,21,13,17,19,21,-1,10,6,-1,4,8,-1,-1,17,9,16,21,24,33,18,22,25
13,-1,-1,16,16,12,17,12,6,-1,-1,3,8,12,-1,13,15,-1,16,22,28,24,27,27,14
14,20,21,14,-1,20,18,28,14,13,11,3,8,9,15,17,10,13,19,22,18,32,37,23,30
15,26,27,12,16,14,15,15,9,9,5,6,9,10,21,16,16,23,20,22,18,20,29,22,27
16,23,19,10,6,13,15,12,6,-1,-1,9,9,11,11,20,17,16,18,22,19,17,20,29,20
17,15,11,15,12,17,9,14,3,7,6,5,5,8,10,18,15,13,11,18,20,25,28,28,24
18,13,15,9,12,15,13,18,13,6,5,11,6,-1,13,11,15,21,18,19,22,26,19,19,17
19,13,10,6,6,12,10,12,-1,7,9,-1,7,8,-1,-1,16,16,23,28,19,16,32,28,23
20,20,11,7,10,17,10,18,11,3,4,5,9,12,14,12,-1,-1,19,21,19,21,26,27,20
21,6,18,10,14,15,14,12,9,6,5,8,12,12,5,21,15,14,16,15,20,19,35,25,-1,-1
22,15,12,16,9,11,14,12,11,9,5,4,6,7,14,14,16,20,19,25,22,23,27,27,17
23,18,10,10,14,12,10,12,11,7,4,6,7,9,14,11,14,13,11,23,18,27,22,15,14
24,19,14,6,8,16,16,12,-1,13,9,7,6,9,10,12,14,14,24,15,22,24,22,23,11
25,10,5,10,13,13,5,14,-1,5,6,8,7,13,12,14,16,15,14,15,19,17,21,21,23
26,23,13,11,14,10,11,12,12,-1,-1,-1,8,8,15,15,15,21,15,20,16,22,28,20,23
27,9,-1,-1,-1,20,18,5,9,6,4,4,4,6,16,19,18,16,21,12,14,19,27,17,18
28,14,9,7,12,8,7,9,12,8,12,9,5,9,12,16,19,17,17,15,18,23,23,24,14
29,14,18,8,9,14,12,-1,-1,6,9,9,9,13,18,17,17,16,16,20,23,29,27,21,18
30,23,16,9,13,16,20,12,-1,8,8,9,7,9,17,14,11,16,23,20,22,30,31,27,24
31,21,12,12,12,17,16,15,7,7,7,8,10,9,18,17,24,16,24,27,29,20,22,23,16
