feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,1,8,6,5,6,10,15,35,14,27,21,25,25,28,14,16,13,14,8,20,7,5,13,6,""
02,4,3,5,4,8,20,18,23,19,20,22,19,19,21,16,13,16,10,20,9,10,7,13,6,""
03,8,3,9,11,8,15,19,26,23,18,24,20,30,18,17,18,18,28,24,17,12,5,8,4,""
04,4,3,1,5,9,20,23,29,25,28,27,34,31,27,23,24,15,21,16,17,11,17,10,8,""
05,3,6,7,5,14,16,11,21,29,34,20,30,20,19,20,34,22,20,20,16,14,8,9,8,""
06,2,3,4,11,5,16,9,24,24,32,25,22,17,22,17,21,28,17,19,17,17,11,5,11,""
07,8,6,3,6,10,12,15,22,13,28,34,27,19,27,26,23,16,15,11,23,14,10,5,6,""
08,5,6,3,7,12,19,20,26,24,18,27,29,20,22,19,28,23,14,12,14,14,11,10,6,""
09,5,6,7,7,14,8,15,19,19,26,27,20,21,16,27,25,30,12,13,16,17,10,9,6,""
10,6,2,5,8,17,10,17,20,21,30,30,29,30,23,22,21,17,20,21,14,11,17,11,11,""
11,3,2,3,7,14,12,22,27,20,26,36,32,22,22,21,19,25,24,16,18,16,7,12,10,""
12,7,7,33,162,187,45,45,47,74,74,54,70,64,56,49,66,55,49,41,46,33,18,19,11,""
13,8,8,135,434,75,159,613,654,537,639,649,646,655,556,605,625,617,552,274,26,18,15,8,8,""
14,8,13,10,8,10,7,13,20,29,31,28,28,20,28,20,16,19,7,14,15,21,4,12,3,""
15,6,6,2,33,65,15,18,22,13,22,24,26,15,23,23,15,21,15,25,22,20,23,14,5,""
16,5,6,4,7,10,12,17,13,20,20,19,15,15,12,12,18,8,23,20,12,13,17,9,9,""
17,3,3,7,7,6,12,19,10,22,12,20,22,11,23,15,15,22,20,13,20,15,12,7,8,""
18,5,11,4,9,10,11,15,21,12,21,17,16,16,12,11,12,18,14,11,10,7,11,3,5,""
19,0,2,2,4,7,9,8,11,9,15,16,9,7,10,7,12,8,6,8,6,9,11,4,2,""
20,5,10,3,1,4,7,9,11,9,22,13,13,14,15,15,15,14,9,13,2,13,5,6,5,""
21,3,3,8,5,9,14,18,19,26,22,20,22,21,24,22,10,9,13,22,17,15,12,9,8,""
22,7,8,3,7,6,12,21,20,24,17,19,39,20,19,12,16,24,17,18,13,17,13,13,7,""
23,2,4,9,8,8,18,21,14,30,21,26,14,25,22,19,15,14,15,14,12,11,9,4,7,""
24,5,3,5,7,14,15,20,12,13,19,23,15,15,14,23,19,22,13,13,16,11,10,15,9,""
25,2,2,1,6,11,6,12,23,25,20,26,25,19,23,15,24,13,20,15,15,10,12,5,8,""
26,3,5,3,1,14,10,9,16,17,23,19,13,21,21,20,19,21,14,16,12,11,13,9,4,""
27,6,7,2,6,11,14,28,16,15,23,24,30,15,27,21,28,21,22,26,20,14,14,7,6,""
28,9,10,9,5,6,17,25,18,22,28,20,30,21,29,34,20,20,15,18,17,15,16,8,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
