Nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,6,5,18,28,9,9,6,6,18,16,26,21,22,19,19,19,18,13,9,13,9,9,4,7
2,8,6,26,12,11,8,6,16,15,15,22,8,19,21,18,23,15,15,9,3,8,5,8,3
3,3,10,15,16,11,6,10,10,12,13,18,18,14,27,29,14,15,18,17,3,7,3,6,4
4,6,13,18,15,10,12,8,17,16,12,15,26,23,20,13,19,15,15,12,14,5,5,4,3
5,5,7,10,17,11,7,8,9,4,6,13,22,13,19,35,18,3,6,9,7,-1,1,4,5
6,8,12,17,6,17,15,6,4,10,9,19,22,18,14,24,17,12,3,10,14,-1,-1,-1,-1,-1
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,19,8,14,12,8,12,2,7
8,4,8,20,9,17,11,7,10,11,11,20,18,17,20,21,15,13,8,11,7,9,2,6,7
9,7,8,16,15,14,14,14,12,9,20,15,13,26,16,20,14,11,7,9,4,5,5,1,2
10,6,4,14,10,16,9,19,13,5,13,15,45,22,26,13,10,8,10,7,6,3,4,4,4
11,3,6,6,14,8,11,8,38,11,18,16,23,14,21,28,9,15,17,13,12,8,12,3,3
12,2,14,13,7,15,14,8,12,12,18,22,19,27,16,17,19,16,17,21,12,14,5,6,7
13,6,14,12,16,13,15,3,10,10,15,21,29,13,20,17,20,20,14,22,6,6,7,4,5
14,5,10,16,28,15,7,8,10,9,14,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,8,10
15,10,13,9,13,17,20,6,6,10,12,15,27,14,17,12,21,18,9,13,8,6,7,4,8
16,6,10,17,12,8,9,10,9,11,13,15,15,11,14,14,22,7,28,12,7,12,3,8,2
17,4,9,8,13,12,12,14,11,18,14,19,15,15,20,32,19,20,14,8,12,12,8,6,6
18,10,7,8,7,9,8,11,9,10,18,36,33,31,21,28,23,32,23,8,12,9,5,4,8
19,3,9,17,13,7,10,12,56,71,70,167,171,92,62,75,37,31,24,68,14,8,5,6,5
20,7,5,11,16,11,7,5,11,28,17,19,20,32,21,49,12,18,13,9,5,11,10,3,8
21,3,6,13,12,7,7,5,7,8,13,14,20,16,9,15,14,13,11,11,12,7,10,5,1
22,4,12,8,15,7,11,4,12,14,10,6,17,12,21,25,16,16,9,10,4,8,5,2,2
23,8,6,11,12,6,5,8,5,11,9,17,16,18,23,29,24,15,22,13,7,11,4,4,6
24,4,4,11,6,11,7,13,9,7,13,20,17,18,13,25,13,15,15,10,4,6,12,4,4
25,4,5,17,14,10,12,10,6,10,21,36,31,28,19,30,23,36,17,17,16,12,7,5,4
26,12,8,17,8,8,8,10,8,15,20,11,18,23,15,26,19,24,16,17,8,7,9,8,5
27,6,5,9,26,14,12,14,7,15,12,16,26,25,31,33,19,27,16,15,10,13,7,3,10
28,3,9,16,17,24,9,13,14,24,18,20,22,26,22,23,28,20,7,12,11,12,12,7,16
29,8,4,12,19,16,21,13,10,12,15,17,19,28,34,18,19,13,17,25,6,10,12,18,8
30,4,7,10,15,19,9,19,14,6,17,10,23,32,16,23,32,16,17,12,5,14,7,13,4
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
