nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,18,26,24,20,13,11,26,18,22,14,15,8,8,8,6,9,6,8,6,13,16,28,18,23,""
02,17,27,18,18,20,10,15,16,12,10,11,12,5,4,5,3,6,6,11,15,16,21,18,23,""
03,20,25,21,18,20,14,18,14,17,13,17,10,12,7,10,2,9,9,9,8,22,23,25,18,""
04,21,12,23,19,14,18,17,16,9,11,7,12,12,8,13,7,4,6,16,10,14,15,24,21,""
05,20,18,14,12,13,14,16,23,17,10,11,9,11,7,9,14,6,8,10,14,21,17,25,18,""
06,16,14,17,13,16,15,13,12,7,12,13,9,9,5,7,4,5,8,14,8,18,24,19,18,""
07,17,25,16,28,21,13,13,16,7,17,10,9,7,6,6,4,9,10,4,15,23,20,17,24,""
08,10,16,16,23,18,18,20,17,19,15,8,13,10,6,9,7,5,7,11,16,23,30,19,25,""
09,21,18,19,24,14,18,11,11,10,15,8,7,7,8,9,8,5,4,9,16,17,22,23,26,""
10,14,16,19,23,18,20,22,21,14,16,12,17,9,8,10,7,6,8,13,14,16,18,31,19,""
11,23,18,18,22,19,16,15,17,12,12,10,9,11,8,6,6,4,2,10,12,16,25,19,13,""
12,18,26,17,23,18,15,15,12,19,9,6,9,11,3,5,6,4,10,10,9,11,22,23,26,""
13,15,12,25,16,13,14,23,19,14,10,12,13,8,7,11,5,9,10,12,14,14,14,23,23,""
14,25,19,19,20,25,15,21,17,13,10,19,10,16,9,10,8,5,9,12,10,13,29,23,19,""
15,14,14,18,24,20,19,17,18,17,9,10,9,6,9,7,5,6,8,6,15,15,17,24,20,""
16,14,15,17,23,20,21,20,25,14,15,15,11,5,12,4,6,9,7,10,16,16,23,24,21,""
17,20,21,20,20,21,20,23,23,20,17,16,12,9,10,7,5,15,8,7,15,14,19,31,22,""
18,20,25,26,20,27,19,20,12,14,16,13,9,16,8,3,6,5,3,6,14,21,27,16,24,""
19,24,20,22,21,17,17,17,24,21,9,16,9,18,9,3,2,5,6,7,11,14,18,20,15,""
20,22,18,19,18,23,19,13,17,11,15,12,21,5,8,12,11,4,8,10,19,22,17,18,11,""
21,17,12,24,18,20,22,8,10,16,10,9,14,8,12,5,9,6,7,10,15,15,10,19,12,""
22,17,20,23,21,19,19,12,12,27,13,10,9,6,4,5,6,6,4,9,12,10,23,19,17,""
23,18,13,22,20,20,26,15,8,14,10,10,12,11,12,2,8,3,3,7,7,14,22,18,17,""
24,19,15,18,24,22,9,22,18,17,16,13,6,8,5,4,8,7,7,12,6,21,13,11,22,""
25,26,19,15,18,22,20,17,10,20,12,12,9,10,10,6,11,4,5,8,14,16,21,18,26,""
26,16,21,20,13,16,15,15,22,10,17,19,9,5,2,6,7,6,5,8,9,15,22,17,15,""
27,18,12,13,21,24,18,17,14,10,16,9,6,8,5,5,4,3,8,5,12,16,16,22,13,""
28,20,18,17,14,22,15,11,14,11,9,13,7,6,5,7,4,5,6,10,7,17,17,19,13,""
29,16,15,19,17,15,15,16,11,12,11,11,11,6,9,6,3,10,10,14,8,10,14,14,19,""
30,14,22,23,16,15,14,12,11,13,18,10,13,14,13,7,7,5,4,6,14,14,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
