nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,0,2,9,6,16,20,17,39,31,43,25,34,18,22,17,31,22,22,19,12,17,18,6,6,""
02,3,9,14,7,19,26,20,27,32,28,27,19,22,27,21,17,16,17,10,16,11,9,9,9,""
03,3,3,9,8,12,11,21,35,28,29,29,24,23,11,14,32,19,19,18,19,12,5,8,1,""
04,2,4,10,6,13,22,29,30,28,34,19,30,25,10,22,22,20,16,10,9,10,11,4,7,""
05,8,7,12,7,18,26,31,32,23,29,31,12,19,23,18,24,27,19,20,17,12,12,3,5,""
06,7,3,11,13,16,18,26,27,20,27,31,35,26,27,18,22,21,24,15,15,8,11,6,7,""
07,5,7,12,14,19,26,42,17,27,20,23,33,27,20,15,20,33,27,22,18,16,11,13,3,""
08,7,11,9,11,14,18,28,30,25,34,24,25,19,25,20,32,23,35,14,13,15,16,14,2,""
09,3,2,7,10,18,24,29,28,25,26,17,27,14,21,17,15,24,28,32,13,9,4,10,7,""
10,2,7,17,11,25,25,34,40,31,22,28,21,32,19,13,20,19,21,20,15,13,8,8,5,""
11,2,5,22,12,26,28,24,38,41,41,35,30,31,21,20,35,32,34,23,10,6,8,3,10,""
12,9,6,19,12,35,26,33,36,24,30,26,28,28,30,20,16,34,23,31,15,12,7,6,5,""
13,3,9,15,24,21,20,29,30,25,27,30,25,15,19,23,14,13,13,22,10,12,19,9,9,""
14,4,7,3,4,10,7,19,33,26,18,23,19,24,31,26,33,13,12,24,15,20,6,1,4,""
15,8,4,7,17,10,25,22,31,27,38,36,46,40,44,26,31,35,28,15,18,12,11,7,8,""
16,3,7,5,4,16,16,18,30,35,46,48,51,33,41,44,40,31,26,21,14,7,7,5,0,""
17,2,2,6,5,6,9,13,19,37,43,49,53,61,55,48,59,47,36,31,20,5,7,4,2,""
18,0,5,1,14,18,11,13,20,37,37,43,43,47,55,58,29,31,27,19,9,10,2,4,4,""
19,3,4,3,6,8,15,18,19,27,31,18,32,32,41,39,40,20,31,18,14,13,7,8,7,""
20,3,4,8,4,15,9,22,18,25,22,32,33,41,40,32,25,28,15,16,9,9,6,5,5,""
21,4,4,11,8,9,10,16,17,37,25,33,27,39,36,42,26,16,34,21,8,9,8,4,4,""
22,4,6,12,17,18,8,27,36,39,38,34,43,57,46,47,32,39,49,25,12,8,9,9,3,""
23,2,13,22,19,16,44,40,41,47,30,20,43,32,25,38,27,22,19,18,12,21,15,10,25,""
24,8,5,17,22,27,31,28,28,19,30,36,31,39,43,47,24,53,23,24,15,9,24,50,64,""
25,72,7,22,19,31,21,22,19,30,24,25,38,28,32,34,30,30,19,12,13,14,10,11,8,""
26,28,25,59,25,8,12,10,23,16,34,22,36,32,27,30,21,22,21,16,9,9,9,7,5,""
27,15,7,6,8,13,17,29,26,41,33,31,34,38,24,40,32,31,25,18,16,6,6,4,9,""
28,0,6,3,7,6,7,17,24,24,19,28,24,28,26,34,17,17,14,18,14,10,9,6,7,""
29,1,14,4,4,4,4,10,27,27,38,35,40,35,18,22,28,32,33,21,24,26,20,10,7,""
30,4,2,1,6,2,4,22,25,39,30,30,25,38,32,20,15,22,16,10,12,8,4,6,1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
