mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,13,18,27,31,21,21,17,10,15,12,5,8,3,3,2,4,5,13,5,11,5,12,6,10
02,13,10,15,11,12,13,17,21,16,20,13,7,5,6,2,0,2,1,5,6,5,5,5,10
03,22,16,18,15,18,13,9,12,5,13,10,9,8,8,4,5,3,3,4,3,6,20,20,14
04,18,24,21,14,18,15,12,23,17,22,12,10,4,8,2,2,2,1,2,11,2,4,10,7
05,14,16,10,14,13,6,9,13,11,3,12,7,4,5,4,3,3,4,3,6,8,8,7,11
06,17,18,17,8,9,16,17,9,11,5,6,6,2,3,6,1,3,1,3,1,7,5,13,10
07,20,28,15,27,24,24,14,3,8,6,4,4,8,6,2,5,3,4,2,4,7,5,13,17
08,10,21,18,27,24,17,8,15,12,9,9,8,11,3,0,3,1,2,8,1,7,9,17,20
09,18,22,25,22,18,17,18,18,17,19,4,9,9,1,6,2,1,9,2,4,1,5,4,8
10,15,26,15,20,23,15,8,19,9,11,16,10,5,4,5,1,4,0,3,4,5,11,4,18
11,13,23,21,15,17,17,8,6,10,8,7,8,2,3,2,1,2,1,1,8,8,12,17,12
12,13,14,17,16,14,8,14,13,4,3,10,11,4,2,1,1,5,1,5,5,5,6,8,11
13,8,11,11,17,5,6,13,5,10,6,3,5,3,2,7,1,4,0,4,0,2,5,10,9
14,8,9,12,13,15,8,3,16,14,9,5,5,6,1,3,3,2,2,2,7,5,6,10,15
15,10,16,16,8,18,18,9,10,19,12,1,7,13,4,6,2,2,0,1,1,12,13,6,9
16,13,13,17,18,17,10,12,12,10,7,8,6,7,4,3,5,2,4,2,2,2,3,10,7
17,15,12,19,18,20,9,11,21,15,7,5,6,5,1,4,5,2,1,6,6,5,6,8,7
18,10,14,16,9,17,9,5,8,7,9,4,2,4,4,0,0,2,2,3,1,3,6,8,8
19,12,16,11,10,22,8,9,18,7,11,9,8,2,6,2,3,2,0,2,2,3,0,13,7
20,11,15,15,6,6,8,6,6,4,8,5,5,6,3,1,2,1,0,3,2,4,6,10,23
21,19,14,29,18,12,19,11,16,17,11,12,9,8,3,7,6,4,5,3,2,2,7,9,17
22,21,21,25,35,34,20,23,18,15,17,7,10,7,4,2,0,0,0,4,4,7,9,9,10
23,18,26,28,33,23,23,12,19,14,18,2,2,8,5,4,2,4,1,17,5,0,0,0,7
24,17,35,36,23,29,12,19,28,34,31,25,18,14,7,8,10,5,9,9,16,9,18,28,30
25,36,28,38,44,38,28,28,20,26,26,36,15,5,6,4,8,11,8,15,18,10,17,13,21
26,35,26,22,44,32,17,46,40,31,37,38,34,29,35,6,8,6,11,18,26,34,48,55,25
27,40,64,-1,52,25,86,77,52,54,59,44,28,28,30,16,16,12,15,19,22,23,47,56,41
28,53,35,62,39,92,96,92,53,48,79,45,30,29,25,8,14,15,11,17,25,31,54,36,53
29,10,0,0,30,45,118,76,83,81,70,84,35,31,24,14,9,13,23,26,10,24,54,31,25
30,32,34,28,30,38,58,61,65,101,112,75,40,26,17,17,15,11,9,7,17,32,11,31,21
31,26,22,37,31,43,77,78,72,78,63,79,47,34,24,16,8,7,18,13,15,30,-1,-1,-1,-1
