Oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,7,14,7,1,11,8,4,18,14,12,8,15,20,11,12,16,14,16,18,15,17,16,9,5
2,10,10,9,10,5,7,5,7,11,15,13,11,23,20,16,8,18,23,17,14,10,6,17,9
3,14,11,19,7,8,11,4,21,13,13,13,12,19,28,16,14,12,28,12,10,9,10,5,3
4,11,9,11,16,14,8,16,14,18,21,17,24,17,22,23,18,13,8,15,12,9,5,18,5
5,21,13,11,11,11,3,5,6,8,6,10,12,20,7,10,9,8,-1,-1,-1,-1,19,6,6
6,21,11,13,12,20,10,6,17,19,13,13,10,18,19,21,19,12,7,14,11,10,3,2,8
7,8,9,8,15,16,16,19,8,7,11,20,13,9,19,14,17,10,8,11,8,9,6,8,8
8,12,11,15,17,7,17,20,15,17,18,18,26,19,20,10,16,15,17,14,12,9,5,12,18
9,8,5,23,18,14,14,13,20,20,21,18,19,16,13,14,13,18,12,15,10,8,3,13,5
10,9,17,9,13,19,9,11,16,17,20,12,16,19,20,19,16,18,10,14,12,11,9,6,6
11,19,10,13,15,12,10,13,11,19,16,21,12,22,17,12,18,11,10,4,8,5,7,14,9
12,10,16,9,14,15,8,7,16,15,10,22,15,11,16,22,8,17,13,-1,8,6,4,4,16
13,4,17,14,13,12,9,6,10,20,14,10,13,13,15,19,14,9,10,16,6,5,5,3,5
14,16,10,7,10,15,13,14,13,18,15,16,17,18,19,24,21,16,11,9,10,8,4,8,4
15,9,19,16,16,22,16,12,17,34,17,22,24,27,23,14,8,12,16,8,10,9,7,-1,-1,-1
16,14,9,12,16,13,18,19,13,16,16,14,21,11,17,19,14,15,13,11,12,10,14,6,3
17,16,14,20,19,13,-1,-1,-1,-1,-1,-1,25,16,24,20,17,12,12,10,13,10,11,7,14
18,8,2,13,9,-1,-1,-1,-1,18,11,9,13,21,12,16,10,12,11,6,9,7,4,9,9
19,16,7,7,14,16,18,15,8,14,9,15,6,10,13,13,17,16,17,-1,-1,-1,9,14,5
20,4,12,6,10,10,10,12,21,10,6,13,16,17,14,10,12,16,17,13,12,5,18,9,9
21,8,9,13,23,17,20,21,23,19,13,17,22,9,22,21,10,13,9,14,9,8,10,14,4
22,9,6,17,11,11,13,19,19,23,23,28,18,24,23,26,11,12,16,8,5,4,9,-1,-1,-1
23,5,15,20,18,15,15,20,20,30,20,28,23,27,17,25,19,10,14,6,11,9,10,12,3
24,14,10,11,13,10,7,16,7,14,11,14,12,14,15,18,17,5,6,17,13,11,8,6,13
25,9,17,11,9,22,16,9,24,28,16,29,23,19,18,13,19,14,12,9,5,8,10,9,5
26,14,14,18,18,13,19,18,21,13,12,14,9,27,15,15,21,6,12,13,14,12,15,5,2
27,16,18,9,8,7,5,9,14,11,7,8,12,6,13,14,16,13,10,5,8,4,2,4,5
28,4,11,6,8,10,6,9,11,14,10,19,7,12,12,7,13,9,12,14,8,8,5,2,4
29,9,16,14,4,12,12,16,13,10,20,16,14,19,15,20,14,11,11,11,4,6,6,5,-1,-1
30,7,22,16,12,14,14,15,24,20,21,18,33,19,25,24,23,20,15,9,8,3,5,6,13
31,10,16,-1,-1,-1,-1,-1,-1,-1,-1,19,19,21,-1,-1,-1,-1,17,13,11,4,6,5,8
