nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,0,0,1,3,3,1,1,3,2,2,2,2,2,1,0,0,0,0,2,2,1,3,0,1,""
02,1,0,2,4,1,1,0,0,1,1,2,1,1,1,0,0,0,0,0,0,3,1,0,2,""
03,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,""
04,1,2,0,3,1,3,3,1,0,0,2,1,3,1,0,0,0,1,0,2,0,0,3,0,""
05,3,2,0,0,4,1,2,1,3,0,1,1,1,1,1,2,0,0,0,0,1,3,0,1,""
06,0,1,0,3,0,1,2,0,1,1,1,2,1,2,0,3,3,0,1,0,1,3,0,0,""
07,0,1,0,0,0,2,1,3,0,1,1,0,2,0,1,1,0,1,0,1,-1,-1,-1,-1,""
08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,2,2,0,2,""
11,0,2,1,0,4,1,1,0,2,0,1,1,2,2,1,1,0,2,0,2,0,4,3,5,""
12,0,1,2,2,0,4,2,1,0,2,2,0,6,2,0,0,1,5,0,1,2,1,1,1,""
13,0,0,0,0,2,1,1,0,1,3,3,2,0,0,1,0,1,0,1,2,3,0,1,0,""
14,0,1,1,3,2,2,1,1,2,0,2,0,1,1,0,1,1,1,1,1,2,1,2,1,""
15,1,0,0,0,2,0,5,1,0,1,1,4,1,1,5,1,0,0,0,0,0,0,0,0,""
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
18,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,4,0,0,0,0,""
19,0,0,2,2,0,3,0,0,3,0,3,1,3,1,0,0,3,3,2,1,0,2,0,0,""
20,0,0,1,0,2,0,0,1,0,2,3,0,1,0,0,0,0,0,1,0,1,1,0,0,""
21,0,1,0,1,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,1,0,0,0,""
22,0,1,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,""
23,4,0,1,0,2,4,1,1,0,1,1,0,0,0,2,0,2,1,0,1,2,3,2,0,""
24,0,1,0,4,1,1,3,1,1,0,0,1,1,0,1,1,0,3,0,0,1,1,0,0,""
25,1,0,1,0,1,0,2,4,2,0,1,2,3,0,2,0,1,0,0,0,0,2,0,0,""
26,0,1,2,1,2,4,3,2,2,3,1,0,0,0,0,1,0,0,2,0,1,1,0,1,""
27,0,0,2,0,2,1,0,1,2,2,1,1,0,0,0,0,0,1,0,0,0,0,1,1,""
28,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,2,0,0,0,2,2,1,""
29,1,0,1,3,1,2,3,0,1,2,2,0,1,1,1,0,0,0,0,0,0,1,0,1,""
30,0,0,2,0,2,0,0,0,0,0,0,0,2,3,1,0,0,0,2,0,0,0,0,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
