nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,44,43,53,49,48,48,46,47,27,30,29,38,26,22,19,17,16,19,14,29,37,36,30,39,""
02,43,37,49,46,53,41,35,40,32,29,24,39,30,29,21,15,18,21,29,25,45,33,44,34,""
03,36,57,53,50,48,40,41,44,31,32,30,34,29,32,15,20,19,20,25,34,40,32,43,42,""
04,39,50,43,49,43,48,46,37,37,27,34,35,36,20,24,13,14,18,27,34,30,48,33,38,""
05,35,50,66,52,39,50,36,38,31,44,29,26,22,23,28,15,14,29,25,31,35,36,44,35,""
06,40,35,53,42,42,48,31,26,32,23,22,10,16,16,14,19,15,20,15,23,26,40,32,31,""
07,50,43,51,44,43,47,34,35,26,24,17,33,22,24,16,14,16,21,15,29,32,27,33,32,""
08,42,47,48,43,38,38,39,43,29,24,31,30,25,19,24,19,18,17,24,25,33,37,39,25,""
09,36,43,55,42,46,25,33,35,24,21,19,26,16,21,27,22,13,14,25,32,34,47,40,48,""
10,37,36,48,47,38,31,34,26,40,21,20,19,20,18,23,14,12,20,23,30,37,34,36,34,""
11,42,49,42,44,39,44,37,35,34,31,25,24,19,20,15,19,15,21,19,25,30,26,33,33,""
12,39,40,40,39,38,35,29,26,28,31,29,29,22,24,17,13,20,24,20,29,28,38,45,29,""
13,48,44,55,47,-1,37,29,24,42,24,18,32,33,29,31,17,16,21,-1,-1,-1,-1,26,30,""
14,38,47,42,47,41,30,34,39,44,37,30,26,26,24,23,14,19,19,21,26,26,30,35,27,""
15,32,45,40,42,41,40,38,26,31,23,21,26,25,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,17,16,22,27,28,33,27,23,""
17,34,27,39,51,47,27,32,38,31,30,25,27,15,20,14,21,14,23,22,21,33,42,42,33,""
18,37,39,52,53,47,47,28,43,44,21,28,25,32,20,19,16,20,13,21,33,34,47,43,43,""
19,36,59,47,49,48,50,47,41,36,32,32,34,20,22,19,19,19,21,14,27,31,34,37,42,""
20,41,55,54,59,41,41,39,35,38,37,27,27,26,26,23,17,18,21,20,31,32,48,38,40,""
21,41,41,50,44,51,43,34,34,30,43,23,15,29,20,17,11,13,21,28,33,34,37,45,42,""
22,55,48,61,33,35,54,32,38,42,36,-1,21,22,10,19,13,12,14,30,25,35,42,42,32,""
23,35,38,54,38,48,35,32,38,27,23,19,25,20,22,14,12,19,18,19,35,31,25,33,39,""
24,35,49,54,46,47,23,37,28,29,24,17,20,15,17,15,15,12,18,18,27,29,45,29,33,""
25,24,35,42,41,50,37,46,34,25,24,15,20,22,15,20,16,14,14,21,30,40,28,35,35,""
26,33,49,55,50,43,51,44,40,32,39,28,24,22,21,19,26,17,12,21,36,34,30,31,39,""
27,43,44,61,58,61,40,25,36,37,27,34,22,31,15,22,20,16,10,27,29,40,40,40,43,""
28,47,35,38,46,44,45,37,39,45,35,33,26,19,20,7,18,19,20,17,23,26,36,36,37,""
29,40,44,39,41,46,42,36,34,32,25,39,24,19,29,16,15,15,20,23,22,43,41,43,33,""
30,38,47,48,45,52,53,34,33,34,30,24,27,30,21,14,21,15,21,27,34,34,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
