may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,0,1,1,0,1,2,0,1,1,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0
02,0,2,0,1,0,1,0,0,0,0,0,10,0,1,0,0,1,1,1,0,1,0,2,0
03,0,0,1,0,0,0,1,13,7,1,3,4,8,38,1,0,0,0,0,0,0,0,0,0
04,1,0,0,1,0,1,0,0,1,1,1,1,3,2,1,14,20,5,6,21,1,0,0,0
05,0,0,0,2,1,0,0,0,3,2,3,3,9,5,0,0,0,2,0,0,0,0,0,0
06,0,0,0,3,0,1,0,1,11,7,2,1,0,0,0,3,0,0,0,0,0,0,0,0
07,0,0,0,0,1,0,0,2,0,7,1,14,5,1,0,0,0,0,2,0,1,2,0,1
08,1,0,0,0,2,1,1,0,2,0,2,25,7,2,0,1,0,4,2,0,1,1,0,1
09,0,0,0,1,1,0,0,1,1,2,1,24,0,0,0,0,0,0,1,0,0,0,0,1
10,0,0,0,0,0,1,0,1,1,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
14,0,1,1,5,1,0,0,8,1,13,23,0,3,25,3,15,6,0,2,0,1,0,1,1
15,3,0,0,5,0,1,0,2,119,0,1,8,0,10,0,13,0,1,2,2,0,2,0,0
16,0,0,0,0,1,1,0,0,0,1,0,22,27,0,1,0,0,0,3,0,0,1,0,0
17,3,5,0,0,0,1,0,0,0,0,1,0,2,0,1,5,0,3,0,0,0,1,0,1
18,0,0,0,0,0,1,0,0,0,23,0,0,1,3,0,0,0,44,0,0,7,1,1,0
19,0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,1,0,0,3,3,2,0,2,1
20,1,0,0,0,0,0,0,1,3,0,8,1,76,4,35,9,4,0,53,20,19,96,17,1
21,0,0,0,0,0,0,1,0,0,14,78,22,0,0,13,16,0,0,2,0,1,1,0,0
22,1,0,1,3,2,0,0,1,1,8,13,0,1,0,0,0,1,49,18,2,1,0,1,1
23,1,0,0,0,2,1,0,0,1,1,0,0,0,4,1,1,0,1,1,0,0,0,1,0
24,1,1,1,0,1,1,2,1,0,0,1,0,0,1,0,0,0,2,2,1,0,0,2,2
25,0,0,0,0,2,0,0,2,1,2,0,0,0,0,0,4,1,1,2,0,0,2,1,0
26,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,2,1,1,0,0,2,1
27,0,0,0,0,0,1,3,1,1,24,21,1,55,47,2,90,53,15,1,2,0,0,0,0
28,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
