may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,10,9,9,7,19,24,24,19,23,19,29,17,13,14,6,12,4,2,2,6,2,2,5,9
02,10,12,12,24,17,22,24,33,45,28,27,22,20,12,10,5,5,6,5,3,5,2,7,12
03,12,17,14,23,47,33,41,41,29,26,31,27,16,13,10,7,1,1,2,4,4,8,6,7
04,11,10,10,99,83,114,17,50,19,38,27,15,17,11,30,37,22,6,2,4,6,6,4,2
05,9,180,117,58,23,40,59,56,33,37,37,24,18,8,9,10,8,3,0,7,6,9,9,13
06,27,14,24,23,36,53,53,48,36,34,41,28,30,14,7,48,20,9,3,7,2,3,7,15
07,14,18,20,18,23,52,42,42,44,53,33,31,21,15,24,11,9,1,3,10,5,8,11,9
08,17,14,22,23,32,54,68,60,54,35,36,30,32,18,12,6,10,1,3,5,6,6,9,16
09,22,24,16,24,35,42,61,58,57,40,114,85,46,17,13,6,7,3,1,4,7,6,10,16
10,10,21,16,18,44,49,51,59,54,47,37,24,25,22,16,9,11,7,4,1,6,4,10,14
11,17,17,17,16,34,36,46,49,46,35,38,22,23,22,15,9,5,4,9,4,9,9,7,12
12,16,19,9,17,36,36,31,30,30,25,27,9,9,13,4,1,2,2,3,1,4,2,1,9
13,9,7,5,11,9,10,15,8,15,12,15,6,6,4,2,1,1,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,6,4,4,3,2,10,11,18
15,15,20,18,17,28,38,37,33,26,32,18,20,18,17,21,19,17,2,5,10,9,14,19,12
16,12,11,11,16,14,23,33,38,51,108,19,23,48,11,8,14,7,3,1,5,2,5,11,9
17,16,13,22,22,21,34,32,32,26,23,25,20,11,14,17,5,3,3,1,1,1,4,10,13
18,25,13,18,17,20,17,20,23,23,19,15,14,11,8,9,10,3,4,1,4,2,2,8,11
19,8,10,11,15,13,27,26,26,20,30,15,17,4,15,12,12,3,5,1,10,2,4,6,16
20,13,20,14,7,20,20,21,28,21,19,13,18,10,9,13,9,10,5,22,25,29,13,20,22
21,21,31,36,122,78,21,32,46,36,40,36,20,21,13,10,17,6,1,0,0,18,16,18,12
22,14,6,62,101,63,58,3,17,12,19,12,6,5,4,22,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,1,5,0,3,4,3,6
24,10,10,10,10,27,23,25,16,21,20,12,3,4,12,5,5,4,4,2,3,5,9,7,10
25,12,12,16,19,19,15,23,29,46,68,23,16,9,8,4,7,5,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,1,6,2,5,4,8
28,8,9,10,12,22,21,23,33,21,7,11,16,10,6,2,1,1,2,1,5,4,3,12,12
29,20,26,22,28,23,22,20,26,20,18,12,13,8,10,6,11,7,3,3,0,3,9,15,7
30,22,25,22,19,27,31,37,32,31,10,11,8,2,0,5,2,7,39,7,0,0,2,0,6
31,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
