may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,99,137,150,147,179,209,229,239,236,236,184,194,231,239,246,165,113,78,51,36,43,65,68,81
02,102,123,157,166,177,210,245,263,265,252,220,171,218,211,166,136,105,65,36,36,44,65,75,91
03,131,109,130,148,186,227,267,281,276,266,226,198,209,224,186,126,86,64,38,43,53,69,77,88
04,98,112,183,130,181,218,277,283,282,260,213,229,210,226,203,153,98,62,51,69,51,58,73,110
05,131,141,170,172,197,284,324,331,321,272,272,247,248,259,257,161,137,80,66,85,68,84,99,101
06,133,140,188,207,246,277,324,322,302,316,284,254,252,228,249,168,120,81,45,62,66,56,83,117
07,136,130,142,175,197,247,272,297,328,295,253,217,223,276,231,173,113,85,43,67,64,68,82,120
08,129,160,169,176,251,285,301,360,327,337,282,224,279,304,248,174,147,105,64,53,72,79,107,114
09,164,150,210,184,235,298,331,350,321,296,290,277,337,61,190,196,119,87,50,69,66,70,100,125
10,134,168,177,200,226,237,280,298,286,301,240,220,260,262,221,189,120,81,60,51,56,75,73,101
11,115,166,139,155,196,238,306,309,303,278,257,195,227,242,212,153,133,80,64,50,54,70,111,128
12,137,156,189,204,200,255,291,320,329,310,269,225,277,257,282,189,147,78,54,45,70,65,106,121
13,139,153,184,188,227,286,304,303,321,318,247,246,222,259,222,189,313,109,52,58,39,81,70,87
14,140,152,198,177,239,242,290,326,299,272,214,167,7,126,195,193,167,93,70,83,64,80,89,143
15,135,137,183,210,216,247,291,200,294,292,249,211,263,283,253,201,144,117,57,41,61,66,75,116
16,119,148,156,183,223,246,293,292,279,287,244,239,255,281,263,199,147,85,79,52,58,51,76,100
17,139,167,163,187,190,241,270,277,301,294,211,215,256,260,232,183,391,353,176,89,79,65,75,93
18,100,136,164,164,163,211,236,302,277,239,263,249,236,258,212,174,131,80,63,59,46,74,86,110
19,127,143,170,168,204,231,285,263,283,261,191,184,226,246,200,172,128,81,65,78,67,63,111,115
20,113,129,131,156,187,198,252,267,292,226,192,180,144,175,245,203,146,98,106,131,96,72,92,105
21,135,126,166,182,202,224,290,279,346,277,190,149,177,240,206,183,150,222,117,71,88,58,97,99
22,125,157,180,182,192,264,275,290,266,315,164,195,131,286,268,214,123,86,77,49,75,60,108,106
23,146,131,163,179,224,193,251,370,250,256,297,180,122,216,267,167,116,90,66,121,51,182,160,111
24,129,132,141,143,205,216,223,266,243,236,236,191,169,207,190,166,199,162,540,103,46,68,84,104
25,119,153,169,195,195,231,263,276,289,240,220,176,205,205,177,160,108,70,68,51,55,89,71,103
26,119,141,166,168,176,234,248,263,270,244,166,227,195,275,241,250,186,127,138,71,97,94,100,98
27,130,141,189,158,206,222,202,186,162,449,144,82,234,490,236,170,107,6,9,38,61,76,87,124
28,123,167,165,189,207,244,260,321,270,264,200,145,184,246,382,427,324,255,172,54,59,84,91,120
29,140,167,184,206,233,273,320,338,299,291,238,195,223,260,219,200,161,96,113,59,54,70,95,116
30,116,145,163,173,192,242,285,299,282,299,253,200,219,253,253,137,128,95,74,51,62,79,76,107
31,137,161,189,178,225,218,272,269,336,281,237,200,213,250,221,194,159,124,85,62,59,77,72,92
