mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,36,54,50,66,98,109,122,126,179,128,133,158,127,116,132,129,123,117,95,100,70,80,61,55,""
02,51,66,75,79,93,102,96,95,93,112,146,124,141,140,114,104,91,96,81,72,65,77,35,76,""
03,61,86,135,121,134,170,184,140,182,153,185,203,201,208,224,232,216,171,145,127,109,90,78,58,""
04,-1,-1,-1,-1,-1,111,128,134,126,136,164,143,176,187,150,175,168,142,150,93,92,100,86,70,""
05,59,91,83,129,176,165,150,166,184,259,298,235,218,164,212,214,208,164,181,130,142,86,78,72,""
06,74,22,35,82,126,139,121,102,117,117,143,144,139,148,162,146,151,114,117,92,59,38,30,37,""
07,37,51,86,98,123,147,97,107,93,91,119,162,140,155,140,135,123,112,95,88,69,55,36,65,""
08,48,76,109,93,166,169,188,162,170,134,110,103,123,91,81,92,134,99,97,70,60,60,58,62,""
09,64,51,48,60,78,104,73,76,77,69,98,95,92,106,135,117,104,93,77,46,52,32,30,31,""
10,28,30,44,64,76,95,86,82,89,58,81,106,86,114,135,122,134,70,55,49,42,56,33,34,""
11,47,52,51,51,77,64,71,58,66,88,91,83,107,117,105,204,140,136,95,85,52,52,58,58,""
12,58,90,100,123,173,177,200,158,147,146,167,168,147,168,200,216,196,147,110,90,85,61,67,63,""
13,40,85,99,130,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,157,139,153,108,61,96,99,74,50,56,""
14,50,65,97,91,148,158,134,174,186,155,162,192,173,162,137,151,194,113,104,99,78,83,39,42,""
15,54,60,72,122,147,154,130,148,196,236,199,216,197,229,179,150,187,162,137,131,106,79,64,62,""
16,52,87,105,152,234,235,226,213,220,224,201,242,223,206,213,251,207,189,160,124,123,87,62,58,""
17,47,64,93,109,169,220,235,161,170,251,226,231,179,191,128,305,308,205,134,115,102,88,79,49,""
18,54,57,66,88,144,188,184,133,162,131,167,187,180,209,127,219,259,197,118,126,123,109,87,72,""
19,69,80,90,133,161,170,199,129,111,115,130,153,147,212,134,150,128,96,114,103,114,126,87,76,""
20,52,65,101,158,209,208,249,197,219,235,239,230,211,202,181,185,147,113,86,99,95,86,60,62,""
21,44,-1,-1,-1,110,141,134,124,129,146,134,146,164,154,186,202,178,144,120,97,86,64,52,79,""
22,59,73,66,110,128,177,161,139,134,119,134,190,183,181,148,168,168,120,88,83,97,49,48,46,""
23,42,68,75,112,120,148,131,114,104,107,134,81,178,169,213,215,140,128,110,87,74,49,53,48,""
24,37,55,67,108,118,145,141,139,108,128,128,163,131,158,173,185,148,113,76,86,82,82,56,45,""
25,31,49,42,79,154,174,197,168,162,148,171,202,214,222,185,191,169,160,109,97,94,78,48,44,""
26,64,84,118,119,191,163,186,181,102,9,135,126,97,76,108,120,110,114,86,79,84,85,75,61,""
27,43,55,85,121,160,105,77,87,138,143,136,173,145,183,196,171,146,113,112,101,94,73,68,53,""
28,54,66,104,130,201,190,206,161,165,194,234,231,199,196,151,171,166,113,67,77,91,64,55,56,""
29,51,83,126,136,214,203,213,173,173,173,156,193,186,163,278,214,156,173,123,94,125,67,68,70,""
30,47,61,74,140,190,201,209,180,154,137,156,214,190,214,240,223,135,132,107,105,127,65,65,44,""
31,40,59,77,130,170,206,180,204,191,179,189,212,194,219,185,177,156,127,99,64,72,92,46,-1,""
