Nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,11,9,16,18,23,28,32,17,15,21,11,9,10,7,6,11,9,5,4,4,12,15,26,30
2,25,23,43,93,76,144,144,152,116,91,39,41,30,60,30,37,32,106,162,206,152,117,147,159
3,69,63,68,85,64,42,66,84,146,156,47,33,28,14,33,43,64,160,175,130,215,207,242,215
4,199,199,150,130,224,156,224,205,175,197,168,122,40,28,24,28,30,112,115,95,143,114,132,123
5,48,113,81,55,156,146,149,136,115,74,26,36,40,50,25,37,20,63,66,51,32,126,119,125
6,98,86,167,55,83,68,74,47,63,64,103,97,93,49,30,32,28,38,60,47,79,100,131,166
7,110,140,87,80,51,60,79,63,78,77,67,80,44,55,42,47,39,61,93,90,95,101,154,130
8,165,182,145,156,172,200,216,211,170,113,101,138,191,137,148,156,152,139,154,180,181,168,132,150
9,154,164,180,128,152,170,166,176,178,88,87,91,66,88,109,112,139,165,187,173,162,106,128,134
10,148,111,114,98,137,188,174,208,181,73,78,78,41,41,33,52,56,106,123,108,116,117,111,87
11,109,106,83,99,117,112,163,152,135,107,112,82,27,53,32,22,31,27,39,62,51,47,25,15
12,32,60,79,120,117,158,158,75,59,54,16,13,30,27,23,26,45,65,70,52,15,12,15,31
13,24,22,58,71,54,61,93,83,93,73,32,41,48,34,30,33,67,60,95,87,62,169,216,153
14,175,184,176,164,191,172,220,128,87,95,69,31,47,24,19,43,64,35,39,60,96,88,92,71
15,59,48,29,77,57,88,110,70,56,68,84,41,38,13,41,22,79,28,94,50,47,47,29,43
16,4,32,15,18,15,19,14,44,13,13,19,42,14,11,19,18,16,10,6,4,4,21,36,30
17,17,4,32,6,3,10,4,2,4,4,9,13,22,12,10,8,13,26,23,17,10,21,10,37
18,35,5,23,2,-1,13,4,14,19,10,12,22,23,18,15,10,5,-1,4,6,7,2,2,7
19,3,3,1,1,2,1,1,5,3,10,4,33,22,7,3,3,2,1,-1,1,1,4,2,3
20,2,5,-1,1,2,3,4,2,6,130,69,42,96,100,85,94,58,61,47,38,16,75,42,29
21,9,2,-1,1,-1,2,-1,1,7,3,3,3,5,1,3,15,6,5,21,5,2,6,18,9
22,5,5,7,2,2,5,3,3,3,5,11,7,30,21,1,8,5,8,3,1,-1,3,1,2
23,2,1,5,-1,2,1,2,1,3,1,4,7,8,11,11,17,15,6,-1,5,2,4,2,20
24,10,6,8,2,4,1,3,9,6,4,4,8,2,8,12,2,2,-1,8,2,9,3,4,5
25,3,-1,1,1,1,5,1,1,2,1,1,5,7,2,9,3,14,1,9,1,9,1,3,1
26,5,-1,1,1,1,3,3,-1,4,3,5,3,3,5,2,5,1,2,4,5,7,1,3,6
27,5,-1,4,-1,3,2,2,1,4,2,2,7,3,4,2,-1,4,2,1,2,5,4,-1,13
28,3,3,-1,2,3,2,1,2,2,2,1,2,4,4,7,6,3,4,5,1,3,2,4,9
29,2,-1,2,-1,1,4,3,3,5,5,5,5,7,3,5,7,1,6,4,6,3,8,8,8
30,9,1,1,-1,2,1,-1,-1,-1,11,12,12,9,10,2,6,12,8,14,5,14,15,30,15
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
