Nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,21,16,129,77,22,27,55,20,40,35,159,206,157,40,84,101,189,174,182,83,63,148,124,45
2,28,24,116,201,81,121,151,122,125,20,70,162,106,97,103,65,83,88,90,64,68,105,51,55
3,34,55,34,22,45,79,61,6,57,29,164,37,3,13,18,26,22,8,37,161,179,211,63,157
4,87,38,97,109,105,105,108,79,117,75,171,277,203,113,90,79,90,183,148,110,26,126,75,30
5,50,-1,37,36,37,59,78,47,121,38,192,115,21,37,1,20,47,41,83,108,46,28,19,21
6,25,1,12,20,31,24,23,16,4,33,74,48,9,83,54,14,33,34,74,18,21,28,3,21
7,46,11,14,9,12,19,32,27,5,5,10,38,64,70,13,71,79,3,69,130,131,40,56,27
8,4,13,98,139,85,33,82,61,57,71,59,16,8,21,99,42,43,10,65,20,2,14,83,3
9,7,-1,6,30,41,67,41,26,45,-1,21,136,69,76,152,112,61,90,63,50,65,54,64,26
10,35,36,-1,2,-1,30,10,3,9,-1,123,199,133,130,134,78,56,50,55,105,24,145,11,33
11,22,3,17,30,10,17,19,18,35,11,33,99,50,33,38,12,65,34,26,14,1,1,10,15
12,9,1,6,11,8,9,5,9,27,2,10,10,3,18,17,52,212,211,17,-1,-1,1,-1,2
13,-1,-1,-1,-1,7,52,76,25,9,1,19,15,2,11,32,4,90,271,114,118,91,42,24,106
14,235,91,117,178,141,40,32,8,2,20,12,7,100,147,177,222,127,105,105,82,66,98,26,19
15,20,10,102,79,63,64,51,19,25,5,31,52,49,119,57,50,6,49,139,65,93,108,31,55
16,58,33,12,1,2,12,11,13,1,31,27,10,3,5,9,112,45,17,80,24,37,-1,38,68
17,20,3,2,18,10,8,7,2,7,16,20,90,11,59,9,26,198,21,198,79,28,88,3,59
18,38,1,59,53,27,55,49,27,75,50,180,265,128,116,78,64,48,98,76,76,53,72,45,36
19,69,12,66,44,9,20,26,55,97,170,137,134,82,86,29,54,88,120,106,67,29,57,14,25
20,6,-1,71,26,70,21,105,111,-1,42,19,59,2,88,70,161,101,70,167,95,43,101,43,44
21,59,5,20,35,34,10,40,116,14,7,48,19,28,27,8,95,17,9,79,84,56,48,8,-1,-1
22,9,4,12,15,20,64,28,26,63,70,105,46,19,25,105,146,21,46,123,-1,-1,2,5,9
23,17,-1,-1,14,7,17,34,146,85,44,120,131,89,64,47,78,75,120,47,10,75,76,54,79
24,-1,1,27,34,46,48,44,14,27,9,92,15,-1,-1,-1,-1,1,2,42,148,106,35,87,179
25,28,61,149,160,124,122,79,40,115,27,60,139,21,117,64,117,162,176,47,44,10,80,30,52
26,71,5,82,101,60,61,88,24,28,2,24,110,100,185,150,116,98,52,92,75,35,25,63,55
27,70,63,87,66,83,26,198,157,-1,29,61,51,5,-1,4,-1,6,18,-1,179,198,184,8,92
28,79,3,31,66,119,107,76,32,5,18,13,9,69,21,41,46,29,10,25,8,-1,52,77,41
29,34,44,178,58,60,48,68,50,18,25,66,169,208,132,75,65,71,52,102,66,35,7,20,29
30,-1,1,14,24,31,73,17,13,7,80,118,109,69,99,143,193,189,162,200,131,91,79,50,46
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
