jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,4,1,4,3,6,5,8,4,3,4,1,1,3,2,1,1,1,0,1,0,2,2,2,4
02,1,4,2,4,9,9,5,6,5,5,2,0,6,2,1,5,6,3,2,1,2,1,2,4
03,7,13,15,35,37,66,93,31,24,11,11,26,36,43,29,24,12,9,3,3,3,1,2,2
04,2,2,2,5,5,9,6,5,5,4,1,2,2,2,0,0,0,1,3,1,0,1,1,1
05,3,3,4,5,7,8,8,2,5,3,3,1,4,1,2,1,1,0,2,1,2,1,0,0
06,1,3,3,0,2,7,4,2,1,3,3,5,0,4,3,2,0,0,4,1,1,2,3,1
07,1,3,0,5,5,2,4,1,2,3,2,2,3,2,1,1,2,0,1,0,2,1,3,2
08,2,2,4,3,6,3,6,4,1,4,3,2,2,3,2,2,1,0,2,0,0,3,1,3
09,1,1,2,2,5,3,4,6,2,2,1,2,1,1,2,1,0,2,1,2,2,2,1,1
10,2,3,3,1,5,3,0,4,2,3,0,0,1,2,1,2,0,2,0,2,0,0,2,2
11,0,1,3,0,1,2,3,3,0,6,3,4,1,1,0,1,1,2,0,0,1,2,3,1
12,2,3,4,1,4,3,2,3,1,2,6,1,3,2,2,1,2,1,1,2,0,0,6,1
13,9,2,3,1,5,8,4,2,0,1,1,1,2,0,0,1,0,1,2,1,2,0,3,4
14,3,2,4,5,7,5,3,1,3,2,3,1,2,0,3,1,0,1,1,1,0,1,2,2
15,3,4,3,5,4,2,3,3,3,1,1,3,2,0,1,0,0,0,0,1,0,2,3,1
16,4,7,2,6,2,3,3,3,0,2,3,1,2,1,1,2,1,0,0,2,1,4,2,2
17,3,2,2,3,5,6,5,3,6,7,3,0,1,2,2,1,0,1,1,2,1,3,1,4
18,4,3,2,5,7,2,1,1,5,4,3,1,0,0,1,0,1,0,0,1,0,0,0,2
19,3,5,2,4,3,6,1,3,0,1,5,1,2,0,0,0,1,0,1,2,2,7,4,3
20,2,2,0,2,4,2,3,2,3,4,4,0,2,3,0,1,0,0,0,0,0,1,0,3
21,4,2,1,2,6,4,4,7,5,2,3,1,0,1,3,4,2,0,0,1,0,0,1,1
22,3,4,5,7,1,4,5,3,2,2,2,3,3,0,1,1,0,0,1,1,0,3,2,3
23,3,0,1,4,2,1,3,2,0,3,3,2,3,1,3,3,0,1,0,2,0,1,5,6
24,2,2,3,1,3,4,1,2,3,1,0,2,1,0,0,0,1,0,1,1,0,1,1,4
25,1,4,0,3,1,5,4,1,3,1,0,3,0,2,0,1,0,0,0,0,2,1,0,4
26,3,2,5,7,6,4,6,1,4,3,5,2,2,2,0,2,2,4,1,1,1,2,3,2
27,3,4,7,2,3,3,6,1,3,3,3,1,2,1,0,0,0,0,0,2,2,1,1,0
28,4,4,1,7,6,3,4,3,1,1,0,1,0,1,0,2,0,4,0,2,1,2,1,3
29,5,1,2,2,4,0,4,1,2,1,1,1,3,0,2,0,0,1,0,1,0,1,0,2
30,2,1,4,6,3,4,3,4,2,0,1,4,2,0,1,1,1,0,2,1,0,1,0,1
31,1,5,1,2,5,4,0,1,0,2,2,2,3,0,0,1,1,0,0,0,1,-1,-1,-1,-1
