jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,34,28,25,37,36,29,28,20,21,21,20,15,16,14,10,8,8,15,10,14,16,26,29,31
02,40,31,32,38,53,37,30,20,25,27,16,9,10,8,6,16,11,19,21,23,27,32,37,33
03,53,68,90,117,179,198,168,53,39,35,32,31,37,49,67,53,45,41,32,28,28,27,31,40
04,29,20,31,50,46,59,29,23,21,24,7,14,14,10,12,9,14,6,19,16,28,22,25,26
05,30,31,23,23,38,43,28,22,22,23,18,9,14,15,10,11,11,11,14,14,25,26,29,30
06,31,33,31,40,34,36,30,24,12,22,15,17,16,13,17,14,5,10,13,21,23,22,31,25
07,19,30,25,44,42,27,25,16,16,14,16,12,16,11,9,9,8,14,7,13,20,25,29,25
08,21,36,30,36,30,18,30,18,19,18,13,13,9,8,10,13,7,7,13,10,14,25,29,30
09,16,27,32,43,41,36,27,37,24,21,15,11,11,11,8,6,15,7,11,20,25,27,29,22
10,27,29,33,25,47,34,21,18,24,25,15,11,10,11,7,11,6,10,10,19,19,18,37,32
11,25,23,26,29,26,32,31,24,19,17,20,15,10,11,13,10,10,13,13,14,20,28,31,26
12,33,27,28,35,39,35,20,23,17,15,23,9,21,12,11,5,15,8,14,10,15,20,29,29
13,26,27,32,35,37,33,21,16,20,18,11,18,10,10,10,11,9,9,10,14,17,24,16,31
14,24,25,31,46,47,45,27,21,20,24,19,10,10,9,8,13,6,6,10,18,24,22,32,15
15,36,19,45,46,35,40,24,22,17,15,16,12,9,9,8,10,4,7,12,17,27,22,28,32
16,35,36,48,34,36,29,27,20,18,17,15,10,15,14,4,9,11,9,14,11,18,30,28,30
17,26,33,38,40,52,31,30,16,24,18,15,11,11,12,5,4,4,8,11,13,25,21,25,28
18,26,39,41,50,36,34,19,16,21,22,12,7,11,15,13,9,7,1,7,10,18,15,24,21
19,25,19,35,35,52,44,32,22,15,14,18,19,20,9,3,8,9,9,5,15,20,27,34,18
20,32,26,29,28,34,29,16,17,13,14,16,6,9,10,5,9,7,8,12,12,10,20,26,29
21,22,21,19,35,37,29,26,22,26,24,18,11,10,7,10,12,7,8,9,9,19,19,27,25
22,15,24,32,33,23,32,27,18,23,9,11,11,10,5,7,5,6,10,16,10,17,30,23,30
23,23,18,35,31,34,23,24,14,14,15,24,14,13,6,8,8,5,11,5,16,15,18,26,22
24,26,25,25,22,13,23,20,12,21,17,13,12,21,9,9,5,7,7,13,6,13,24,20,14
25,25,24,19,24,28,26,15,8,22,11,9,12,8,10,9,9,5,8,7,10,14,16,17,20
26,18,30,28,26,24,23,17,23,14,12,13,9,8,8,7,6,5,8,6,17,19,20,17,22
27,24,23,19,22,21,27,26,16,15,23,15,13,9,5,8,1,4,3,8,10,16,16,26,28
28,27,26,17,30,32,29,18,23,12,20,14,10,10,7,6,6,7,9,9,9,15,21,21,24
29,21,22,27,22,30,20,16,16,16,18,10,12,9,5,5,8,8,7,5,10,13,29,19,27
30,21,17,32,33,21,24,14,13,24,14,17,18,12,7,4,7,8,3,11,11,16,19,29,25
31,27,18,26,32,12,24,14,13,15,14,14,11,6,7,6,5,3,8,4,7,13,-1,-1,-1,-1
