Jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,134,171,213,259,315,368,368,471,524,542,630,581,553,514,509,466,449,413,399,358,320,236,201,146
2,134,165,196,261,292,313,356,448,464,513,486,556,566,536,472,419,411,410,389,360,327,274,206,180
3,146,166,189,243,258,308,369,492,520,600,652,678,647,671,591,581,551,506,460,494,509,508,481,475
4,395,373,348,331,436,482,538,586,544,552,614,611,625,581,605,528,540,482,493,436,442,353,319,216
5,189,183,236,228,303,382,492,604,621,660,634,639,627,557,584,549,437,442,404,379,356,270,206,190
6,141,168,213,282,308,345,406,520,576,572,559,593,523,467,545,460,426,425,422,361,373,284,184,170
7,163,170,250,302,333,345,361,434,537,565,614,572,522,449,544,540,479,459,453,408,401,260,197,171
8,168,221,240,217,258,349,376,453,476,492,589,600,596,537,494,437,412,391,380,312,208,171,135,112
9,119,158,184,248,283,324,364,350,439,489,540,615,633,544,499,430,362,329,354,331,274,227,174,142
10,140,160,187,195,247,259,350,372,525,612,628,625,669,590,513,398,415,355,341,301,234,253,175,117
11,121,119,160,198,252,267,306,361,476,585,591,616,523,476,503,461,428,380,433,361,339,240,152,108
12,105,99,167,219,267,289,386,429,475,514,497,529,451,435,470,472,445,382,366,317,243,211,172,129
13,118,127,189,205,202,266,299,368,487,544,568,567,424,358,386,318,447,486,400,385,275,178,146,130
14,161,148,156,261,282,329,366,389,454,499,604,628,607,551,500,436,372,354,347,372,309,223,184,146
15,167,152,184,267,290,325,337,348,474,622,632,650,577,532,522,385,414,394,415,381,317,232,145,122
16,116,145,183,216,284,309,333,363,402,517,612,680,550,520,434,407,353,357,337,303,244,186,131,105
17,103,122,171,203,228,268,315,403,572,619,642,645,702,606,586,440,405,354,283,287,229,219,165,123
18,115,158,188,228,277,310,355,443,496,589,507,624,609,563,618,512,568,587,457,443,343,269,193,149
19,135,132,149,212,216,302,266,308,383,414,496,519,402,445,386,389,355,395,363,258,259,175,120,119
20,81,80,82,122,160,191,214,228,289,538,580,444,352,345,351,251,311,307,259,227,175,137,90,74
21,79,92,145,222,247,262,276,358,406,503,538,537,455,459,424,346,312,301,267,267,206,200,103,85
22,91,134,144,209,210,273,304,347,456,480,521,208,343,352,414,384,396,355,334,279,216,175,145,121
23,89,135,165,221,235,321,332,370,457,482,587,585,557,429,367,298,304,267,211,232,201,152,75,77
24,80,129,149,175,215,222,258,301,422,458,494,515,519,466,366,369,308,292,266,238,215,157,101,102
25,86,99,138,203,238,289,336,394,423,473,460,467,385,396,401,408,397,388,304,262,167,105,84,92
26,101,81,151,203,242,310,312,405,432,455,468,490,394,389,367,330,290,291,279,279,203,121,90,69
27,85,98,138,112,196,225,309,332,393,442,454,484,373,324,279,289,307,271,250,213,203,153,92,79
28,77,97,108,169,152,212,267,364,424,465,492,491,406,338,355,329,302,211,218,224,151,111,89,86
29,74,67,97,131,152,211,261,319,417,425,441,425,335,331,303,305,310,264,231,239,167,154,108,80
30,78,82,101,131,180,212,276,359,443,490,491,514,361,309,260,275,257,252,258,225,143,109,51,68
31,57,84,100,138,151,238,273,330,417,424,483,457,478,447,277,230,291,336,261,207,219,165,106,80
