dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,58,32,56,72,51,78,80,73,100,90,63,58,57,89,60,81,82,94,76,31,25,66,41,44,""
02,48,53,79,98,110,0,110,145,149,121,99,100,108,87,93,62,60,69,57,48,52,31,35,42,""
03,37,32,60,54,42,74,73,81,52,48,39,41,34,44,54,90,129,95,68,56,69,49,45,61,""
04,53,64,76,82,54,90,72,80,84,91,76,71,60,69,58,66,64,67,86,51,50,36,42,37,""
05,25,32,47,51,61,45,84,93,84,61,64,56,47,45,45,47,65,67,53,50,44,48,47,58,""
06,63,64,71,84,125,75,88,110,119,63,56,68,43,70,88,107,114,89,69,66,73,50,46,74,""
07,54,79,107,100,110,60,41,73,61,64,52,39,43,41,85,133,127,118,67,82,70,61,67,62,""
08,57,80,84,91,130,98,136,127,123,106,82,86,115,123,103,107,77,90,83,98,72,53,45,66,""
09,57,51,77,88,109,105,126,126,117,104,110,85,88,75,94,117,97,68,68,74,70,62,59,40,""
10,60,65,93,95,108,101,158,162,136,114,102,99,102,120,114,132,118,99,80,65,64,54,54,58,""
11,53,97,95,117,129,164,198,201,187,149,94,90,90,96,137,171,152,109,95,63,66,60,54,50,""
12,49,96,149,174,172,221,261,284,265,201,131,74,94,133,173,197,162,145,98,68,61,31,44,52,""
13,63,102,179,208,210,258,310,305,308,239,151,120,132,188,219,208,198,162,118,41,38,35,48,38,""
14,54,118,136,143,184,241,245,245,242,210,200,141,125,133,117,112,99,86,46,58,42,53,38,38,""
15,42,74,77,70,83,111,110,113,103,104,81,83,93,128,89,76,91,63,76,65,55,46,56,44,""
16,43,62,56,63,72,71,101,107,106,103,94,107,82,87,89,68,66,102,79,53,57,47,52,52,""
17,51,61,55,62,60,79,101,118,85,63,75,89,73,62,69,87,81,81,82,57,51,37,41,53,""
18,42,66,53,61,58,66,87,129,113,84,52,82,68,71,67,83,72,75,59,60,60,49,51,46,""
19,42,46,52,59,79,68,72,91,88,66,69,74,77,80,75,85,75,99,58,58,70,41,39,47,""
20,31,36,91,72,79,55,69,82,104,86,75,94,90,83,75,89,100,87,66,88,63,40,35,52,""
21,42,36,60,56,62,62,88,78,81,69,90,84,62,83,96,75,97,92,109,84,59,59,51,56,""
22,42,45,56,59,66,66,81,85,93,73,68,70,105,105,89,87,80,84,61,49,77,66,65,46,""
23,55,41,46,53,47,77,63,71,83,73,60,86,101,91,83,81,86,77,66,51,40,33,37,38,""
24,26,40,52,74,76,86,78,77,59,61,59,69,73,105,86,75,79,68,50,57,42,40,45,50,""
25,49,43,50,69,63,62,77,64,82,67,80,71,102,109,92,77,68,87,54,58,46,37,49,42,""
26,38,39,49,62,66,73,71,82,75,76,93,85,89,88,86,102,78,82,74,57,58,65,45,38,""
27,41,55,60,63,51,68,64,82,94,75,83,84,85,84,74,90,62,61,49,51,44,36,36,33,""
28,28,45,43,55,52,53,63,91,86,75,73,94,81,75,94,111,110,75,57,57,46,32,0,0,""
29,0,1,35,56,76,78,91,73,69,90,81,62,102,97,101,79,79,105,54,55,66,80,43,40,""
30,79,44,57,65,68,83,95,121,86,93,80,110,90,103,122,101,93,90,83,83,110,69,50,49,""
31,44,73,55,67,59,72,82,97,96,70,95,77,96,96,100,92,95,90,74,46,65,69,54,-1,""
