dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,54,54,54,58,64,66,60,69,45,42,64,52,41,42,37,49,29,51,41,50,21,59,37,42,""
02,34,63,47,53,33,50,52,72,84,55,33,50,53,63,49,52,27,14,25,42,52,51,49,66,""
03,83,78,73,85,91,79,71,55,86,70,68,59,41,37,43,32,28,61,45,51,47,61,47,42,""
04,42,60,59,77,73,79,69,73,62,57,61,59,54,44,39,44,28,41,44,49,43,75,57,49,""
05,50,65,62,78,78,76,76,83,70,58,55,50,48,39,36,40,38,61,71,47,49,63,64,47,""
06,59,70,55,84,89,78,65,81,65,87,56,64,55,70,55,38,24,30,35,37,27,28,32,22,""
07,64,43,51,52,58,42,51,48,48,48,36,35,41,42,19,33,22,17,24,19,25,41,50,66,""
08,71,81,84,86,83,83,88,84,83,55,51,41,54,42,37,37,31,39,43,39,59,46,48,33,""
09,40,63,81,98,91,93,86,60,59,63,64,65,56,58,42,48,40,23,24,40,43,38,47,44,""
10,33,50,74,67,69,74,63,79,61,47,52,46,45,38,34,23,30,41,22,52,63,77,103,67,""
11,58,67,90,111,98,93,77,108,100,69,60,47,42,63,35,35,39,46,31,32,61,58,60,98,""
12,99,101,121,136,130,131,116,132,121,87,70,46,41,38,28,33,39,51,20,34,41,55,77,87,""
13,98,97,100,106,114,104,109,103,132,132,106,109,83,61,43,35,65,76,81,98,96,94,112,127,""
14,141,123,136,144,148,135,149,122,104,95,67,58,41,50,27,29,26,27,50,63,60,69,75,92,""
15,84,63,100,85,79,90,78,86,87,72,67,57,61,57,77,58,44,41,37,41,40,54,46,49,""
16,55,77,90,99,79,93,86,78,84,61,56,53,54,52,39,34,45,38,28,53,35,32,39,46,""
17,50,60,50,102,75,82,87,65,63,63,73,53,55,29,35,44,54,35,45,33,31,37,54,35,""
18,43,42,51,61,49,60,55,40,49,46,48,69,63,53,46,53,39,43,84,38,27,54,53,48,""
19,39,43,55,61,78,70,70,93,47,41,65,66,37,59,40,30,32,24,19,25,18,25,11,30,""
20,35,39,43,34,39,32,49,58,22,39,33,39,26,22,25,16,20,31,30,25,13,15,14,20,""
21,26,32,24,24,44,33,54,37,47,35,34,35,46,32,27,33,20,26,25,32,26,17,23,29,""
22,32,42,54,42,58,61,45,51,86,67,72,81,62,55,39,27,25,33,30,25,40,51,28,34,""
23,40,53,46,66,50,68,44,72,67,79,39,40,28,31,35,35,39,47,33,38,35,18,18,29,""
24,34,43,48,57,46,62,70,70,65,61,70,31,45,19,41,32,20,28,28,28,20,26,24,29,""
25,54,60,47,55,56,66,50,45,41,64,53,46,48,29,48,29,19,26,24,63,49,31,24,19,""
26,35,32,42,41,42,46,45,38,45,60,34,55,41,32,23,15,26,24,33,31,46,27,36,29,""
27,45,45,42,48,61,52,42,66,37,38,39,35,31,27,35,27,20,31,29,31,26,37,18,22,""
28,40,53,46,66,50,68,53,44,47,37,58,49,49,27,25,38,17,24,24,25,21,32,18,32,""
29,24,47,55,72,99,74,76,82,71,75,57,36,48,60,18,3,20,23,29,16,28,19,41,24,""
30,34,43,49,65,59,58,49,47,65,78,79,73,68,60,46,48,58,18,11,35,13,22,19,31,""
31,54,42,59,56,57,66,72,98,63,57,70,57,41,33,42,68,47,30,36,33,36,41,37,10,""
