Aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,11,8,9,4,4,6,6,2,8,7,-1,9,18,28,27,26,41,28,38,30,23,14,16,15
2,-1,4,4,7,5,7,7,3,5,7,7,11,13,17,28,29,33,-1,-1,-1,-1,-1,-1,-1,-1
3,10,11,7,2,5,4,8,3,5,5,3,10,14,21,28,33,30,45,34,18,30,20,17,17
4,10,7,4,6,5,5,1,6,5,5,1,10,13,21,29,33,32,36,32,32,28,17,23,16
5,18,10,8,7,10,5,8,6,10,4,7,9,23,21,15,34,20,30,28,19,25,33,23,20
6,11,6,7,6,7,9,8,4,5,3,6,4,16,24,29,21,23,20,33,27,20,19,19,16
7,18,4,8,10,2,5,3,7,5,4,11,16,20,30,28,19,19,27,17,25,25,16,16,21
8,11,9,5,8,4,5,5,2,3,6,6,4,16,13,25,29,27,22,25,29,18,13,18,13
9,8,8,2,6,10,9,8,6,8,6,3,10,13,25,30,15,23,30,21,28,25,18,26,11
10,13,12,7,9,7,8,4,7,4,5,5,10,13,20,19,25,24,22,27,25,26,18,20,22
11,23,15,14,7,7,10,8,6,3,6,12,11,13,18,19,14,33,34,31,24,22,27,16,22
12,46,35,18,12,11,6,4,4,2,10,9,20,13,34,32,26,18,42,38,47,63,50,45,45
13,27,17,19,13,7,8,1,4,6,5,5,9,15,16,21,30,27,43,45,44,42,31,37,26
14,16,8,10,10,7,4,5,4,4,4,7,11,10,15,27,26,21,27,23,38,27,21,49,16
15,29,10,10,17,10,12,14,8,12,9,6,12,19,20,24,26,26,26,19,30,34,31,23,24
16,12,11,7,10,7,11,7,7,4,8,5,11,11,18,15,24,21,33,19,36,30,20,23,24
17,8,20,7,6,9,4,7,4,9,4,8,6,13,18,17,17,18,21,22,22,17,8,16,12
18,8,8,2,8,6,3,2,6,3,5,5,9,12,9,7,9,23,24,24,24,29,9,11,8
19,8,3,3,3,7,10,7,3,2,2,2,6,10,12,10,12,17,13,15,20,12,17,9,14
20,7,5,11,3,2,6,7,6,4,9,5,7,9,15,8,14,14,15,13,18,13,13,15,8
21,9,10,5,3,9,4,5,3,8,2,7,10,6,18,7,13,12,8,18,16,13,17,14,7
22,10,4,11,2,6,3,7,3,6,6,9,11,14,13,18,11,12,18,18,15,15,12,10,13
23,17,13,9,6,11,13,4,10,11,7,9,12,14,14,25,12,18,16,18,22,16,16,18,11
24,10,10,12,6,5,3,8,3,6,4,3,8,6,15,13,19,24,31,21,24,17,23,25,19
25,11,5,9,9,8,8,8,4,6,6,8,9,7,16,10,10,7,11,15,21,21,11,14,19
26,15,7,8,3,10,11,8,3,7,8,9,12,3,10,12,13,13,19,25,13,20,7,16,8
27,9,10,6,6,6,7,3,7,5,8,6,12,19,19,6,10,17,14,18,12,23,18,14,15
28,17,16,14,15,17,8,8,15,12,8,11,8,9,17,19,13,16,23,20,11,24,15,17,20
29,24,10,14,22,17,10,5,12,7,10,14,11,18,22,17,22,18,27,35,25,32,30,41,32
30,12,18,10,15,9,8,8,5,2,6,3,12,20,11,17,12,18,18,32,21,29,29,22,18
31,8,9,7,1,6,8,3,6,2,6,4,5,7,11,8,9,11,22,13,12,6,13,9,10
