nov,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,8,11,0,10,8,1,21,27,6,30,23,14,5,13,28,24,37,17,9,19,24,26,14,7
02,20,2,2,5,9,1,16,42,14,31,15,35,18,31,29,13,30,17,11,29,18,12,15,23
03,6,8,2,10,5,2,13,28,5,4,6,8,9,14,8,4,3,26,3,10,12,23,19,9
04,5,10,0,4,4,17,23,5,18,15,4,9,13,5,4,0,8,2,5,16,9,2,3,3
05,1,1,1,2,1,2,15,10,9,16,21,14,14,5,10,8,5,16,6,30,22,12,4,9
06,4,11,4,3,2,2,15,16,1,13,11,7,11,9,5,13,18,13,5,9,11,9,1,21
07,3,3,10,1,2,0,19,13,8,18,13,1,1,6,6,0,36,35,13,20,13,10,11,17
08,16,2,25,3,11,6,13,15,30,35,14,21,7,19,5,14,19,33,17,31,32,23,8,2
09,10,9,6,1,3,12,27,13,18,30,16,18,17,13,17,14,21,25,23,10,7,12,2,12
10,2,21,11,0,2,6,19,13,5,15,21,16,9,12,15,2,16,12,7,11,31,25,1,1
11,5,8,1,4,8,3,17,4,10,20,12,12,21,2,8,20,25,11,13,22,20,7,12,7
12,2,4,2,0,3,4,33,14,4,11,9,10,12,6,8,6,2,20,8,19,19,24,3,14
13,9,11,2,9,5,2,18,15,0,6,3,13,4,13,6,5,17,16,6,16,9,5,9,13
14,5,1,4,4,0,2,19,13,1,26,24,19,7,13,35,11,22,28,16,7,18,19,27,18
15,13,3,9,3,9,6,17,16,10,21,17,19,11,20,12,11,16,21,1,49,25,9,14,19
16,10,8,3,1,7,3,11,8,38,26,30,9,17,24,31,25,30,20,39,19,11,13,23,8
17,6,13,5,8,1,0,14,11,5,22,0,5,9,1,18,5,14,27,5,23,18,8,14,25
18,6,4,2,1,4,2,11,5,12,20,16,2,14,6,7,9,8,45,9,4,7,11,5,10
19,2,2,2,4,1,3,15,19,3,20,11,6,3,12,7,1,20,1,7,29,29,7,11,7
20,2,2,8,2,2,3,4,2,13,7,12,8,16,21,8,5,23,1,6,11,7,25,4,8
21,6,3,6,7,2,1,7,10,19,15,24,8,10,24,17,17,8,30,24,32,18,27,27,10
22,17,10,16,2,10,2,11,14,9,30,30,23,37,38,14,19,28,49,20,49,36,20,13,16
23,1,4,7,5,1,4,10,14,17,49,23,33,36,27,9,22,42,27,15,4,22,39,8,14
24,1,5,0,2,8,0,15,116,29,26,4,10,21,7,8,12,30,27,8,22,18,16,11,2
25,4,4,13,7,4,2,27,11,26,2,11,14,9,20,5,9,10,9,3,8,9,4,15,0
26,2,1,3,4,2,2,11,22,12,8,11,18,10,2,11,14,10,12,1,25,10,9,8,10
27,0,10,2,5,7,5,7,6,9,10,14,4,17,9,6,1,5,5,6,4,25,15,20,6
28,10,13,8,3,2,2,9,17,4,8,8,7,5,6,6,10,19,32,12,20,6,11,5,8
29,20,5,9,2,3,10,25,16,26,44,24,16,7,13,9,4,15,19,1,13,38,37,9,15
30,4,7,1,3,3,6,23,24,24,61,48,41,21,17,15,12,11,21,10,35,17,19,14,15
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
[E]fdf{lh,'yl{zfIg,dl{`jhkel'o{
