dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,101,104,117,124,136,117,130,121,95,96,91,86,93,82,51,51,49,50,53,48,60,103,117,101
02,117,115,114,147,124,112,141,115,77,86,76,82,91,53,68,82,63,57,74,76,71,106,128,115
03,119,144,140,150,159,146,143,139,151,104,100,96,82,67,76,65,72,66,66,76,96,89,109,102
04,123,106,135,139,157,136,156,111,111,90,97,79,86,73,67,62,46,35,55,81,92,95,98,115
05,124,134,132,155,148,139,122,110,42,40,103,105,74,69,65,57,66,73,52,44,58,78,122,128
06,110,123,118,141,148,134,118,115,124,99,86,49,58,70,67,49,49,42,57,64,79,106,130,102
07,122,120,129,152,172,132,136,131,133,129,116,102,95,53,78,43,67,44,52,79,94,106,97,106
08,108,113,157,142,160,158,155,133,112,118,83,74,77,72,77,53,55,39,47,59,117,112,120,125
09,126,112,129,147,171,183,152,167,137,127,106,100,84,85,76,83,62,62,62,93,86,87,103,142
10,149,144,148,149,174,172,164,140,134,102,114,90,89,74,62,43,61,61,67,96,118,155,168,151
11,138,129,149,167,185,180,190,167,160,144,137,111,91,99,88,63,64,65,97,127,158,148,145,173
12,159,155,159,165,199,207,190,137,152,118,149,118,100,65,72,57,54,79,101,129,123,190,176,203
13,171,140,131,155,212,199,207,176,159,163,137,85,69,68,54,41,80,106,144,165,180,192,175,165
14,162,196,190,199,221,192,214,182,156,153,149,124,90,71,54,58,62,107,127,156,193,185,199,206
15,212,170,167,169,190,194,173,179,140,98,103,97,73,66,70,65,49,64,48,55,96,116,107,111
16,132,136,162,166,143,159,151,155,131,104,98,87,78,79,67,41,49,56,60,46,77,104,111,103
17,118,122,156,152,133,134,114,77,107,144,110,101,69,59,73,68,56,43,41,60,79,87,83,92
18,104,129,141,141,145,140,110,68,76,95,111,89,93,64,61,57,54,45,45,63,64,64,46,102
19,89,106,116,132,134,128,140,91,103,70,76,70,68,65,51,55,35,43,32,53,55,72,71,84
20,110,96,133,132,122,112,123,124,86,70,60,62,59,60,59,51,46,58,39,44,41,41,69,96
21,133,122,125,148,131,139,126,156,106,105,100,89,86,71,58,42,46,48,51,3,0,47,54,85
22,112,120,112,131,135,150,148,164,111,130,98,108,92,95,103,101,80,60,57,79,80,102,89,99
23,130,130,134,158,149,154,135,122,134,145,101,104,71,79,61,53,61,48,36,33,35,91,82,63
24,99,115,132,126,134,117,119,123,119,86,55,56,40,40,37,41,37,32,30,46,72,68,81,111
25,114,87,140,157,158,133,131,121,93,112,58,51,101,78,66,62,57,42,52,47,61,61,65,89
26,107,117,136,162,136,147,125,122,107,140,97,95,69,78,66,54,55,44,40,46,59,81,67,104
27,100,126,138,142,126,116,126,121,116,111,97,117,57,51,68,44,68,40,29,19,62,59,76,85
28,115,112,143,145,151,130,120,101,94,89,47,80,69,64,61,42,43,35,24,55,52,58,63,67
29,81,103,119,118,138,128,134,128,123,105,85,69,75,66,64,56,52,43,34,43,52,75,72,66
30,91,106,123,117,139,126,120,131,83,99,50,87,81,71,62,61,45,47,31,54,60,55,69,54
31,93,80,119,113,125,119,114,127,101,102,83,88,50,55,65,44,50,49,30,48,49,57,64,95
