dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,7,6,6,163,219,658,242,271,169,145,112,101,83,85,99,96,67,109,115,140,171,106,60,68
02,63,160,193,170,206,217,245,370,6,11,291,286,287,220,226,348,216,108,66,142,229,131,164,150
03,261,390,636,501,744,720,578,317,199,194,397,232,147,97,117,183,260,212,199,71,146,99,77,69
04,98,100,44,13,28,15,13,39,105,132,119,116,120,132,101,86,177,430,661,591,161,109,167,118
05,163,166,262,271,283,300,217,204,234,219,189,131,361,582,636,225,175,165,219,148,90,80,56,80
06,76,116,122,135,158,146,140,162,128,459,311,125,7,7,307,274,152,127,127,109,116,133,151,151
07,214,269,218,267,323,310,233,163,236,218,171,198,179,193,138,124,100,73,93,43,45,72,133,191
08,211,192,171,196,236,207,213,196,163,220,222,217,260,348,539,399,404,158,40,41,6,40,32,493
09,345,299,26,301,659,404,299,81,93,500,365,329,192,254,199,168,87,130,6,6,14,6,6,346
10,103,1,47,132,459,774,620,515,11,186,319,417,152,378,316,124,6,12,56,310,221,253,231,261
11,9,557,743,465,428,415,369,376,374,334,241,15,203,562,596,557,240,165,158,205,238,224,256,216
12,251,303,240,304,352,389,400,403,519,385,333,303,229,14,25,11,20,13,18,73,15,8,9,6
13,6,4,3,306,391,404,360,348,349,296,100,18,44,46,118,104,104,69,55,44,57,51,121,133
14,148,127,62,108,70,107,152,194,187,138,128,203,115,203,95,122,146,163,181,219,278,283,272,357
15,390,329,302,383,333,325,253,21,11,9,95,183,174,154,110,138,213,95,106,31,2,1,7,105
16,115,151,181,157,1,2,0,0,103,193,190,222,178,159,163,275,180,108,455,357,346,231,259,332
17,324,222,198,310,414,392,311,287,353,341,412,155,140,148,167,208,175,89,37,48,54,71,72,74
18,73,84,107,162,162,142,155,38,161,362,215,347,197,332,149,182,577,564,855,845,674,308,58,70
19,64,119,122,168,159,168,186,194,211,181,157,158,121,121,125,103,88,59,40,39,45,85,73,77
20,111,117,126,135,153,176,158,175,187,166,145,148,127,111,96,137,70,63,118,195,219,281,218,138
21,149,253,504,563,622,682,682,644,689,655,444,373,287,220,222,207,155,184,166,187,181,214,193,185
22,201,234,205,182,173,61,82,131,284,393,325,238,303,378,439,525,585,678,613,66,15,8,48,386
23,317,455,180,82,25,4,5,8,5,7,10,193,112,70,119,128,118,119,104,91,85,47,1,51
24,212,71,202,346,303,287,252,214,259,451,703,519,537,683,642,525,554,549,461,412,434,404,244,141
25,91,118,194,209,198,175,196,178,262,234,112,120,109,97,78,86,126,227,355,605,299,6,6,6
26,6,6,6,6,6,6,6,6,6,6,6,232,59,76,38,31,25,16,11,6,7,2,4,7
27,1,2,2,6,49,91,314,365,347,518,675,572,763,847,828,774,788,755,743,707,750,701,785,763
28,676,650,686,731,456,286,140,111,165,168,170,117,84,88,66,59,62,92,296,204,444,486,513,672
29,313,7,310,353,609,497,6,6,6,6,6,197,232,504,673,481,502,675,628,202,6,6,6,6
30,257,150,168,153,225,396,519,622,658,685,727,657,717,702,633,626,476,245,76,46,57,100,171,178
31,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[E]Cl{ld`l'_h,kh`eefgI`djjl'o{
